Date,Open,High,Low,Close,Volume
2013-01-02,2.1516,2.2114,2.1516,2.1915,169897
2013-01-03,2.1915,2.2114,2.1516,2.1715,216319
2013-01-04,2.1715,2.1715,2.1516,2.1715,190326
2013-01-07,2.1915,2.2114,2.1516,2.1516,359846
2013-01-08,2.1516,2.1715,2.1516,2.1516,340102
2013-01-09,2.1616,2.1815,2.1566,2.1815,329625
2013-01-10,2.1715,2.1915,2.1416,2.1516,390178
2013-01-11,2.1516,2.2114,2.1516,2.1915,429087
2013-01-14,2.1915,2.2413,2.1915,2.2313,342356
2013-01-15,2.2313,2.2811,2.2114,2.2114,427796
2013-01-16,2.2313,2.2612,2.2114,2.2413,373703
2013-01-17,2.2612,2.2711,2.2413,2.2612,458420
2013-01-18,2.2711,2.2711,2.2512,2.2612,166904
2013-01-21,2.2612,2.2662,2.2263,2.2512,495317
2013-01-22,2.2014,2.2014,2.1217,2.1516,756625
2013-01-23,2.1416,2.1616,2.1317,2.1616,195378
2013-01-24,2.1516,2.1616,2.1018,2.1118,404391
2013-01-25,2.1317,2.1317,2.0869,2.1217,821654
2013-01-29,2.1217,2.1516,2.1217,2.1416,399568
2013-01-30,2.1416,2.1516,2.1267,2.1416,539160
2013-01-31,2.1616,2.1616,2.1267,2.1416,429379
2013-02-01,2.1715,2.1715,2.1416,2.1516,308118
2013-02-04,2.1416,2.1516,2.1317,2.1317,266688
2013-02-05,2.1317,2.1516,2.1118,2.1118,438591
2013-02-06,2.1118,2.1317,2.1118,2.1317,459718
2013-02-07,2.1217,2.1317,2.1217,2.1317,327487
2013-02-08,2.1317,2.1416,2.1267,2.1416,315441
2013-02-11,2.1416,2.1865,2.1317,2.1715,604386
2013-02-12,2.1416,2.1715,2.1416,2.1516,533926
2013-02-13,2.1516,2.1715,2.1516,2.1715,758630
2013-02-14,2.1516,2.1715,2.1516,2.1516,357018
2013-02-15,2.1616,2.2114,2.1516,2.2114,1174555
2013-02-18,2.2114,2.2114,2.1715,2.1815,434623
2013-02-19,2.1715,2.2213,2.1715,2.2213,322668
2013-02-20,2.2213,2.2313,2.1964,2.2213,692783
2013-02-21,2.2213,2.2313,2.1416,2.1516,358955
2013-02-22,2.1416,2.2014,2.1416,2.1715,748779
2013-02-25,2.1815,2.1815,2.1516,2.1715,603697
2013-02-26,2.1815,2.1915,2.1616,2.1815,652606
2013-02-27,2.1915,2.2213,2.1865,2.2213,678107
2013-02-28,2.2213,2.2313,2.1915,2.2114,1237679
2013-03-01,2.2213,2.2213,2.1317,2.1516,547893
2013-03-04,2.1516,2.1915,2.1516,2.1715,256275
2013-03-05,2.1915,2.2014,2.1715,2.1815,359112
2013-03-06,2.1815,2.1915,2.1715,2.1915,501102
2013-03-07,2.1915,2.1915,2.1516,2.1616,361883
2013-03-08,2.1516,2.1915,2.1516,2.1715,286797
2013-03-11,2.1715,2.1915,2.1616,2.1915,349145
2013-03-12,2.1616,2.1915,2.1616,2.1915,344960
2013-03-13,2.1915,2.2114,2.1765,2.1915,666504
2013-03-14,2.1915,2.2114,2.1516,2.1516,303147
2013-03-15,2.1516,2.2114,2.1516,2.2114,693395
2013-03-18,2.2114,2.2263,2.1765,2.2014,761176
2013-03-19,2.2213,2.2213,2.2014,2.2213,299637
2013-03-20,2.2213,2.2213,2.1915,2.2213,616682
2013-03-21,2.2213,2.2213,2.1815,2.1815,858011
2013-03-22,2.1715,2.1915,2.1466,2.1516,316626
2013-03-25,2.1616,2.1815,2.1416,2.1616,348573
2013-03-26,2.1516,2.1715,2.1416,2.1516,661530
2013-03-27,2.1815,2.1815,2.1566,2.1616,370754
2013-03-28,2.1516,2.1616,2.1416,2.1416,635075
2013-04-02,2.1416,2.1815,2.1416,2.1516,567552
2013-04-03,2.1516,2.1715,2.1516,2.1616,462200
2013-04-04,2.1516,2.1715,2.1416,2.1516,582550
2013-04-05,2.1516,2.1616,2.1416,2.1516,622451
2013-04-08,2.1416,2.1616,2.1416,2.1616,527790
2013-04-09,2.1516,2.1566,2.1416,2.1516,714636
2013-04-10,2.1416,2.1616,2.1416,2.1616,398751
2013-04-11,2.1516,2.2014,2.1516,2.2014,609775
2013-04-12,2.1715,2.2213,2.1715,2.2213,422319
2013-04-15,2.2213,2.2413,2.2014,2.2413,519881
2013-04-16,2.2313,2.2413,2.2114,2.2313,411428
2013-04-17,2.2413,2.2512,2.2213,2.2213,777693
2013-04-18,2.2114,2.2313,2.1815,2.1815,387295
2013-04-19,2.1616,2.1915,2.1616,2.1915,836393
2013-04-22,2.1815,2.2462,2.1815,2.2213,434334
2013-04-23,2.2512,2.2512,2.2213,2.2413,315802
