Date,Open,High,Low,Close,Volume
2013-01-02,1.0023,1.0111,0.9936,0.9936,773648.0
2013-01-03,1.0023,1.0416,1.0023,1.0198,1151461.0
2013-01-04,1.0198,1.0416,1.0154,1.0416,806476.0
2013-01-07,1.0590000000000002,1.0895,1.0503,1.0808,1120070.0
2013-01-08,1.0982,1.1157,1.0633,1.0677,717815.0
2013-01-09,1.0677,1.0851,1.0677,1.0851,446618.0
2013-01-10,1.0895,1.1157,1.0851,1.1069,883560.0
2013-01-11,1.1069,1.1113,1.0939,1.1069,376468.0
2013-01-14,1.1157,1.181,1.1069,1.1418,877995.0
2013-01-15,1.1418,1.2072,1.1418,1.1941,991908.0
2013-01-16,1.2028,1.3161,1.2028,1.3118,2442998.0
2013-01-17,1.3161,1.4076,1.3161,1.3989,2138477.0
2013-01-18,1.3946,1.3946,1.3335,1.3466,1373367.0
2013-01-21,1.3335,1.412,1.3335,1.4076,873507.0
2013-01-22,1.4076,1.5057,1.4076,1.4948,1628875.0
2013-01-23,1.5122,1.5209,1.4599,1.4817,1336739.0
2013-01-24,1.4817,1.4817,1.4425,1.4643,663306.0
2013-01-25,1.4643,1.4643,1.4164,1.4381,1192976.0
2013-01-29,1.4381,1.5732,1.4294,1.5253,5787997.0
2013-01-30,1.5166,1.5689,1.5122,1.534,2264024.0
2013-01-31,1.5427,1.5427,1.4904,1.4992,6078229.0
2013-02-01,1.5079,1.5253,1.5079,1.5166,333596.0
2013-02-04,1.5122,1.5209,1.4643,1.4817,1292612.0
2013-02-05,1.473,1.4992,1.4643,1.4774,706610.0
2013-02-06,1.4599,1.4904,1.4599,1.4817,923603.0
2013-02-07,1.4643,1.473,1.4381,1.473,347515.0
2013-02-08,1.4469,1.4599,1.4251,1.4425,646572.0
2013-02-11,1.4381,1.4556,1.4294,1.4381,607815.0
2013-02-12,1.4381,1.4512,1.3989,1.4033,768605.0
2013-02-13,1.3858,1.3858,1.2202,1.3292,1630952.0
2013-02-14,1.3248,1.3641,1.2856,1.351,1350524.0
2013-02-15,1.3292,1.351,1.3161,1.3379,281852.0
2013-02-18,1.351,1.3946,1.3423,1.3858,317552.0
2013-02-19,1.3684,1.4076,1.3423,1.3641,761174.0
2013-02-20,1.3423,1.3684,1.3423,1.3553,408427.0
2013-02-21,1.3335,1.3423,1.29,1.3161,1002975.0
2013-02-22,1.2943,1.3335,1.2551,1.3292,598129.0
2013-02-25,1.3423,1.4338,1.3423,1.3553,842553.0
2013-02-26,1.3946,1.5079,1.3641,1.4381,2447053.0
2013-02-27,1.4643,1.4904,1.4556,1.4686,12912515.0
2013-02-28,1.4817,1.4992,1.4643,1.4904,2323041.0
2013-03-01,1.4992,1.4992,1.4774,1.4817,1415286.0
2013-03-04,1.4817,1.4992,1.4381,1.4556,2165882.0
2013-03-05,1.4817,1.5035,1.4817,1.4992,4034658.0
2013-03-06,1.5079,1.5079,1.4686,1.5035,869706.0
2013-03-07,1.5035,1.5035,1.4817,1.4948,416219.0
2013-03-08,1.4992,1.5079,1.473,1.4948,644492.0
2013-03-11,1.4948,1.5079,1.4904,1.4948,377768.0
2013-03-12,1.4861,1.4948,1.4556,1.4556,518389.0
2013-03-13,1.4512,1.4686,1.4251,1.4686,503456.0
2013-03-14,1.4817,1.4817,1.4294,1.4512,418627.0
2013-03-15,1.4512,1.5079,1.4381,1.5079,1261948.0
2013-03-18,1.4643,1.5079,1.4512,1.4643,324146.0
2013-03-19,1.4817,1.5079,1.4512,1.4817,942917.0
2013-03-20,1.473,1.4774,1.4207,1.4686,604995.0
2013-03-21,1.4817,1.4817,1.4381,1.4425,724068.0
2013-03-22,1.4294,1.4469,1.3728,1.3771,758555.0
2013-03-25,1.3728,1.4098,1.3553,1.3641,488243.0
2013-03-26,1.3641,1.3858,1.3423,1.351,493695.0
2013-03-27,1.3858,1.4076,1.3684,1.4033,301656.0
2013-03-28,1.3946,1.3946,1.3641,1.3771,367095.0
2013-04-02,1.3771,1.3946,1.3118,1.3161,451437.0
2013-04-03,1.3074,1.3597,1.2987,1.3379,743242.0
2013-04-04,1.3161,1.3423,1.3161,1.3335,1846419.0
2013-04-05,1.3161,1.3335,1.3074,1.3074,3761487.0
2013-04-08,1.3074,1.3118,1.2943,1.3030000000000002,259717.0
2013-04-09,1.3030000000000002,1.3118,1.29,1.3074,606203.0
2013-04-10,1.3030000000000002,1.3292,1.2856,1.3030000000000002,951988.0
2013-04-11,1.29,1.3161,1.29,1.3161,258336.0
2013-04-12,1.3118,1.3335,1.3048,1.3118,600673.0
2013-04-15,1.3030000000000002,1.3118,1.2682,1.2725,396057.0
2013-04-16,1.2464,1.2725,1.2464,1.2638,355704.0
2013-04-17,1.2638,1.3248,1.2638,1.3074,824201.0
2013-04-18,1.3074,1.3074,1.2682,1.2812,534247.0
2013-04-19,1.2725,1.29,1.2682,1.29,617301.0
2013-04-22,1.2943,1.3335,1.29,1.3292,727343.0
2013-04-23,1.3292,1.3902,1.3248,1.351,485250.0
2013-04-24,1.351,1.3946,1.351,1.3946,554565.0
2013-04-26,1.3946,1.4251,1.3771,1.4164,564058.0
2013-04-29,1.4076,1.4294,1.4076,1.4251,763825.0
2013-04-30,1.4251,1.4512,1.4164,1.4381,1156164.0
2013-05-01,1.4381,1.4381,1.4076,1.412,457508.0
2013-05-02,1.4033,1.4033,1.351,1.3946,794936.0
2013-05-03,1.4207,1.4207,1.3553,1.3858,701425.0
2013-05-06,1.3815,1.3902,1.3728,1.3858,589083.0
2013-05-07,1.3946,1.4033,1.3771,1.3946,596114.0
2013-05-08,1.4076,1.4338,1.3771,1.3946,1465821.0
2013-05-09,1.3858,1.3946,1.3553,1.3771,1223440.0
2013-05-10,1.3771,1.3815,1.351,1.3597,886468.0
2013-05-13,1.3597,1.3728,1.3161,1.3597,710432.0
2013-05-14,1.351,1.3641,1.2812,1.3074,1783978.0
2013-05-15,1.3205,1.3292,1.2551,1.2551,854720.0
2013-05-16,1.2769,1.3161,1.2769,1.3074,854260.0
2013-05-17,1.3205,1.3335,1.3030000000000002,1.3205,791124.0
2013-05-20,1.3118,1.3335,1.3118,1.3161,920171.0
2013-05-21,1.3118,1.3248,1.2856,1.2987,713466.0
2013-05-22,1.3030000000000002,1.3074,1.283,1.2856,415726.0
2013-05-23,1.2943,1.2943,1.2377,1.2464,472488.0
2013-05-24,1.29,1.29,1.2159,1.2333,521844.0
2013-05-27,1.229,1.2464,1.2159,1.229,272431.0
2013-05-28,1.242,1.2507,1.229,1.2377,171965.0
2013-05-29,1.229,1.2769,1.229,1.2638,732671.0
2013-05-30,1.2377,1.2464,1.1941,1.2202,946626.0
2013-05-31,1.229,1.2638,1.229,1.229,340141.0
2013-06-03,1.242,1.242,1.2028,1.2028,241862.0
2013-06-04,1.2028,1.2072,1.1505,1.1636,805654.0
2013-06-05,1.1157,1.12,1.0764,1.0764,844573.0
2013-06-06,1.0633,1.0764,1.0329,1.0416,1517827.0
2013-06-07,1.0372,1.0459,0.9936,1.0023,1022829.0
2013-06-11,1.0198,1.0416,1.0023,1.0416,770139.0
2013-06-12,1.0241,1.0721,1.0198,1.0241,1253484.0
2013-06-13,1.0241,1.0546,1.0154,1.0372,917208.0
2013-06-14,1.0372,1.1244,1.0372,1.0764,720282.0
2013-06-17,1.0459,1.0503,0.9718,0.998,1962596.0
2013-06-18,0.9849,0.998,0.9152,0.937,3098900.0
2013-06-19,0.9631,1.0154,0.95,1.0111,859882.0
2013-06-20,1.0023,1.0067,1.0023,1.0023,1086561.0
2013-06-21,0.9936,1.0023,0.9631,1.0023,490556.0
2013-06-24,1.0023,1.0023,0.9588,0.9762,1058844.0
2013-06-25,0.9762,0.991,0.9675,0.9849,310694.0
2013-06-26,1.0023,1.0503,1.0023,1.0503,624567.0
2013-06-27,1.0503,1.0721,1.0372,1.0721,976023.0
2013-06-28,1.0721,1.1287,1.0721,1.1069,1120863.0
2013-07-01,1.0721,1.0939,1.0721,1.0939,682747.0
2013-07-02,1.1069,1.1331,1.1069,1.12,476466.0
2013-07-03,1.1244,1.1374,1.0939,1.1374,865125.0
2013-07-04,1.1461,1.2072,1.1392,1.1897,583754.0
2013-07-05,1.2115,1.2115,1.1767,1.1897,356664.0
2013-07-08,1.1767,1.1941,1.1592,1.1767,331855.0
2013-07-09,1.1984,1.2072,1.181,1.1984,716349.0
2013-07-10,1.2028,1.2115,1.1636,1.1636,518571.0
2013-07-11,1.1636,1.1854,1.1418,1.1767,811378.0
2013-07-12,1.2028,1.2028,1.1636,1.1679,456110.0
2013-07-15,1.1723,1.1767,1.1592,1.1767,293628.0
2013-07-16,1.2028,1.2028,1.1549,1.1636,4001504.0
2013-07-17,1.1505,1.1767,1.1374,1.1549,245937.0
2013-07-18,1.1723,1.1854,1.1549,1.1767,475370.0
2013-07-19,1.1767,1.1897,1.1592,1.181,406207.0
2013-07-22,1.1984,1.2115,1.1723,1.1941,334108.0
2013-07-23,1.2028,1.2551,1.1941,1.2507,1597101.0
2013-07-24,1.2333,1.3292,1.229,1.3074,1198125.0
2013-07-25,1.2812,1.29,1.2464,1.2812,264730.0
2013-07-26,1.2682,1.29,1.2246,1.2725,839302.0
2013-07-29,1.2943,1.3205,1.2812,1.2943,772855.0
2013-07-30,1.3161,1.3248,1.2812,1.3161,636610.0
2013-07-31,1.3074,1.3205,1.2769,1.3118,500779.0
2013-08-01,1.3205,1.3205,1.29,1.3030000000000002,536113.0
2013-08-02,1.3030000000000002,1.3248,1.2987,1.3074,494361.0
2013-08-05,1.3030000000000002,1.3597,1.2943,1.3074,925568.0
2013-08-06,1.3248,1.3248,1.29,1.3030000000000002,316674.0
2013-08-07,1.3074,1.3161,1.2943,1.2943,2067068.0
2013-08-08,1.3161,1.3205,1.2987,1.3074,1478859.0
2013-08-09,1.3074,1.3118,1.2377,1.2638,1299015.0
2013-08-12,1.2464,1.3074,1.2377,1.29,751281.0
2013-08-13,1.2725,1.2812,1.2377,1.2377,1296535.0
2013-08-14,1.2246,1.229,1.1984,1.229,744035.0
2013-08-15,1.229,1.2682,1.2072,1.2246,540061.0
2013-08-16,1.229,1.242,1.2176,1.2333,277571.0
2013-08-19,1.2551,1.2551,1.229,1.2333,546655.0
2013-08-20,1.229,1.229,1.1941,1.2202,517081.0
2013-08-21,1.2159,1.2159,1.1941,1.2072,171588.0
2013-08-22,1.1984,1.2028,1.1287,1.1592,513627.0
2013-08-23,1.1549,1.1984,1.1287,1.1331,821309.0
2013-08-26,1.1505,1.1592,1.1287,1.1287,316407.0
2013-08-27,1.1331,1.1331,1.1026,1.1157,1466304.0
2013-08-28,1.1157,1.1287,1.0982,1.0982,1795508.0
2013-08-29,1.0982,1.1069,1.0895,1.0895,330859.0
2013-08-30,1.0764,1.1043,1.0764,1.0895,373406.0
2013-09-02,1.0808,1.0851,1.0721,1.0764,616914.0
2013-09-03,1.0808,1.0808,1.0633,1.0677,727018.0
2013-09-04,1.0633,1.0764,1.0546,1.0677,5871504.0
2013-09-05,1.0808,1.1418,1.0808,1.1374,1038013.0
2013-09-06,1.1331,1.1767,1.1287,1.1331,2438210.0
2013-09-09,1.1549,1.1767,1.1331,1.1592,546365.0
2013-09-10,1.1636,1.229,1.1636,1.2202,958112.0
2013-09-11,1.2246,1.2682,1.2089,1.2638,978069.0
2013-09-12,1.2725,1.3118,1.2333,1.2638,1241147.0
2013-09-13,1.2638,1.2725,1.2115,1.2159,614088.0
2013-09-16,1.229,1.2682,1.2115,1.2115,475708.0
2013-09-17,1.2072,1.2638,1.2072,1.2638,593051.0
2013-09-18,1.2638,1.266,1.2464,1.2464,250044.0
2013-09-19,1.2638,1.2987,1.2507,1.2507,882125.0
2013-09-20,1.2464,1.2569,1.1941,1.1941,11560337.0
2013-09-23,1.1941,1.2202,1.1854,1.1854,2162052.0
2013-09-24,1.1941,1.2072,1.1767,1.1854,1440032.0
2013-09-25,1.1984,1.1984,1.1418,1.1418,290076.0
2013-09-26,1.1418,1.1549,1.1287,1.1505,268950.0
2013-09-27,1.1592,1.1984,1.1549,1.1854,544716.0
2013-09-30,1.1767,1.2072,1.1592,1.2028,375860.0
2013-10-01,1.181,1.2072,1.181,1.1897,360370.0
2013-10-02,1.1941,1.2115,1.1897,1.2028,523484.0
2013-10-03,1.2202,1.2333,1.2002,1.2333,459007.0
2013-10-04,1.2333,1.2769,1.2159,1.2769,1053848.0
2013-10-07,1.2725,1.3030000000000002,1.2725,1.2987,1004868.0
2013-10-08,1.2856,1.3205,1.2812,1.3205,7473156.0
2013-10-09,1.3074,1.3597,1.2333,1.3423,1123381.0
2013-10-10,1.3858,1.4512,1.3728,1.4294,1639535.0
2013-10-11,1.3771,1.4425,1.3771,1.4338,701191.0
2013-10-14,1.4164,1.4338,1.3946,1.3989,825267.0
2013-10-15,1.3858,1.412,1.3684,1.3989,818856.0
2013-10-16,1.3902,1.4469,1.3771,1.4164,1248391.0
2013-10-17,1.4381,1.4774,1.3815,1.4425,815382.0
2013-10-18,1.4425,1.4817,1.4294,1.4774,1089073.0
2013-10-21,1.4904,1.643,1.4904,1.6299,2415259.0
2013-10-22,1.6473,1.7432,1.6473,1.6735,2570808.0
2013-10-23,1.6648,1.6691,1.6011,1.6604,1692695.0
2013-10-24,1.656,1.7955,1.656,1.7432,3977870.0
2013-10-25,1.7258,1.8042,1.7258,1.7694,2397367.0
2013-10-28,1.7694,1.7694,1.7694,1.7694,0.0
2013-10-29,1.7694,1.7694,1.7694,1.7694,0.0
2013-10-30,1.9,1.92,1.82,1.84,67841276.0
2013-10-31,1.85,1.875,1.84,1.855,8947280.0
2013-11-01,1.85,1.855,1.84,1.85,5078198.0
2013-11-04,1.855,1.89,1.855,1.87,4981790.0
2013-11-05,1.855,1.89,1.855,1.87,4981790.0
2013-11-06,1.855,1.89,1.855,1.87,4981790.0
2013-11-07,1.855,1.89,1.855,1.87,4981790.0
2013-11-08,1.83,1.86,1.785,1.86,2933008.0
2013-11-11,1.87,1.94,1.865,1.9,3520824.0
2013-11-12,1.88,1.9,1.872,1.89,6981595.0
2013-11-13,1.89,2.02,1.89,1.99,5143342.0
2013-11-14,2.02,2.07,1.99,2.07,4138455.0
2013-11-15,2.08,2.08,2.03,2.05,3539903.0
2013-11-18,2.08,2.08,1.99,2.03,2262635.0
2013-11-19,2.04,2.04,1.955,2.02,3250106.0
2013-11-20,2.02,2.08,2.01,2.07,2122359.0
2013-11-21,2.05,2.08,2.02,2.07,1504888.0
2013-11-22,2.07,2.15,2.07,2.11,973069.0
2013-11-25,2.11,2.19,2.1,2.13,1810249.0
2013-11-26,2.15,2.19,2.13,2.19,5092362.0
2013-11-27,2.19,2.2,2.13,2.13,1190218.0
2013-11-28,2.12,2.18,2.1,2.14,1443705.0
2013-11-29,2.14,2.15,2.08,2.15,701854.0
2013-12-02,2.15,2.17,2.11,2.12,823885.0
2013-12-03,2.1,2.15,2.06,2.12,3585516.0
2013-12-04,2.1,2.16,2.1,2.11,1433851.0
2013-12-05,2.1,2.14,2.09,2.09,662130.0
2013-12-06,2.04,2.08,1.97,2.05,2913415.0
2013-12-09,2.0,2.055,2.0,2.03,1354485.0
2013-12-10,2.02,2.07,2.0,2.04,1394623.0
2013-12-11,2.02,2.05,1.995,2.04,1402276.0
2013-12-12,2.03,2.03,1.995,2.0,2046464.0
2013-12-13,1.98,2.0,1.965,1.98,718267.0
2013-12-16,1.98,2.02,1.98,2.0,884257.0
2013-12-17,2.01,2.02,1.96,1.985,1437207.0
2013-12-18,1.99,1.995,1.935,1.96,340671.0
2013-12-19,1.95,1.975,1.905,1.95,2554656.0
2013-12-20,1.965,1.97,1.93,1.95,1585272.0
2013-12-23,1.93,1.952,1.925,1.95,853037.0
2013-12-24,1.95,1.955,1.935,1.95,814442.0
2013-12-27,1.95,2.0,1.93,1.99,562216.0
2013-12-30,2.0,2.13,1.99,2.13,1278562.0
2013-12-31,2.05,2.13,2.03,2.06,594049.0
2014-01-02,2.04,2.07,2.03,2.05,357736.0
2014-01-03,2.05,2.06,2.02,2.06,99789.0
2014-01-06,2.03,2.05,2.01,2.02,156652.0
2014-01-07,2.03,2.19,2.02,2.15,2434977.0
2014-01-08,2.17,2.17,2.13,2.17,393173.0
2014-01-09,2.18,2.24,2.17,2.24,1389691.0
2014-01-10,2.24,2.25,2.19,2.25,343876.0
2014-01-13,2.25,2.33,2.24,2.25,1166803.0
2014-01-14,2.25,2.26,2.13,2.2,811062.0
2014-01-15,2.2,2.2,2.15,2.15,1012382.0
2014-01-16,2.18,2.21,2.15,2.2,801802.0
2014-01-17,2.21,2.25,2.21,2.25,670841.0
2014-01-20,2.25,2.25,2.17,2.17,629392.0
2014-01-21,2.19,2.205,2.14,2.17,487370.0
2014-01-22,2.18,2.18,2.13,2.18,463180.0
2014-01-23,2.18,2.18,2.14,2.14,258147.0
2014-01-24,2.13,2.17,2.09,2.15,371859.0
2014-01-28,2.08,2.11,2.07,2.08,414062.0
2014-01-29,2.1,2.16,2.09,2.15,1214050.0
2014-01-30,2.12,2.2,2.11,2.17,424840.0
2014-01-31,2.17,2.17,2.08,2.13,929502.0
2014-02-03,2.14,2.14,2.08,2.1,410365.0
2014-02-04,2.05,2.1,2.045,2.1,1565563.0
2014-02-05,2.06,2.16,2.06,2.14,529993.0
2014-02-06,2.15,2.2,2.13,2.17,507610.0
2014-02-07,2.16,2.2,2.13,2.16,391426.0
2014-02-10,2.16,2.185,2.13,2.13,215787.0
2014-02-11,2.13,2.15,2.125,2.15,181038.0
2014-02-12,2.12,2.19,2.12,2.19,1819719.0
2014-02-13,2.16,2.2,2.15,2.19,765477.0
2014-02-14,2.18,2.25,2.18,2.25,1041172.0
2014-02-17,2.29,2.39,2.28,2.35,2603365.0
2014-02-18,2.34,2.34,2.265,2.32,912097.0
2014-02-19,2.3,2.3,2.16,2.17,2428574.0
2014-02-20,2.13,2.21,2.04,2.1,3391609.0
2014-02-21,2.06,2.12,2.04,2.06,15189998.0
2014-02-24,2.1,2.11,2.05,2.06,1650506.0
2014-02-25,2.1,2.1,2.06,2.08,2361030.0
2014-02-26,2.08,2.14,2.07,2.08,1482946.0
2014-02-27,2.08,2.09,2.07,2.08,545408.0
2014-02-28,2.1,2.11,2.05,2.08,877331.0
2014-03-03,2.08,2.1,2.03,2.1,2856000.0
2014-03-04,2.09,2.09,2.05,2.06,1091592.0
2014-03-05,2.07,2.09,2.05,2.09,1468618.0
2014-03-06,2.09,2.15,2.07,2.14,1984837.0
2014-03-07,2.11,2.14,2.07,2.09,1311604.0
2014-03-10,2.08,2.12,2.03,2.03,705169.0
2014-03-11,2.02,2.07,1.98,2.0,2963590.0
2014-03-12,2.0,2.03,1.967,1.97,1256125.0
2014-03-13,1.97,1.995,1.96,1.97,818862.0
2014-03-14,1.95,1.98,1.945,1.95,452807.0
2014-03-17,1.935,2.01,1.935,2.01,989474.0
2014-03-18,2.03,2.03,1.99,2.02,1507412.0
2014-03-19,2.02,2.05,2.01,2.05,752724.0
2014-03-20,1.99,2.03,1.99,2.02,1300202.0
2014-03-21,2.02,2.07,2.0,2.06,3164013.0
2014-03-24,2.06,2.065,2.03,2.05,1229382.0
2014-03-25,2.03,2.03,1.975,1.985,1423743.0
2014-03-26,2.0,2.03,1.965,1.97,597993.0
2014-03-27,1.96,2.01,1.927,1.995,1149778.0
2014-03-28,1.975,2.01,1.97,1.995,526161.0
2014-03-31,2.01,2.04,2.0,2.02,1602677.0
2014-04-01,2.01,2.02,1.97,2.01,1489252.0
2014-04-02,2.02,2.04,2.0,2.03,858605.0
2014-04-03,2.03,2.05,2.02,2.04,406261.0
2014-04-04,2.03,2.045,2.03,2.03,782627.0
2014-04-07,2.08,2.09,2.03,2.07,852722.0
2014-04-08,2.06,2.07,2.01,2.07,1351353.0
2014-04-09,2.07,2.08,2.05,2.07,941534.0
2014-04-10,2.08,2.1,2.07,2.1,1724442.0
2014-04-11,2.06,2.06,2.02,2.05,791104.0
2014-04-14,2.03,2.04,1.965,1.99,786531.0
2014-04-15,1.99,2.01,1.98,2.0,764147.0
2014-04-16,2.0,2.03,1.992,2.01,981849.0
2014-04-17,1.99,2.03,1.96,2.01,914767.0
2014-04-22,2.03,2.03,2.01,2.03,420300.0
2014-04-23,2.04,2.05,2.015,2.05,366978.0
2014-04-24,2.05,2.055,2.03,2.05,614581.0
2014-04-28,2.04,2.05,2.035,2.05,493240.0
2014-04-29,2.05,2.05,2.03,2.04,561530.0
2014-04-30,2.05,2.05,2.02,2.03,304958.0
2014-05-01,2.05,2.05,2.025,2.03,630886.0
2014-05-02,2.03,2.05,2.025,2.03,609089.0
2014-05-05,2.04,2.05,2.03,2.03,338401.0
2014-05-06,2.04,2.05,2.03,2.05,651240.0
2014-05-07,2.04,2.05,2.03,2.03,647988.0
2014-05-08,2.05,2.05,2.03,2.04,585414.0
2014-05-09,2.05,2.075,2.03,2.06,482462.0
2014-05-12,2.06,2.09,2.05,2.09,1462232.0
2014-05-13,2.08,2.09,2.06,2.08,693694.0
2014-05-14,2.09,2.12,2.08,2.11,613324.0
2014-05-15,2.1,2.1,2.07,2.1,266691.0
2014-05-16,2.09,2.09,2.065,2.07,264853.0
2014-05-19,2.07,2.08,2.015,2.03,448007.0
2014-05-20,2.04,2.05,1.98,2.01,533153.0
2014-05-21,1.985,2.01,1.977,2.0,1136231.0
2014-05-22,2.02,2.03,1.997,2.0,1335926.0
2014-05-23,2.0,2.04,1.995,2.02,488280.0
2014-05-26,2.04,2.05,2.02,2.04,504773.0
