Date,Open,High,Low,Close,Volume
2013-01-02,1.5591,1.5875,1.5308,1.5875,119046
2013-01-03,1.5875,1.6158,1.5875,1.6158,32677
2013-01-04,1.5875,1.6158,1.5875,1.5875,25243
2013-01-07,1.5875,1.6158,1.5591,1.5875,18152
2013-01-08,1.5875,1.5875,1.5591,1.5591,29879
2013-01-09,1.5591,1.5875,1.5591,1.5875,46851
2013-01-10,1.5875,1.5875,1.5591,1.5591,69414
2013-01-11,1.5591,1.5875,1.5591,1.5875,90347
2013-01-14,1.5875,1.5875,1.5591,1.5591,111296
2013-01-15,1.5591,1.5591,1.5591,1.5591,112384
2013-01-16,1.5591,1.5875,1.5308,1.5308,74551
2013-01-17,1.5308,1.5875,1.5308,1.5591,156256
2013-01-18,1.5591,1.5591,1.5308,1.5591,86935
2013-01-21,1.5591,1.5591,1.5308,1.5308,109479
2013-01-22,1.5308,1.5591,1.5308,1.5591,239826
2013-01-23,1.5591,1.5591,1.5308,1.5591,260637
2013-01-24,1.5591,1.5591,1.5308,1.5591,132513
2013-01-25,1.5591,1.5875,1.5308,1.5591,138914
2013-01-29,1.5591,1.5591,1.5591,1.5591,5495
2013-01-30,1.5591,1.5875,1.5591,1.5875,66014
2013-01-31,1.5591,1.5875,1.5591,1.5875,43767
2013-02-01,1.5875,1.5875,1.5591,1.5591,104644
2013-02-04,1.5591,1.5591,1.5308,1.5591,769718
2013-02-05,1.5591,1.5591,1.5308,1.5591,74947
2013-02-06,1.5308,1.5875,1.5308,1.5308,297511
2013-02-07,1.5591,1.5875,1.5591,1.5875,188588
2013-02-08,1.5875,1.6442,1.5875,1.6442,684084
2013-02-11,1.6158,1.6442,1.6158,1.6442,104205
2013-02-12,1.6725,1.6725,1.6158,1.6725,111244
2013-02-13,1.6442,1.6725,1.6442,1.6725,51049
2013-02-14,1.6725,1.6725,1.6725,1.6725,0
2013-02-15,1.6725,1.6725,1.6725,1.6725,0
2013-02-18,1.6725,1.7292,1.6725,1.7009,4366838
2013-02-19,1.7576,1.7859,1.7292,1.7576,1093293
2013-02-20,1.7292,1.7859,1.7009,1.7292,109476
2013-02-21,1.7292,1.7576,1.7292,1.7292,296459
2013-02-22,1.7292,1.7576,1.7292,1.7292,159589
2013-02-25,1.7576,1.7576,1.7009,1.7009,488520
2013-02-26,1.6725,1.7292,1.6725,1.7009,24464
2013-02-27,1.7009,1.7009,1.6725,1.6725,31668
2013-02-28,1.7009,1.7292,1.6725,1.7009,63973
2013-03-01,1.7009,1.7292,1.6442,1.7009,84608
2013-03-04,1.7009,1.7009,1.6158,1.6442,72269
2013-03-05,1.6725,1.7009,1.6442,1.6442,10195
2013-03-06,1.6442,1.6725,1.6442,1.6725,50465
2013-03-07,1.7009,1.7009,1.6442,1.6442,49217
2013-03-08,1.6725,1.7009,1.6442,1.6725,63613
2013-03-11,1.6725,1.7009,1.5591,1.5875,140162
2013-03-12,1.6158,1.7009,1.6158,1.7009,3085176
2013-03-13,1.7009,1.7009,1.6442,1.6725,31149
2013-03-14,1.6725,1.7009,1.6442,1.6725,78064
2013-03-15,1.6725,1.7576,1.6725,1.7576,60457
2013-03-18,1.7292,1.7576,1.6725,1.7576,47790
2013-03-19,1.7009,1.7576,1.7009,1.7292,43035
2013-03-20,1.7009,1.7009,1.6725,1.6725,77942
2013-03-21,1.6725,1.7009,1.6442,1.6442,36438
2013-03-22,1.6442,1.6725,1.6158,1.6725,46540
2013-03-25,1.6725,1.6725,1.6442,1.6442,29817
2013-03-26,1.6442,1.6725,1.6442,1.6442,321986
2013-03-27,1.6725,1.6725,1.6725,1.6725,28870
2013-03-28,1.7009,1.7009,1.6725,1.7009,2946275
2013-04-02,1.7009,1.7009,1.7009,1.7009,11641
2013-04-03,1.6725,1.7009,1.6725,1.6725,86614
2013-04-04,1.6725,1.7009,1.6442,1.6442,175228
2013-04-05,1.6442,1.7009,1.6442,1.7009,19167
2013-04-08,1.7009,1.7009,1.6725,1.7009,122426
2013-04-09,1.6725,1.7009,1.6725,1.6725,86078
2013-04-10,1.7009,1.7292,1.6725,1.7292,97673
2013-04-11,1.7292,1.7292,1.6725,1.7009,90722
2013-04-12,1.7009,1.7576,1.6725,1.7292,207038
2013-04-15,1.7292,1.7576,1.7009,1.7292,215817
2013-04-16,1.7009,1.7292,1.7009,1.7292,484910
2013-04-17,1.7292,1.7859,1.7292,1.7576,220259
2013-04-18,1.7292,1.7576,1.7292,1.7576,204705
2013-04-19,1.7576,1.7859,1.7576,1.7576,444702
2013-04-22,1.7859,1.7859,1.7576,1.7859,23930
2013-04-23,1.7576,1.7859,1.7576,1.7859,79829
2013-04-24,1.7859,1.8426,1.7859,1.8142,200989
2013-04-26,1.8142,1.8142,1.7859,1.8142,54091
2013-04-29,1.8142,1.8993,1.8142,1.8142,285312
2013-04-30,1.8426,1.8709,1.8142,1.8426,313956
2013-05-01,1.8142,1.8426,1.8142,1.8426,251567
2013-05-02,1.8426,1.8426,1.8142,1.8142,89648
