Date,Open,High,Low,Close,Volume
2013-01-02,3.23,3.28,3.21,3.26,2222466
2013-01-03,3.26,3.31,3.25,3.27,3853474
2013-01-04,3.27,3.29,3.25,3.25,3973249
2013-01-07,3.28,3.29,3.235,3.28,3403851
2013-01-08,3.3,3.32,3.27,3.28,5089386
2013-01-09,3.32,3.34,3.28,3.28,9726892
2013-01-10,3.29,3.3,3.26,3.27,7130873
2013-01-11,3.25,3.26,3.17,3.2,8366916
2013-01-14,3.24,3.245,3.2,3.21,3716576
2013-01-15,3.2,3.27,3.2,3.23,8153757
2013-01-16,3.2,3.2,3.13,3.18,15576124
2013-01-17,3.17,3.185,3.13,3.17,9517966
2013-01-18,3.16,3.19,3.15,3.16,5189137
2013-01-21,3.18,3.18,3.125,3.17,6287032
2013-01-22,3.15,3.17,3.105,3.14,5279242
2013-01-23,3.17,3.17,3.06,3.1,14408548
2013-01-24,3.09,3.13,3.07,3.1,7461000
2013-01-25,3.1,3.12,3.08,3.1,8754012
2013-01-29,3.14,3.17,3.13,3.16,7959215
2013-01-30,3.18,3.26,3.15,3.24,18848422
2013-01-31,3.21,3.255,3.2,3.23,10308531
2013-02-01,3.23,3.24,3.18,3.18,13273680
2013-02-04,3.2,3.24,3.2,3.23,4520745
2013-02-05,3.19,3.26,3.18,3.19,9447216
2013-02-06,3.23,3.25,3.21,3.23,12146216
2013-02-07,3.23,3.24,3.2,3.22,7847728
2013-02-08,3.23,3.245,3.21,3.21,8590161
2013-02-11,3.21,3.21,3.13,3.16,6546994
2013-02-12,3.16,3.19,3.15,3.18,4435726
2013-02-13,3.19,3.23,3.18,3.19,7287531
2013-02-14,3.17,3.22,3.17,3.22,5261291
2013-02-15,3.21,3.21,3.13,3.15,6217067
2013-02-18,3.18,3.18,3.14,3.17,3516146
2013-02-19,3.19,3.23,3.16,3.21,5666991
2013-02-20,3.22,3.25,3.2,3.23,7190899
2013-02-21,3.24,3.29,3.21,3.25,7902582
2013-02-22,3.25,3.28,3.21,3.26,6593893
2013-02-25,3.24,3.27,3.23,3.26,5452201
2013-02-26,3.22,3.25,3.16,3.19,4042163
2013-02-27,3.2,3.23,3.065,3.17,12312195
2013-02-28,3.16,3.23,3.115,3.23,8231838
2013-03-01,3.18,3.22,3.12,3.15,6754581
2013-03-04,3.16,3.17,3.08,3.13,3761215
2013-03-05,3.18,3.25,3.16,3.2,10329152
2013-03-06,3.24,3.24,3.17,3.2,9449057
2013-03-07,3.18,3.22,3.13,3.14,6812719
2013-03-08,3.14,3.195,3.125,3.19,7523467
2013-03-11,3.19,3.26,3.16,3.25,8770977
2013-03-12,3.24,3.275,3.21,3.26,13541954
2013-03-13,3.29,3.32,3.26,3.26,8038730
2013-03-14,3.25,3.27,3.185,3.21,10067698
2013-03-15,3.25,3.34,3.22,3.34,37613825
2013-03-18,3.27,3.275,3.21,3.24,7347789
2013-03-19,3.29,3.31,3.13,3.16,10889503
2013-03-20,3.16,3.17,3.11,3.12,9394801
2013-03-21,3.15,3.15,3.06,3.1,11698587
2013-03-22,3.09,3.11,3.02,3.04,8875849
2013-03-25,3.06,3.09,3.05,3.06,5771407
2013-03-26,3.06,3.08,3.05,3.06,15567158
2013-03-27,3.1,3.16,3.1,3.12,9884559
2013-03-28,3.12,3.15,3.07,3.09,10602987
2013-04-02,3.11,3.12,3.05,3.07,4945587
2013-04-03,3.08,3.085,2.95,3.0,12395572
2013-04-04,2.95,2.99,2.88,2.9,10222515
2013-04-05,2.94,3.03,2.91,3.03,11317892
2013-04-08,3.05,3.05,2.97,3.01,4977602
2013-04-09,3.02,3.07,3.02,3.06,4450770
2013-04-10,3.07,3.1,3.05,3.07,7023819
2013-04-11,3.08,3.1,3.05,3.08,8951569
2013-04-12,3.1,3.1,3.06,3.08,4714173
2013-04-15,3.06,3.06,2.96,2.98,6984161
2013-04-16,2.9,2.92,2.835,2.89,14406983
2013-04-17,2.93,2.95,2.815,2.84,17035901
2013-04-18,2.82,2.83,2.74,2.76,22253855
2013-04-19,2.81,2.895,2.76,2.87,23571038
2013-04-22,2.85,2.95,2.85,2.95,7604914
2013-04-23,2.9,3.005,2.9,2.96,15598998
2013-04-24,3.02,3.045,2.98,3.01,13863716
2013-04-26,3.05,3.05,2.95,2.95,7015084
2013-04-29,2.99,3.0,2.93,2.94,4825972
2013-04-30,2.97,2.98,2.88,2.89,11492242
2013-05-01,2.91,2.92,2.88,2.91,4842455
2013-05-02,2.9,2.9,2.84,2.86,6123473
2013-05-03,2.86,2.9,2.82,2.83,5078420
2013-05-06,2.87,2.9,2.855,2.86,5250685
2013-05-07,2.84,2.89,2.8,2.86,10131602
2013-05-08,2.84,2.92,2.84,2.9,4175784
2013-05-09,2.9,2.91,2.805,2.83,6834766
2013-05-10,2.85,2.88,2.82,2.83,8370553
2013-05-13,2.86,2.985,2.85,2.93,16554650
2013-05-14,2.96,3.02,2.96,3.0,15934862
2013-05-15,3.0,3.01,2.915,2.98,11752142
2013-05-16,3.0,3.01,2.97,3.0,10969742
