Date,Open,High,Low,Close,Volume
2013-01-02,0.315,0.325,0.31,0.315,103680
2013-01-03,0.32,0.335,0.315,0.32,115162
2013-01-04,0.325,0.335,0.32,0.33,158355
2013-01-07,0.33,0.33,0.325,0.33,52242
2013-01-08,0.33,0.345,0.33,0.345,217870
2013-01-09,0.34,0.345,0.33,0.345,105000
2013-01-10,0.34,0.36,0.34,0.36,205975
2013-01-11,0.355,0.36,0.355,0.36,313305
2013-01-14,0.36,0.36,0.35,0.36,19186
2013-01-15,0.36,0.36,0.355,0.355,102799
2013-01-16,0.35,0.38,0.35,0.36,710091
2013-01-17,0.36,0.36,0.345,0.355,105426
2013-01-18,0.35,0.365,0.345,0.35,108294
2013-01-21,0.355,0.36,0.355,0.36,64391
2013-01-22,0.36,0.365,0.345,0.345,463000
2013-01-23,0.345,0.35,0.34,0.35,107253
2013-01-24,0.35,0.35,0.35,0.35,5000
2013-01-25,0.34,0.35,0.34,0.345,31150
2013-01-29,0.345,0.35,0.34,0.35,60519
2013-01-30,0.355,0.355,0.35,0.35,109192
2013-01-31,0.36,0.36,0.345,0.35,86821
2013-02-01,0.35,0.35,0.34,0.35,264100
2013-02-04,0.35,0.35,0.33,0.33,245107
2013-02-05,0.33,0.335,0.32,0.33,79540
2013-02-06,0.33,0.33,0.325,0.325,56516
2013-02-07,0.32,0.32,0.315,0.315,118400
2013-02-08,0.33,0.34,0.31,0.31,256899
2013-02-11,0.32,0.335,0.32,0.335,15000
2013-02-12,0.335,0.34,0.335,0.34,17600
2013-02-13,0.345,0.345,0.34,0.34,320637
2013-02-14,0.335,0.335,0.31,0.325,193827
2013-02-15,0.32,0.32,0.315,0.315,49273
2013-02-18,0.325,0.33,0.315,0.315,98923
2013-02-19,0.315,0.33,0.315,0.33,99346
2013-02-20,0.325,0.325,0.325,0.325,18850
2013-02-21,0.325,0.325,0.315,0.315,141540
2013-02-22,0.32,0.32,0.305,0.31,255319
2013-02-25,0.31,0.32,0.31,0.31,166644
2013-02-26,0.305,0.31,0.305,0.31,70720
2013-02-27,0.32,0.32,0.31,0.31,108513
2013-02-28,0.32,0.32,0.31,0.31,8600
