Date,Open,High,Low,Close,Volume
2013-01-02,10.19,10.29,10.17,10.26,1014787
2013-01-03,10.31,10.33,10.24,10.31,996170
2013-01-04,10.25,10.33,10.22,10.33,1611674
2013-01-07,10.43,10.44,10.33,10.41,2834487
2013-01-08,10.45,10.55,10.43,10.52,4093652
2013-01-09,10.54,10.56,10.26,10.26,4063070
2013-01-10,10.34,10.35,10.24,10.34,2400436
2013-01-11,10.42,10.44,10.31,10.33,1904163
2013-01-14,10.41,10.44,10.34,10.37,962689
2013-01-15,10.37,10.49,10.37,10.45,1787001
2013-01-16,10.4,10.45,10.37,10.4,1511059
2013-01-17,10.44,10.51,10.38,10.49,3506267
2013-01-18,10.49,10.64,10.49,10.57,1452045
2013-01-21,10.59,10.61,10.53,10.61,1785932
2013-01-22,10.64,10.71,10.58,10.59,3215598
2013-01-23,10.67,10.74,10.59,10.66,2853333
2013-01-24,10.64,10.74,10.64,10.74,2921949
2013-01-25,10.8,10.81,10.68,10.73,3036670
2013-01-29,10.82,10.88,10.76,10.87,4324234
2013-01-30,10.87,10.9,10.79,10.89,3502393
2013-01-31,10.93,11.04,10.87,11.01,5989820
2013-02-01,11.02,11.05,10.79,10.94,5971621
2013-02-04,10.95,11.05,10.92,10.93,3408831
2013-02-05,10.89,11.01,10.84,10.99,5040157
2013-02-06,11.02,11.17,10.98,11.02,3394098
2013-02-07,10.89,10.92,10.53,10.8,7294748
2013-02-08,10.8,10.86,10.73,10.73,3242111
2013-02-11,10.72,10.84,10.72,10.79,2480647
2013-02-12,10.84,10.84,10.61,10.63,3385797
2013-02-13,10.62,10.64,10.51,10.59,4043274
2013-02-14,10.52,10.71,10.52,10.6,4002653
2013-02-15,10.64,10.72,10.53,10.64,2162981
2013-02-18,10.64,10.67,10.59,10.66,2804484
2013-02-19,10.72,10.76,10.66,10.74,3255104
2013-02-20,10.76,10.85,10.72,10.83,3358801
2013-02-21,9.84,10.05,9.62,9.91,17635129
2013-02-22,9.99,10.2,9.95,10.06,9324856
2013-02-25,10.2,10.41,10.15,10.38,5530687
2013-02-26,10.03,10.34,10.02,10.3,9673547
2013-02-27,10.3,10.46,10.29,10.41,5285004
2013-02-28,10.45,10.67,10.41,10.65,5565679
2013-03-01,10.63,10.73,10.55,10.66,5307811
2013-03-04,10.75,10.79,10.61,10.63,2438465
2013-03-05,10.76,10.79,10.64,10.72,3578179
2013-03-06,10.75,10.83,10.71,10.74,6175680
2013-03-07,10.73,10.91,10.72,10.89,3065728
2013-03-08,10.91,10.99,10.87,10.95,4431728
2013-03-11,10.99,11.13,10.94,11.08,2800627
2013-03-12,11.15,11.28,11.04,11.07,3977174
2013-03-13,11.1,11.4,11.1,11.29,5359374
2013-03-14,11.29,11.4,11.23,11.25,3631446
2013-03-15,11.34,11.46,11.25,11.44,5149240
2013-03-18,11.27,11.39,11.21,11.31,2605507
2013-03-19,11.31,11.45,11.28,11.3,5426182
2013-03-20,11.29,11.36,11.18,11.18,3254449
2013-03-21,11.3,11.52,11.29,11.38,5123546
2013-03-22,11.37,11.48,11.3,11.43,2998732
2013-03-25,11.4,11.52,11.4,11.49,1586359
2013-03-26,11.46,11.71,11.46,11.68,3146113
2013-03-27,11.7,11.88,11.64,11.87,3614637
2013-03-28,11.8,11.85,11.62,11.62,6278118
2013-04-02,11.77,12.07,11.7,11.77,3266346
2013-04-03,11.7,11.7,11.36,11.55,5245167
2013-04-04,11.36,11.42,11.07,11.23,5141333
2013-04-05,11.24,11.28,10.95,11.03,2978943
2013-04-08,11.0,11.25,10.96,11.13,3948461
2013-04-09,11.07,11.25,11.07,11.1,6144505
2013-04-10,11.11,11.23,11.07,11.16,4505215
2013-04-11,11.17,11.2,11.07,11.15,2847889
2013-04-12,11.08,11.18,11.07,11.13,2181717
2013-04-15,11.07,11.11,10.8,10.94,2510214
2013-04-16,10.71,10.97,10.65,10.89,4418953
2013-04-17,10.89,10.98,10.87,10.94,3743533
2013-04-18,10.94,10.95,10.52,10.52,5898190
2013-04-19,10.43,10.63,10.27,10.6,6590733
2013-04-22,10.59,10.72,10.57,10.69,2446908
2013-04-23,10.73,10.87,10.62,10.87,3213633
2013-04-24,10.85,10.94,10.79,10.94,3641444
2013-04-26,10.78,10.97,10.78,10.8,2345665
2013-04-29,10.78,10.89,10.73,10.75,1702039
2013-04-30,10.67,10.81,10.64,10.78,3376214
2013-05-01,10.7,10.75,10.62,10.67,1814592
2013-05-02,10.59,10.63,10.37,10.52,2196672
2013-05-03,10.58,10.61,10.46,10.54,1536434
2013-05-06,10.59,10.71,10.58,10.58,1131724
2013-05-07,10.67,10.89,10.66,10.89,3019944
2013-05-08,10.94,11.0,10.78,10.89,2807562
2013-05-09,10.92,10.98,10.87,10.92,1767352
2013-05-10,10.93,11.11,10.93,11.06,2305011
2013-05-13,11.06,11.14,11.01,11.1,1764624
2013-05-14,11.2,11.2,10.92,11.06,2613360
2013-05-15,11.15,11.27,11.07,11.2,3194861
2013-05-16,11.24,11.26,10.98,11.13,2503544
2013-05-17,11.04,11.36,11.04,11.31,2530711
2013-05-20,11.37,11.59,11.36,11.44,2414596
2013-05-21,11.39,11.65,11.38,11.64,3270377
2013-05-22,11.72,11.81,11.65,11.78,3729092
2013-05-23,11.73,11.85,11.61,11.68,4056247
2013-05-24,11.64,11.65,11.32,11.41,2544966
2013-05-27,11.38,11.62,11.36,11.56,2452795
2013-05-28,11.56,11.59,11.34,11.46,2547620
2013-05-29,11.48,11.67,11.46,11.66,2631198
2013-05-30,11.64,11.8,11.59,11.78,3228124
2013-05-31,11.81,11.88,11.69,11.78,4825786
2013-06-03,11.83,11.84,11.51,11.66,2071721
2013-06-04,11.57,11.71,11.47,11.65,2046742
2013-06-05,11.5,11.61,11.42,11.46,4268746
2013-06-06,11.41,11.49,11.38,11.39,2452201
2013-06-07,11.19,11.59,11.16,11.5,3214290
2013-06-11,11.64,11.7,11.55,11.64,3673442
2013-06-12,11.51,11.78,11.51,11.58,4675057
2013-06-13,11.38,11.47,11.14,11.22,3867588
2013-06-14,11.21,11.34,11.16,11.34,2938213
2013-06-17,11.17,11.47,11.12,11.39,2568685
2013-06-18,11.22,11.36,11.08,11.24,3159912
2013-06-19,11.21,11.36,11.07,11.3,4205594
2013-06-20,11.15,11.21,10.97,11.11,5393752
2013-06-21,10.94,11.17,10.85,11.13,4335384
2013-06-24,10.98,11.02,10.85,10.88,2412024
2013-06-25,10.78,10.85,10.45,10.7,4194366
2013-06-26,10.75,10.94,10.65,10.71,2877097
2013-06-27,10.74,10.97,10.74,10.88,3608047
2013-06-28,10.78,11.14,10.78,11.0,5419912
2013-07-01,10.8,10.9,10.52,10.66,3529844
2013-07-02,10.96,11.09,10.88,11.03,4318470
2013-07-03,10.89,10.94,10.63,10.76,3764792
2013-07-04,10.81,11.05,10.81,11.05,2184283
2013-07-05,11.15,11.16,11.01,11.07,1340339
2013-07-08,10.99,11.19,10.94,11.08,2615361
2013-07-09,11.21,11.21,11.03,11.04,4489434
2013-07-10,10.98,11.28,10.98,11.14,3082391
2013-07-11,11.29,11.33,11.18,11.26,1934163
2013-07-12,11.22,11.32,11.09,11.1,2813417
2013-07-15,11.09,11.11,10.99,11.03,2303930
