Date,Open,High,Low,Close,Volume
2013-01-02,0.9395,1.0245,0.9395,1.0155,9327953
2013-01-03,1.0379,1.0468,0.9932,1.0021,12515227
2013-01-04,0.9932,1.0021,0.9618,0.9708,12384026
2013-01-07,0.9887,0.9994,0.9439,0.9529,9462100
2013-01-08,0.9574,0.9708,0.9305,0.935,11012395
2013-01-09,0.9305,0.9395,0.9082,0.9171,9315655
2013-01-10,0.9216,0.9395,0.8903,0.9171,14322003
2013-01-11,0.9305,0.935,0.9216,0.935,4899522
2013-01-14,0.9395,0.9618,0.935,0.9574,6435209
2013-01-15,1.011,1.0245,0.9663,1.0021,23249853
2013-01-16,1.0155,1.0603,1.0128,1.0334,16311858
2013-01-17,1.0647,1.0961,1.0424,1.0513,19660251
2013-01-18,1.1005,1.1095,1.0737,1.0737,11401742
2013-01-21,1.0826,1.0826,1.0424,1.0647,9264756
2013-01-22,1.0558,1.0603,1.0424,1.0468,2771940
2013-01-23,1.0513,1.0603,1.0468,1.0558,3720485
2013-01-24,1.0513,1.0603,1.0021,1.02,13222948
2013-01-25,1.02,1.0289,0.9932,1.0021,6934009
2013-01-29,1.0021,1.0468,0.9663,1.0334,15111002
2013-01-30,1.0379,1.0468,1.011,1.0245,7437090
2013-01-31,1.0155,1.0245,1.0066,1.02,3775271
2013-02-01,1.0334,1.0379,1.0021,1.0066,8553016
2013-02-04,1.0245,1.0379,1.0155,1.02,5905716
2013-02-05,1.0155,1.02,0.9887,0.9932,7485915
2013-02-06,0.9932,1.011,0.9842,0.9842,4299408
2013-02-07,1.0021,1.0021,0.9574,0.9618,8478206
2013-02-08,0.9439,0.9842,0.9395,0.9753,7268910
2013-02-11,0.9842,1.011,0.9797,1.0066,5283322
2013-02-12,1.011,1.0155,0.9932,0.9976,2614887
2013-02-13,1.0066,1.0424,0.9976,1.0245,10908614
2013-02-14,1.0379,1.0938,1.0334,1.0916,14536153
2013-02-15,1.0647,1.0871,1.0289,1.0826,17447308
2013-02-18,1.0826,1.1005,1.0603,1.0692,7640813
2013-02-19,1.0737,1.0871,1.0647,1.0826,3647970
