Date,Open,High,Low,Close,Volume
2013-01-02,9.38,9.57,9.32,9.57,401655
2013-01-03,9.66,9.86,9.53,9.86,727382
2013-01-04,9.75,9.78,9.54,9.59,373321
2013-01-07,9.6,9.72,9.6,9.67,642781
2013-01-08,9.75,9.78,9.47,9.52,509982
2013-01-09,9.47,9.57,9.43,9.54,1284749
2013-01-10,9.5,9.75,9.46,9.68,684393
2013-01-11,9.79,9.79,9.55,9.6,505733
2013-01-14,9.72,9.79,9.64,9.7,301465
2013-01-15,9.74,9.74,9.63,9.68,359702
2013-01-16,9.65,9.7,9.51,9.57,626467
2013-01-17,9.56,9.99,9.53,9.94,969606
2013-01-18,9.91,9.99,9.81,9.98,671665
2013-01-21,9.71,9.72,9.32,9.48,986738
2013-01-22,9.38,9.43,9.24,9.36,821948
2013-01-23,9.3,9.39,9.17,9.2,2194719
2013-01-24,9.15,9.15,8.94,9.04,2134020
2013-01-25,9.03,9.09,8.93,9.0,1233258
2013-01-29,9.13,9.3,9.09,9.21,1105176
2013-01-30,9.3,9.43,9.28,9.36,1374799
2013-01-31,9.5,9.54,9.35,9.4,1316096
2013-02-01,9.35,9.57,9.32,9.55,403781
2013-02-04,9.74,9.86,9.65,9.77,1800145
2013-02-05,9.69,9.77,9.56,9.65,1203685
2013-02-06,9.7,10.01,9.67,9.95,1334815
2013-02-07,9.96,10.11,9.78,10.06,732564
2013-02-08,10.06,10.32,9.91,10.32,1024452
2013-02-11,10.32,10.65,10.2,10.53,771664
2013-02-12,10.65,10.71,10.33,10.49,646538
2013-02-13,10.47,10.65,10.31,10.59,451150
2013-02-14,10.45,11.08,10.41,10.96,1499267
2013-02-15,10.82,10.88,10.61,10.85,980649
2013-02-18,10.8,10.92,10.72,10.88,2533794
2013-02-19,10.87,10.94,10.75,10.93,1154046
2013-02-20,10.86,10.86,10.61,10.78,1157222
2013-02-21,10.6,10.92,10.6,10.67,1032929
2013-02-22,11.23,11.41,10.94,11.24,1732114
2013-02-25,11.2,11.27,10.88,11.21,1414703
2013-02-26,11.05,11.05,10.77,10.95,1459329
2013-02-27,10.89,10.94,10.82,10.86,1395598
2013-02-28,10.96,11.02,10.81,10.89,1125516
2013-03-01,10.85,10.89,10.48,10.51,1006790
2013-03-04,10.4,10.46,10.15,10.19,765128
2013-03-05,10.28,10.37,10.23,10.28,1746527
2013-03-06,10.24,10.52,10.16,10.46,958678
2013-03-07,10.52,10.71,10.3,10.67,1244466
2013-03-08,10.67,10.69,10.37,10.62,1024098
2013-03-11,10.69,10.73,10.61,10.7,482998
2013-03-12,10.75,10.79,10.5,10.56,692866
2013-03-13,10.52,10.65,10.46,10.59,935536
2013-03-14,10.6,10.6,10.42,10.53,1179743
2013-03-15,10.37,10.63,10.37,10.61,901427
2013-03-18,10.44,10.51,10.31,10.35,1320893
2013-03-19,10.45,10.48,10.31,10.4,1175927
2013-03-20,10.23,10.26,9.88,10.08,1404824
2013-03-21,9.9,10.11,9.88,9.95,1913386
2013-03-22,9.81,9.99,9.75,9.98,994742
2013-03-25,10.14,10.14,9.82,9.86,504787
2013-03-26,9.75,9.81,9.57,9.75,1172391
2013-03-27,9.72,9.93,9.72,9.88,814459
2013-03-28,9.85,10.07,9.83,10.03,2091632
2013-04-02,10.2,10.24,9.86,9.9,690468
2013-04-03,10.0,10.0,9.56,9.6,1165839
2013-04-04,9.46,9.49,9.23,9.36,1618050
2013-04-05,9.3,9.51,9.27,9.48,1684223
2013-04-08,9.39,9.57,9.34,9.4,1378279
2013-04-09,9.5,9.86,9.47,9.81,1131384
2013-04-10,9.53,9.94,9.53,9.83,704644
2013-04-11,9.85,9.97,9.55,9.74,1172824
2013-04-12,9.69,9.89,9.65,9.69,1180744
2013-04-15,9.5,9.53,9.13,9.37,936482
2013-04-16,9.19,9.48,9.15,9.32,1303963
2013-04-17,9.45,9.49,9.03,9.1,1228295
2013-04-18,9.0,9.06,8.75,8.78,1552670
2013-04-19,8.78,8.97,8.78,8.9,1084572
2013-04-22,9.01,9.45,9.0,9.45,1106914
2013-04-23,9.47,9.71,9.39,9.5,1282827
2013-04-24,9.56,9.68,9.45,9.48,863972
2013-04-26,9.45,9.82,9.45,9.62,977342
2013-04-29,9.58,9.65,9.51,9.65,875604
2013-04-30,9.63,9.75,9.55,9.66,2265493
2013-05-01,9.64,9.82,9.55,9.59,740637
2013-05-02,9.81,9.84,9.57,9.6,1072690
2013-05-03,9.6,9.74,9.56,9.7,1347852
2013-05-06,9.8,10.08,9.73,9.96,984326
2013-05-07,9.95,10.32,9.86,10.32,861106
2013-05-08,10.49,10.75,10.44,10.54,1314523
2013-05-09,10.55,10.75,10.52,10.72,984953
2013-05-10,10.89,11.24,10.88,10.94,1659366
2013-05-13,11.09,11.12,10.79,10.83,771717
2013-05-14,10.98,11.0,10.83,10.89,636856
2013-05-15,10.95,10.96,10.11,10.48,1237465
2013-05-16,9.92,9.96,9.67,9.77,4549056
