Date,Open,High,Low,Close,Volume
2013-01-02,10.25,10.37,10.2,10.33,1418967
2013-01-03,10.43,10.5,10.39,10.47,2065272
2013-01-04,10.5,10.5,10.36,10.47,1612842
2013-01-07,10.49,10.49,10.34,10.4,1672584
2013-01-08,10.46,10.48,10.37,10.46,2535259
2013-01-09,10.49,10.68,10.47,10.68,3865116
2013-01-10,10.76,10.83,10.64,10.78,7589808
2013-01-11,10.84,10.88,10.67,10.7,2607468
2013-01-14,10.8,10.81,10.72,10.75,5443909
2013-01-15,10.78,10.86,10.76,10.86,10218696
2013-01-16,10.9,10.97,10.88,10.93,5414868
2013-01-17,11.03,11.35,10.97,11.13,7850243
2013-01-18,11.21,11.22,11.05,11.15,4061707
2013-01-21,11.2,11.28,11.13,11.13,3380543
2013-01-22,11.1,11.17,11.05,11.13,4473900
2013-01-23,11.19,11.23,10.9,10.9,5076690
2013-01-24,10.75,10.92,10.67,10.92,5901396
2013-01-25,10.99,11.08,10.86,10.91,6233858
2013-01-29,10.4,10.7,10.38,10.7,11398929
2013-01-30,10.8,10.94,10.66,10.68,4265648
2013-01-31,10.79,10.88,10.6,10.6,4097794
2013-02-01,10.73,10.88,10.65,10.86,5087741
2013-02-04,10.81,10.91,10.7,10.71,3875050
2013-02-05,10.71,10.95,10.7,10.95,5369452
2013-02-06,10.93,11.03,10.9,10.98,3482922
2013-02-07,10.88,10.94,10.76,10.92,3391193
2013-02-08,10.93,10.97,10.82,10.91,2639079
2013-02-11,10.91,10.92,10.75,10.76,1906003
2013-02-12,10.82,10.85,10.71,10.76,2694670
2013-02-13,10.81,10.86,10.73,10.78,3434984
2013-02-14,10.84,11.09,10.81,11.02,5529063
2013-02-15,10.98,11.22,10.97,11.21,3560997
2013-02-18,11.3,11.48,11.22,11.45,4213663
2013-02-19,11.5,11.67,11.46,11.67,3518237
2013-02-20,11.15,11.56,11.13,11.56,14762905
2013-02-21,11.5,11.92,11.5,11.68,8141897
2013-02-22,11.8,11.98,11.69,11.94,6140776
2013-02-25,11.69,11.73,11.57,11.73,10814929
2013-02-26,11.51,11.56,11.26,11.26,5293641
2013-02-27,11.33,11.38,11.17,11.17,5461136
2013-02-28,11.3,11.37,11.27,11.27,5729356
2013-03-01,11.3,11.35,11.23,11.27,3613284
2013-03-04,11.31,11.34,11.19,11.21,2364716
2013-03-05,11.31,11.46,11.31,11.39,3992420
2013-03-06,11.44,11.6,11.4,11.53,4519881
