Date,Open,High,Low,Close,Volume
2013-01-02,0.685,0.735,0.685,0.735,1969257
2013-01-03,0.745,0.765,0.735,0.76,3502477
2013-01-04,0.77,0.795,0.765,0.79,3460402
2013-01-07,0.795,0.795,0.76,0.79,3476036
2013-01-08,0.79,0.79,0.74,0.745,2381762
2013-01-09,0.75,0.77,0.75,0.765,1394510
2013-01-10,0.77,0.775,0.76,0.77,1102119
2013-01-11,0.765,0.78,0.765,0.77,1969332
2013-01-14,0.78,0.785,0.77,0.77,984199
2013-01-15,0.765,0.765,0.75,0.755,1556216
2013-01-16,0.755,0.76,0.75,0.755,1115166
2013-01-17,0.76,0.765,0.75,0.75,2048150
2013-01-18,0.76,0.76,0.73,0.73,993548
2013-01-21,0.73,0.73,0.68,0.7,1951638
2013-01-22,0.71,0.71,0.675,0.68,1946521
2013-01-23,0.695,0.725,0.69,0.715,2590330
2013-01-24,0.725,0.725,0.695,0.71,2613620
2013-01-25,0.7,0.735,0.685,0.71,2178011
2013-01-29,0.73,0.73,0.71,0.725,1265957
2013-01-30,0.72,0.73,0.71,0.71,1140919
2013-01-31,0.705,0.71,0.68,0.68,2073390
2013-02-01,0.685,0.695,0.68,0.685,2010983
2013-02-04,0.69,0.69,0.66,0.665,1815072
2013-02-05,0.66,0.67,0.65,0.655,3264482
2013-02-06,0.67,0.67,0.62,0.63,4680402
2013-02-07,0.625,0.63,0.61,0.615,2659019
2013-02-08,0.615,0.655,0.615,0.655,4014668
2013-02-11,0.655,0.655,0.635,0.655,3255516
2013-02-12,0.65,0.655,0.64,0.64,1779898
2013-02-13,0.64,0.66,0.635,0.66,1224481
2013-02-14,0.665,0.675,0.66,0.665,1475157
2013-02-15,0.67,0.67,0.635,0.635,1378119
2013-02-18,0.64,0.65,0.62,0.62,1738342
2013-02-19,0.625,0.635,0.62,0.62,1560184
2013-02-20,0.62,0.64,0.62,0.63,875727
2013-02-21,0.63,0.64,0.6,0.605,3272888
2013-02-22,0.62,0.63,0.6,0.6,3161951
2013-02-25,0.645,0.68,0.64,0.645,6432968
2013-02-26,0.65,0.655,0.635,0.64,3295932
2013-02-27,0.645,0.67,0.645,0.66,3142516
2013-02-28,0.675,0.7,0.662,0.69,4676381
2013-03-01,0.685,0.715,0.67,0.695,4531862
2013-03-04,0.705,0.71,0.69,0.695,2459282
2013-03-05,0.7,0.71,0.69,0.69,3261817
2013-03-06,0.69,0.705,0.675,0.675,3363577
2013-03-07,0.68,0.7,0.68,0.68,1449679
2013-03-08,0.7,0.755,0.695,0.75,7911815
2013-03-11,0.745,0.77,0.735,0.75,8234870
2013-03-12,0.755,0.76,0.73,0.735,2844601
2013-03-13,0.735,0.74,0.727,0.74,3431722
2013-03-14,0.74,0.74,0.71,0.71,3403725
2013-03-15,0.725,0.77,0.715,0.77,8009471
