Date,Open,High,Low,Close,Volume
2013-01-02,4.39,4.44,4.38,4.44,20896111
2013-01-03,4.45,4.5,4.43,4.48,27153274
2013-01-04,4.47,4.5,4.45,4.48,21285308
2013-01-07,4.51,4.52,4.45,4.45,28604993
2013-01-08,4.47,4.51,4.46,4.46,32780751
2013-01-09,4.47,4.5,4.46,4.48,19527795
2013-01-10,4.5,4.51,4.48,4.48,16980128
2013-01-11,4.5,4.52,4.48,4.48,15824568
2013-01-14,4.5,4.52,4.49,4.49,15896326
2013-01-15,4.49,4.5,4.43,4.43,40016927
2013-01-16,4.44,4.48,4.43,4.48,26438100
2013-01-17,4.5,4.5,4.45,4.48,34160807
2013-01-18,4.5,4.52,4.48,4.48,26019533
2013-01-21,4.47,4.5,4.46,4.49,22202205
2013-01-22,4.49,4.51,4.47,4.5,14277995
2013-01-23,4.51,4.53,4.5,4.51,21671981
2013-01-24,4.53,4.56,4.52,4.56,20236522
2013-01-25,4.58,4.6,4.57,4.58,43029651
2013-01-29,4.61,4.68,4.6,4.67,35016738
2013-01-30,4.67,4.68,4.59,4.59,34420285
2013-01-31,4.6,4.62,4.58,4.6,36073076
2013-02-01,4.6,4.66,4.6,4.65,36866964
2013-02-04,4.67,4.69,4.66,4.66,26411458
2013-02-05,4.65,4.65,4.61,4.62,33464571
2013-02-06,4.63,4.63,4.58,4.58,60957856
2013-02-07,4.58,4.665,4.55,4.64,54244285
2013-02-08,4.63,4.64,4.61,4.62,47011309
2013-02-11,4.63,4.65,4.62,4.62,30644385
2013-02-12,4.64,4.66,4.63,4.63,27268300
2013-02-13,4.65,4.67,4.64,4.64,29480924
2013-02-14,4.66,4.67,4.64,4.64,33618443
2013-02-15,4.65,4.65,4.62,4.63,39747465
2013-02-18,4.48,4.59,4.47,4.57,270792440
2013-02-19,4.58,4.635,4.55,4.63,67148768
2013-02-20,4.64,4.65,4.56,4.56,51704544
2013-02-21,4.6,4.62,4.5,4.5,51805969
2013-02-22,4.51,4.6,4.51,4.56,66517080
2013-02-25,4.57,4.61,4.57,4.61,26868945
2013-02-26,4.6,4.61,4.575,4.59,26029222
2013-02-27,4.61,4.62,4.59,4.61,16201829
2013-02-28,4.62,4.62,4.55,4.59,40326334
2013-03-01,4.56,4.56,4.5,4.53,39953508
2013-03-04,4.53,4.54,4.505,4.52,17081618
2013-03-05,4.55,4.59,4.54,4.57,27168691
2013-03-06,4.58,4.61,4.56,4.57,30066241
2013-03-07,4.59,4.59,4.52,4.54,26046406
2013-03-08,4.54,4.54,4.48,4.48,61712116
2013-03-11,4.49,4.53,4.46,4.53,43997492
2013-03-12,4.5,4.54,4.48,4.48,34973257
2013-03-13,4.48,4.53,4.44,4.53,41526301
2013-03-14,4.53,4.55,4.47,4.48,52957259
2013-03-15,4.47,4.53,4.46,4.51,32416611
2013-03-18,4.48,4.55,4.47,4.5,34089604
2013-03-19,4.51,4.52,4.49,4.5,24497718
2013-03-20,4.5,4.55,4.48,4.54,33834162
2013-03-21,4.56,4.57,4.54,4.54,56391975
2013-03-22,4.53,4.54,4.51,4.53,23495976
2013-03-25,4.54,4.56,4.51,4.51,21334451
2013-03-26,4.5,4.505,4.46,4.48,35431771
2013-03-27,4.49,4.55,4.48,4.55,35994892
2013-03-28,4.54,4.545,4.51,4.51,42056203
2013-04-02,4.51,4.54,4.48,4.48,34581967
2013-04-03,4.51,4.54,4.5,4.54,35935761
2013-04-04,4.53,4.55,4.51,4.54,27243258
2013-04-05,4.54,4.55,4.51,4.53,28891069
2013-04-08,4.52,4.54,4.49,4.49,24944632
2013-04-09,4.52,4.58,4.49,4.58,41839958
2013-04-10,4.56,4.57,4.52,4.57,30937251
2013-04-11,4.6,4.61,4.58,4.6,52833461
2013-04-12,4.6,4.63,4.59,4.61,20814282
2013-04-15,4.62,4.65,4.615,4.65,26175758
2013-04-16,4.67,4.69,4.65,4.69,30428530
2013-04-17,4.72,4.84,4.715,4.82,57045293
2013-04-18,4.86,4.9,4.75,4.79,71024929
2013-04-19,4.83,4.83,4.75,4.76,26523922
2013-04-22,4.79,4.79,4.72,4.76,28775704
2013-04-23,4.78,4.86,4.775,4.84,38448450
2013-04-24,4.85,4.92,4.82,4.88,78609481
2013-04-26,4.9,4.93,4.88,4.92,21688934
2013-04-29,4.92,4.945,4.9,4.93,14729258
2013-04-30,4.94,5.0,4.93,4.98,31693076
2013-05-01,4.98,5.03,4.98,5.03,26853871
2013-05-02,5.04,5.09,5.03,5.06,30575745
2013-05-03,5.05,5.09,5.0,5.09,50133151
2013-05-06,5.1,5.1,5.06,5.06,29090292
2013-05-07,5.06,5.08,5.01,5.01,26357516
2013-05-08,5.03,5.08,5.02,5.07,26893532
2013-05-09,5.07,5.1,5.02,5.03,42921252
2013-05-10,5.01,5.04,4.99,5.01,27799348
2013-05-13,5.0,5.05,5.0,5.03,19214349
2013-05-14,5.03,5.04,5.005,5.02,17466554
2013-05-15,5.02,5.04,4.99,5.01,26477130
2013-05-16,5.04,5.09,5.03,5.07,32427263
2013-05-17,5.05,5.09,5.05,5.08,18777828
2013-05-20,5.1,5.1,5.06,5.1,24613911
2013-05-21,5.09,5.13,5.06,5.13,21977832
2013-05-22,5.14,5.15,5.12,5.14,25020400
2013-05-23,5.12,5.13,4.92,4.95,75678122
2013-05-24,4.98,4.99,4.8,4.87,63408866
2013-05-27,4.81,4.95,4.76,4.9,35938189
2013-05-28,4.93,4.995,4.92,4.92,26255570
2013-05-29,4.91,4.93,4.85,4.91,32579813
2013-05-30,4.85,4.86,4.77,4.77,59763218
2013-05-31,4.75,4.77,4.68,4.74,88289379
2013-06-03,4.64,4.7,4.6,4.66,57169315
2013-06-04,4.66,4.69,4.61,4.67,39704908
2013-06-05,4.65,4.7,4.62,4.68,45810253
2013-06-06,4.63,4.69,4.6,4.6,48701395
2013-06-07,4.61,4.66,4.57,4.63,59413513
2013-06-11,4.62,4.64,4.57,4.6,39065800
2013-06-12,4.6,4.66,4.6,4.61,39061778
2013-06-13,4.61,4.63,4.58,4.59,44639662
2013-06-14,4.62,4.65,4.59,4.65,31161169
2013-06-17,4.63,4.66,4.615,4.65,35159585
2013-06-18,4.63,4.65,4.61,4.64,26704120
2013-06-19,4.66,4.68,4.63,4.65,33140305
2013-06-20,4.59,4.62,4.57,4.58,63601865
2013-06-21,4.55,4.58,4.52,4.55,36976413
2013-06-24,4.53,4.55,4.5,4.5,30971847
2013-06-25,4.52,4.56,4.515,4.52,29456947
2013-06-26,4.56,4.65,4.55,4.65,33264516
2013-06-27,4.69,4.8,4.68,4.78,43505158
2013-06-28,4.8,4.82,4.74,4.77,60223018
2013-07-01,4.76,4.78,4.65,4.67,31054038
2013-07-02,4.65,4.74,4.65,4.74,29012065
2013-07-03,4.73,4.74,4.65,4.66,26346597
2013-07-04,4.7,4.72,4.67,4.69,12978524
2013-07-05,4.71,4.78,4.7,4.76,19630600
2013-07-08,4.75,4.8,4.74,4.79,24541139
2013-07-09,4.81,4.83,4.75,4.76,34203880
2013-07-10,4.79,4.82,4.76,4.77,27945605
2013-07-11,4.81,4.82,4.78,4.81,23349725
2013-07-12,4.82,4.85,4.82,4.83,18314412
2013-07-15,4.83,4.87,4.795,4.83,23338617
2013-07-16,4.86,4.88,4.84,4.86,16462447
2013-07-17,4.85,4.86,4.82,4.83,20131762
2013-07-18,4.86,4.88,4.84,4.87,19379980
2013-07-19,4.88,4.94,4.875,4.91,34754986
2013-07-22,4.95,4.97,4.92,4.94,18105656
2013-07-23,4.95,4.97,4.93,4.96,17610727
2013-07-24,4.97,5.04,4.96,5.01,41087301
2013-07-25,5.0,5.03,4.94,4.94,55183786
2013-07-26,4.94,4.975,4.9,4.92,72835567
2013-07-29,4.92,4.93,4.87,4.92,41366630
2013-07-30,4.93,5.0,4.91,5.0,28557835
2013-07-31,5.03,5.05,4.99,4.99,33792728
2013-08-01,5.01,5.04,5.0,5.02,21882728
2013-08-02,5.04,5.07,5.03,5.06,24031957
2013-08-05,5.05,5.07,5.04,5.05,15845575
2013-08-06,5.06,5.08,5.03,5.07,21065559
2013-08-07,5.05,5.06,4.98,5.01,35913109
2013-08-08,5.06,5.13,5.05,5.13,71260841
2013-08-09,5.11,5.12,5.06,5.08,32027207
2013-08-12,5.1,5.11,5.05,5.11,22343147
2013-08-13,5.11,5.12,5.08,5.12,31997740
2013-08-14,5.13,5.135,5.1,5.12,31913086
2013-08-15,5.11,5.115,5.07,5.1,31447662
2013-08-16,5.09,5.11,5.07,5.1,42465108
2013-08-19,4.95,4.98,4.91,4.91,117362221
2013-08-20,4.91,4.95,4.89,4.94,33032777
2013-08-21,4.93,4.94,4.89,4.92,20321604
2013-08-22,4.88,4.9,4.85,4.88,34212547
2013-08-23,4.88,4.92,4.88,4.88,24642641
2013-08-26,4.89,4.93,4.87,4.88,22756108
2013-08-27,4.88,4.89,4.83,4.88,26479312
2013-08-28,4.87,4.88,4.84,4.87,32676924
2013-08-29,4.88,4.88,4.82,4.84,25582997
2013-08-30,4.84,4.92,4.84,4.9,34778842
2013-09-02,4.935,4.96,4.93,4.94,21901169
2013-09-03,4.93,4.95,4.89,4.9,22550506
2013-09-04,4.87,4.88,4.84,4.85,32536913
2013-09-05,4.85,4.85,4.79,4.82,36568237
2013-09-06,4.81,4.82,4.77,4.8,34073312
2013-09-09,4.81,4.85,4.8,4.83,17676814
2013-09-10,4.85,4.89,4.84,4.84,24011975
2013-09-11,4.87,4.88,4.82,4.83,24187854
2013-09-12,4.84,4.89,4.835,4.88,25958469
2013-09-13,4.87,4.9,4.85,4.88,26139111
2013-09-16,4.9,4.93,4.89,4.91,19682689
2013-09-17,4.9,4.93,4.89,4.92,19350618
2013-09-18,4.91,4.92,4.86,4.9,27432761
2013-09-19,4.93,4.935,4.88,4.92,39487858
2013-09-20,4.92,4.96,4.91,4.96,24944618
2013-09-23,4.95,4.96,4.92,4.95,15047308
2013-09-24,4.94,4.95,4.93,4.93,8486365
2013-09-25,4.92,4.95,4.91,4.93,17325568
2013-09-26,4.93,4.96,4.92,4.96,14745854
2013-09-27,4.97,5.03,4.965,5.02,45563713
2013-09-30,5.01,5.01,4.96,4.97,19417301
2013-10-01,4.97,4.995,4.94,4.94,16654427
2013-10-02,4.96,4.97,4.93,4.94,16444442
2013-10-03,4.94,4.98,4.935,4.97,14073375
2013-10-04,4.97,4.98,4.935,4.95,17107971
