Date,Open,High,Low,Close,Volume
2013-01-02,1.7991,1.8435,1.7941,1.8287,356816
2013-01-03,1.8435,1.8584,1.8287,1.8287,172344
2013-01-04,1.8485,1.8534,1.7842,1.7892,108365
2013-01-07,1.7892,1.8188,1.7595,1.7595,109392
2013-01-08,1.7793,1.8287,1.7694,1.7892,226484
2013-01-09,1.7991,1.8089,1.7694,1.7793,147720
2013-01-10,1.7793,1.7842,1.7694,1.7744,35239
2013-01-11,1.7793,1.7842,1.7595,1.7793,78668
2013-01-14,1.7793,1.7892,1.7645,1.7842,48106
2013-01-15,1.7793,1.7842,1.7744,1.7744,121162
2013-01-16,1.7793,1.7793,1.7595,1.7595,38711
2013-01-17,1.7595,1.7595,1.7398,1.7496,39505
2013-01-18,1.7595,1.804,1.7595,1.7892,118164
2013-01-21,1.7941,1.7941,1.7744,1.7892,75997
2013-01-22,1.8139,1.8139,1.7842,1.7892,125818
2013-01-23,1.7842,1.7892,1.7793,1.7892,68314
2013-01-24,1.7892,1.7892,1.7595,1.7595,112839
2013-01-25,1.7793,1.7793,1.7595,1.7793,80092
2013-01-29,1.7892,1.7892,1.7595,1.7694,70462
2013-01-30,1.7793,1.7991,1.7744,1.7991,49986
2013-01-31,1.7991,1.7991,1.7595,1.7991,83912
2013-02-01,1.7793,1.7892,1.7595,1.7892,49921
2013-02-04,1.7892,1.7892,1.7595,1.7892,66528
2013-02-05,1.7793,1.7892,1.7744,1.7793,35035
2013-02-06,1.7595,1.7744,1.7546,1.7744,114085
2013-02-07,1.7694,1.7892,1.7595,1.7744,55696
2013-02-08,1.7744,1.7892,1.7496,1.7496,106984
2013-02-11,1.7496,1.7842,1.7496,1.7793,12451
2013-02-12,1.7793,1.7842,1.7546,1.7595,21489
2013-02-13,1.7595,1.7793,1.7496,1.7793,92816
2013-02-14,1.7793,1.7892,1.7645,1.7793,63271
2013-02-15,1.7793,1.7892,1.7793,1.7892,45653
2013-02-18,1.7793,1.7793,1.7496,1.7496,53229
2013-02-19,1.7595,1.7595,1.6656,1.6706,209186
2013-02-20,1.6903,1.72,1.6706,1.6755,52077
2013-02-21,1.6804,1.7299,1.6706,1.6706,37838
2013-02-22,1.6706,1.7299,1.6706,1.7299,43666
2013-02-25,1.7299,1.7496,1.7101,1.7299,17594
2013-02-26,1.7299,1.7299,1.6804,1.6804,25927
2013-02-27,1.6804,1.6903,1.6607,1.6607,23581
2013-02-28,1.72,1.7892,1.72,1.7793,231645
2013-03-01,1.7793,1.7892,1.7694,1.7892,119215
2013-03-04,1.7892,1.8287,1.7694,1.7694,181403
2013-03-05,1.8386,1.8435,1.7842,1.7842,94401
2013-03-06,1.804,1.804,1.7595,1.7694,88808
2013-03-07,1.7744,1.7793,1.6755,1.6755,217078
2013-03-08,1.6755,1.7002,1.6755,1.7002,106262
2013-03-11,1.7299,1.7793,1.715,1.7595,53622
2013-03-12,1.7694,1.7694,1.7299,1.7595,28393
2013-03-13,1.7694,1.7694,1.72,1.7299,63259
2013-03-14,1.72,1.7249,1.6903,1.7002,62395
2013-03-15,1.7299,1.7546,1.72,1.7299,49891
2013-03-18,1.7299,1.7398,1.72,1.7398,26801
2013-03-19,1.7398,1.7496,1.7052,1.7052,79360
2013-03-20,1.7052,1.72,1.6804,1.715,100555
2013-03-21,1.7002,1.715,1.6903,1.715,58240
2013-03-22,1.715,1.715,1.6607,1.6607,112802
2013-03-25,1.6804,1.72,1.6656,1.6804,177470
2013-03-26,1.6953,1.7398,1.6903,1.7398,115729
2013-03-27,1.7496,1.7694,1.7398,1.7694,348799
2013-03-28,1.7595,1.7645,1.7398,1.7546,140473
2013-04-02,1.7496,1.7595,1.7496,1.7496,354738
2013-04-03,1.7595,1.7595,1.7496,1.7496,56597
2013-04-04,1.7546,1.7546,1.7299,1.7299,113891
2013-04-05,1.7398,1.7496,1.72,1.7496,105146
2013-04-08,1.7348,1.7348,1.715,1.72,28910
2013-04-09,1.72,1.7299,1.72,1.7299,20151
2013-04-10,1.7496,1.7595,1.7496,1.7595,101042
2013-04-11,1.7595,1.8584,1.7595,1.8584,526663
2013-04-12,1.893,2.0066,1.893,1.9968,827377
2013-04-15,2.0066,2.0264,1.9276,1.9473,289462
2013-04-16,1.9177,1.9473,1.9128,1.9276,80574
2013-04-17,1.9375,2.0561,1.9375,2.0561,725290
