Date,Open,High,Low,Close,Volume
2013-01-02,42.8,44.01,42.8,44.0,3761100
2013-01-03,43.6,43.71,42.64,43.29,2953000
2013-01-04,43.23,43.29,42.43,42.52,3502800
2013-01-07,42.01,42.81,42.0,42.65,2377000
2013-01-08,42.61,42.75,42.14,42.21,1797800
2013-01-09,42.19,42.41,41.81,42.1,3117500
2013-01-10,42.25,42.63,42.19,42.61,2275800
2013-01-11,42.4,42.6,42.17,42.26,1952700
2013-01-14,42.81,42.96,42.09,42.24,2768400
2013-01-15,42.01,42.29,41.82,42.02,2272600
2013-01-16,41.92,42.3,41.71,42.08,2620700
2013-01-17,42.25,43.19,42.21,43.06,2567800
2013-01-18,42.85,43.09,42.63,43.06,1916700
2013-01-22,42.94,43.16,42.74,43.15,1852900
2013-01-23,43.31,43.45,43.03,43.35,2265300
2013-01-24,43.38,43.76,43.14,43.43,2379700
2013-01-25,43.64,43.98,43.55,43.8,2142400
2013-01-28,43.9,44.17,43.82,44.03,1842500
2013-01-29,43.99,44.31,43.6,44.15,1781200
2013-01-30,44.02,44.33,43.87,44.17,1894800
2013-01-31,44.25,44.25,43.53,43.64,2649300
2013-02-01,44.06,44.74,44.0,44.67,2684600
2013-02-04,44.57,44.82,44.05,44.05,2324200
2013-02-05,44.32,44.86,44.14,44.68,2057700
2013-02-06,44.36,44.92,44.35,44.74,1962700
2013-02-07,44.62,44.67,44.06,44.39,1817600
2013-02-08,44.72,45.9,44.45,45.7,2962900
2013-02-11,45.99,46.14,45.77,46.08,2383000
2013-02-12,46.15,46.35,45.96,46.27,2313600
2013-02-13,46.29,46.63,46.06,46.26,2376100
2013-02-14,46.02,46.7,45.98,46.54,1991400
2013-02-15,46.39,46.63,45.86,46.18,3187400
2013-02-19,46.4,47.04,46.2,47.01,2734400
2013-02-20,46.9,47.27,45.76,45.79,3472900
2013-02-21,45.7,45.77,44.84,45.12,2923100
2013-02-22,45.19,45.89,45.19,45.52,2320100
2013-02-25,46.11,46.27,44.75,44.77,2626700
2013-02-26,45.08,45.31,44.65,45.0,4383900
2013-02-27,44.58,45.62,44.31,45.38,2095000
2013-02-28,45.28,45.82,43.68,45.22,2627200
2013-03-01,45.0,45.44,44.41,45.23,2392800
2013-03-04,45.29,45.35,44.89,45.3,1971700
2013-03-05,45.5,45.93,45.5,45.77,1425100
2013-03-06,45.83,46.19,45.8,46.12,1908600
2013-03-07,46.25,46.26,45.59,45.71,1975200
2013-03-08,45.96,46.27,45.53,46.05,1663200
2013-03-11,45.96,46.45,45.79,46.44,1731700
2013-03-12,46.4,46.64,46.15,46.48,1967400
2013-03-13,46.41,46.63,46.21,46.48,1864300
2013-03-14,46.65,46.99,46.47,46.51,1902600
2013-03-15,46.33,46.53,45.39,45.53,4695300
2013-03-18,45.25,45.35,44.73,44.85,2326900
2013-03-19,44.98,45.16,44.33,44.91,1778100
2013-03-20,45.29,45.75,45.13,45.66,1811300
2013-03-21,45.22,45.4,44.52,44.55,1645400
2013-03-22,44.82,45.16,44.7,44.9,2071600
2013-03-25,45.04,45.06,44.37,44.64,1900100
2013-03-26,44.9,45.78,44.77,45.75,1623400
2013-03-27,45.3,45.87,45.02,45.75,1471200
2013-03-28,45.63,46.53,45.61,46.49,2095900
2013-04-01,46.28,46.36,45.31,45.41,2542600
2013-04-02,45.72,45.74,44.94,45.2,2177100
2013-04-03,45.09,45.19,43.89,44.06,2431100
2013-04-04,44.13,44.19,43.62,43.74,3513900
2013-04-05,43.01,43.68,42.45,43.61,3381400
2013-04-08,43.64,44.0,43.35,44.0,2301900
2013-04-09,44.03,44.27,43.53,44.07,2574900
2013-04-10,44.28,45.12,44.04,45.1,2386200
2013-04-11,45.14,45.4,44.74,44.9,2459300
2013-04-12,44.71,44.83,44.08,44.59,2311900
2013-04-15,44.41,44.7,43.84,43.84,2781000
2013-04-16,44.09,44.78,43.9,44.74,2382100
2013-04-17,43.57,43.86,42.24,42.85,4737000
2013-04-18,43.35,43.35,42.16,42.34,2803000
2013-04-19,42.2,42.69,41.81,42.36,2746300
2013-04-22,42.62,42.92,41.88,42.66,2253700
2013-04-23,42.98,43.63,42.85,43.43,2371400
2013-04-24,43.66,43.81,43.44,43.46,2926900
2013-04-25,43.97,43.97,43.57,43.65,6025300
2013-04-26,43.51,43.7,43.21,43.3,2081200
2013-04-29,43.6,43.77,43.39,43.66,1548100
2013-04-30,43.56,44.04,43.36,43.99,2572500
2013-05-01,44.12,44.35,43.76,43.88,1876200
2013-05-02,43.96,44.45,43.58,44.21,2883700
2013-05-03,44.71,45.11,44.5,45.0,2395300
2013-05-06,45.28,45.96,45.02,45.82,3211200
2013-05-07,45.81,45.91,45.55,45.78,1658400
2013-05-08,45.81,46.13,45.5,46.08,1441000
2013-05-09,45.95,46.61,45.95,46.38,2240500
2013-05-10,46.56,46.83,46.36,46.79,1671000
2013-05-13,46.53,46.66,46.15,46.25,1373800
2013-05-14,46.22,46.53,46.19,46.34,1844600
2013-05-15,46.29,46.73,46.2,46.69,1443600
2013-05-16,46.69,47.06,46.47,46.5,1745200
2013-05-17,46.84,47.02,46.52,47.02,1816100
2013-05-20,46.82,47.2,46.74,46.87,1720300
2013-05-21,46.68,46.88,46.11,46.56,2491000
2013-05-22,45.65,46.48,45.27,45.55,4085600
2013-05-23,45.22,45.53,44.49,45.49,2427300
2013-05-24,45.2,45.41,44.89,45.37,1113100
2013-05-28,45.62,46.04,45.38,45.48,1664400
2013-05-29,45.7,45.93,45.26,45.62,2322200
2013-05-30,45.66,46.65,45.65,46.24,2269800
2013-05-31,45.92,46.19,45.72,45.93,3349100
2013-06-03,45.94,46.19,45.37,45.82,2991400
2013-06-04,46.22,46.82,45.92,46.13,2243100
2013-06-05,45.92,46.04,45.35,45.39,1871900
2013-06-06,45.58,45.76,45.0,45.47,1837700
2013-06-07,45.73,46.26,45.29,46.21,2423500
2013-06-10,46.21,46.21,45.74,45.95,1804800
2013-06-11,45.47,45.68,44.99,45.02,1300800
2013-06-12,45.43,45.52,44.15,44.15,2172500
2013-06-13,44.12,45.22,43.86,45.1,1527400
2013-06-14,45.14,45.42,44.82,44.95,1413100
2013-06-17,45.11,46.04,45.04,45.95,2558600
2013-06-18,46.02,46.74,45.92,46.66,2244100
2013-06-19,46.44,46.7,45.99,46.04,1683200
2013-06-20,45.6,45.62,44.59,44.67,2047700
2013-06-21,44.91,45.26,44.58,45.16,3840000
2013-06-24,44.68,45.03,43.95,44.03,2495900
2013-06-25,44.62,44.62,43.91,44.52,2382500
2013-06-26,45.01,45.18,44.38,45.07,1725300
2013-06-27,45.42,45.51,45.12,45.37,1627800
2013-06-28,45.14,45.31,44.62,45.06,3925900
2013-07-01,45.0,45.6,45.0,45.37,1489400
2013-07-02,45.28,45.74,44.99,45.31,1680700
2013-07-03,45.17,45.95,44.9,45.68,666700
2013-07-05,45.99,46.26,45.68,46.21,936200
2013-07-08,46.27,46.53,45.54,45.76,1588800
2013-07-09,46.11,46.42,45.89,46.26,1318400
2013-07-10,46.28,46.76,46.14,46.73,1358500
2013-07-11,47.26,48.05,47.2,48.0,3064600
2013-07-12,48.08,48.43,47.61,48.35,1969300
2013-07-15,48.27,48.53,48.12,48.4,1594900
2013-07-16,48.47,48.64,48.28,48.52,1201100
2013-07-17,48.57,48.93,48.48,48.66,2189600
2013-07-18,48.79,48.83,47.95,48.34,3021700
2013-07-19,48.4,48.4,47.84,47.98,2554400
2013-07-22,48.49,48.49,47.76,47.94,2275600
2013-07-23,48.52,48.83,48.18,48.38,3267200
2013-07-24,48.73,48.78,47.96,48.23,2520900
2013-07-25,48.11,48.79,48.04,48.75,1601500
2013-07-26,48.34,48.56,48.05,48.56,1439300
2013-07-29,48.52,48.71,48.21,48.5,1132100
2013-07-30,48.83,49.02,48.64,48.93,1250700
2013-07-31,49.14,49.67,48.98,49.38,2615800
2013-08-01,49.57,50.0,49.57,49.94,1448500
2013-08-02,49.73,49.88,49.26,49.87,1384100
2013-08-05,49.74,49.79,49.47,49.58,801400
2013-08-06,49.54,49.65,49.25,49.42,1087200
2013-08-07,49.45,49.45,48.82,49.15,1114500
2013-08-08,49.52,49.61,48.79,49.1,836500
2013-08-09,49.07,49.23,48.76,49.0,1187900
2013-08-12,48.92,49.55,48.89,49.41,1374000
2013-08-13,49.4,49.69,48.83,49.58,1000600
2013-08-14,49.4,49.4,48.87,48.88,914300
2013-08-15,48.46,48.48,47.8,47.83,1385400
2013-08-16,47.77,48.51,47.77,48.3,1333700
2013-08-19,48.35,48.57,47.78,47.78,1424800
2013-08-20,47.84,48.23,47.71,47.85,2313400
2013-08-21,46.65,47.29,46.42,46.95,4024900
2013-08-22,47.0,47.59,46.84,47.24,1154300
2013-08-23,47.34,47.56,46.91,47.33,1770100
2013-08-26,47.26,47.63,47.14,47.22,1302200
2013-08-27,46.81,46.91,46.04,46.16,2064300
2013-08-28,46.01,46.37,45.75,46.17,1825700
2013-08-29,46.05,46.77,45.93,46.49,1064400
2013-08-30,46.49,47.09,45.99,46.28,1441000
2013-09-03,46.97,47.38,46.55,46.66,1808700
2013-09-04,46.6,47.66,46.57,47.45,1555900
2013-09-05,47.51,47.68,47.21,47.29,1705300
2013-09-06,47.43,47.55,46.7,47.04,1253200
2013-09-09,47.24,47.46,47.0,47.3,1011700
2013-09-10,47.73,47.95,47.52,47.88,1686200
2013-09-11,47.62,48.29,47.6,48.24,1710400
2013-09-12,48.27,48.38,47.86,47.96,1276700
2013-09-13,48.01,48.14,47.6,47.95,754300
2013-09-16,48.57,48.62,48.05,48.3,950500
2013-09-17,48.35,48.55,48.25,48.49,1089200
2013-09-18,48.43,48.54,47.96,48.5,1842300
2013-09-19,48.73,48.75,48.24,48.38,1683800
2013-09-20,48.39,48.64,47.93,47.99,3518300
2013-09-23,48.09,48.23,47.44,47.56,1543000
2013-09-24,47.65,48.05,47.36,47.74,1531400
2013-09-25,47.77,47.92,47.27,47.58,1031700
2013-09-26,47.88,47.88,47.34,47.45,968200
2013-09-27,47.2,47.2,46.84,46.89,1957900
2013-09-30,46.56,47.49,46.36,47.05,2440000
2013-10-01,47.07,47.31,46.75,47.11,1722600
2013-10-02,46.56,46.94,46.51,46.8,1436800
2013-10-03,46.79,46.83,45.94,46.32,2677800
2013-10-04,46.38,47.01,46.22,46.99,1865200
2013-10-07,46.41,47.0,46.27,46.64,1474300
2013-10-08,46.62,46.89,45.47,45.7,2388200
2013-10-09,45.83,45.99,45.28,45.69,1726300
2013-10-10,46.16,46.71,45.97,46.65,1437500
2013-10-11,46.8,47.05,46.35,46.98,1428300
2013-10-14,46.59,47.32,46.31,47.27,1040000
2013-10-15,47.02,47.21,46.6,46.73,1659300
2013-10-16,46.6,47.29,46.48,47.24,1607300
2013-10-17,46.93,47.62,46.7,47.52,1613500
2013-10-18,47.6,47.67,47.19,47.66,1462000
2013-10-21,47.77,47.97,47.43,47.75,1294200
2013-10-22,48.0,48.0,47.2,47.64,2200200
2013-10-23,47.3,47.3,46.16,46.48,1659300
2013-10-24,46.67,46.95,46.45,46.95,1617500
2013-10-25,47.17,47.41,46.59,46.75,1976500
2013-10-28,46.74,47.5,46.55,47.48,1599700
2013-10-29,47.98,49.18,47.49,49.17,2618500
2013-10-30,49.11,49.43,48.44,48.78,1939900
2013-10-31,48.82,49.54,48.82,49.3,2107800
2013-11-01,49.68,49.75,49.05,49.68,4688500
2013-11-04,49.56,49.68,49.01,49.16,1763000
2013-11-05,48.83,50.04,48.57,49.79,6844300
2013-11-06,49.99,50.05,49.55,49.93,1085500
2013-11-07,49.95,50.04,49.08,49.14,1497800
2013-11-08,49.3,49.81,48.89,49.8,1240200
2013-11-11,49.67,49.83,49.34,49.66,1088900
2013-11-12,49.43,49.93,49.37,49.85,1344600
2013-11-13,49.59,50.38,49.52,50.35,1514000
2013-11-14,50.37,50.41,49.96,50.36,1070800
2013-11-15,50.31,50.79,50.05,50.69,1796000
2013-11-18,50.69,50.7,50.02,50.11,1780900
2013-11-19,50.19,50.25,49.39,49.45,1500900
2013-11-20,49.46,49.54,48.8,49.08,2245800
2013-11-21,49.42,49.9,49.0,49.77,1197000
2013-11-22,49.77,49.85,49.47,49.76,1459500
2013-11-25,49.89,49.9,49.24,49.66,1902300
2013-11-26,49.13,50.04,49.13,49.92,1918100
2013-11-27,47.2,48.57,46.12,48.54,7832300
2013-11-29,48.66,48.81,48.19,48.22,1909500
2013-12-02,47.8,48.44,47.8,48.4,2629500
2013-12-03,48.4,49.82,48.4,49.56,5500700
2013-12-04,49.16,49.36,48.47,48.77,2455100
2013-12-05,48.78,48.97,48.58,48.82,2226300
2013-12-06,49.39,49.5,48.92,49.27,2217900
2013-12-09,49.5,49.59,48.9,49.01,1563300
2013-12-10,48.85,49.22,48.72,48.91,1485100
