Date,Open,High,Low,Close,Volume
2013-01-02,38.42,38.79,38.0,38.65,1259700
2013-01-03,38.6,38.85,38.33,38.47,851300
2013-01-04,38.62,38.97,38.37,38.92,969300
2013-01-07,38.75,38.81,38.41,38.59,862400
2013-01-08,38.45,38.83,38.2,38.54,837400
2013-01-09,38.59,38.88,38.46,38.75,541600
2013-01-10,38.78,38.9,38.28,38.79,1247900
2013-01-11,38.79,38.97,38.6,38.77,1207300
2013-01-14,38.76,38.98,38.52,38.6,606500
2013-01-15,38.32,38.62,38.24,38.53,872100
2013-01-16,38.52,38.73,38.31,38.5,1069200
2013-01-17,38.69,39.19,38.54,39.15,916700
2013-01-18,39.1,39.39,38.86,39.36,546400
2013-01-22,39.36,39.92,39.33,39.83,1215500
2013-01-23,39.67,39.89,39.61,39.7,825100
2013-01-24,39.67,41.22,39.48,41.1,2566200
2013-01-25,41.46,41.55,40.73,41.07,1856200
2013-01-28,41.24,41.33,40.82,40.99,894700
2013-01-29,40.91,41.29,40.83,41.29,939800
2013-01-30,41.29,41.3,40.85,40.92,776600
2013-01-31,40.82,41.03,40.63,40.99,938000
2013-02-01,41.17,41.61,41.02,41.47,777700
2013-02-04,41.15,41.26,40.64,40.78,1013000
2013-02-05,40.94,40.94,40.73,40.9,972000
2013-02-06,40.77,41.43,40.69,41.36,559100
2013-02-07,41.45,41.45,40.68,41.14,639000
2013-02-08,41.22,41.57,41.01,41.46,315600
2013-02-11,41.37,41.52,40.93,41.51,773800
2013-02-12,41.51,41.98,41.31,41.82,794100
2013-02-13,41.87,42.04,41.69,42.0,669600
2013-02-14,41.81,42.01,41.77,41.91,332700
2013-02-15,41.83,42.06,41.76,41.91,504300
2013-02-19,41.99,42.45,41.91,42.43,936300
2013-02-20,42.39,42.43,41.68,41.7,673000
2013-02-21,41.69,41.95,41.45,41.49,1037300
2013-02-22,41.63,42.3,41.63,42.24,974800
2013-02-25,42.34,42.39,41.04,41.04,871600
2013-02-26,41.12,41.61,41.04,41.49,919200
2013-02-27,41.37,42.2,40.69,41.99,1276300
2013-02-28,41.98,42.45,41.81,41.83,1057200
2013-03-01,41.67,41.79,41.01,41.49,1553000
2013-03-04,41.46,41.78,41.23,41.7,669000
2013-03-05,41.95,42.53,41.95,42.22,657800
2013-03-06,42.06,42.61,42.06,42.21,690800
