Date,Open,High,Low,Close,Volume
2013-01-02,16.1,16.43,16.04,16.15,2003600
2013-01-03,15.84,16.01,15.5,15.9,2563200
2013-01-04,15.98,16.09,15.79,16.07,1258800
2013-01-07,15.98,16.2,15.81,15.9,1925600
2013-01-08,15.91,16.23,15.87,16.2,1866800
2013-01-09,16.2,16.25,16.01,16.09,1536000
2013-01-10,16.23,16.28,16.03,16.23,1456800
2013-01-11,16.23,16.23,16.04,16.15,1018000
2013-01-14,16.2,16.53,16.16,16.51,2574800
2013-01-15,16.44,16.49,16.29,16.46,1185200
2013-01-16,16.44,16.47,16.16,16.23,1173600
2013-01-17,16.32,16.81,16.31,16.76,2063600
2013-01-18,16.8,16.95,16.62,16.89,8390800
2013-01-22,16.9,17.18,16.73,17.01,2449200
2013-01-23,17.01,17.19,16.74,16.87,2510000
2013-01-24,17.25,17.74,16.75,17.32,3656000
2013-01-25,17.38,17.56,17.26,17.5,2106000
2013-01-28,17.52,17.65,17.35,17.56,1382800
2013-01-29,17.55,17.61,17.44,17.6,1358400
2013-01-30,17.63,17.63,17.28,17.34,1818800
2013-01-31,17.34,17.4,17.24,17.32,1325200
2013-02-01,17.45,17.61,17.42,17.49,1605600
2013-02-04,17.42,17.5,17.2,17.28,1363600
2013-02-05,17.38,17.53,17.23,17.48,1034000
2013-02-06,17.41,17.51,17.36,17.5,1041600
2013-02-07,17.5,17.5,17.22,17.39,1036400
2013-02-08,17.38,17.57,17.34,17.49,1137600
2013-02-11,17.49,17.56,17.36,17.48,698800
2013-02-12,17.5,17.79,17.5,17.63,918400
2013-02-13,17.67,17.76,17.61,17.76,994800
2013-02-14,17.67,17.92,17.65,17.85,640000
2013-02-15,17.94,18.02,17.83,17.99,1508800
2013-02-19,18.02,18.14,17.99,18.1,1331600
2013-02-20,18.1,18.18,17.57,17.59,1668800
2013-02-21,17.57,17.58,17.11,17.36,1554000
2013-02-22,17.39,17.7,17.39,17.66,812400
2013-02-25,17.7,17.72,17.1,17.1,1417200
2013-02-26,17.23,17.61,17.13,17.53,1020400
2013-02-27,17.54,17.96,17.51,17.84,792400
2013-02-28,17.87,17.98,17.75,17.88,1340400
2013-03-01,17.77,17.98,17.5,17.92,1274400
2013-03-04,17.88,18.12,17.8,18.1,2000400
2013-03-05,18.19,18.43,18.12,18.29,1890400
2013-03-06,18.39,18.42,18.24,18.32,876400
2013-03-07,18.33,18.38,18.22,18.28,825600
2013-03-08,18.29,18.52,18.19,18.27,1625600
2013-03-11,18.27,18.34,18.06,18.24,1210800
2013-03-12,18.23,18.25,18.04,18.2,918000
2013-03-13,18.22,18.25,18.09,18.22,869600
2013-03-14,18.31,18.49,18.27,18.49,747600
2013-03-15,18.51,18.57,18.4,18.41,1572000
2013-03-18,18.22,18.44,18.16,18.28,755200
2013-03-19,18.36,18.52,18.17,18.36,656400
2013-03-20,18.5,18.72,18.42,18.67,1323200
2013-03-21,18.57,18.6,18.16,18.28,1579200
2013-03-22,18.35,18.54,18.33,18.4,774400
2013-03-25,18.44,18.52,18.12,18.27,679600
2013-03-26,18.35,18.41,18.2,18.32,735200
2013-03-27,18.19,18.43,18.05,18.39,691600
2013-03-28,18.44,18.47,18.33,18.39,1080000
2013-04-01,18.42,18.52,17.74,17.84,1654400
2013-04-02,17.91,17.98,17.57,17.68,1750400
2013-04-03,17.71,17.75,16.8,16.88,3539600
2013-04-04,16.85,17.29,16.77,17.26,2519600
2013-04-05,16.86,17.25,16.67,17.25,1349200
2013-04-08,17.26,17.34,17.16,17.25,1068800
2013-04-09,17.23,17.27,17.02,17.08,1868400
2013-04-10,17.08,17.25,17.03,17.23,2138000
2013-04-11,17.16,17.43,17.16,17.39,1588400
2013-04-12,17.3,17.52,17.24,17.46,1945200
2013-04-15,17.38,17.44,16.75,16.75,1822000
2013-04-16,17.2,17.46,16.97,17.25,2526000
2013-04-17,17.14,17.54,17.02,17.38,3834800
2013-04-18,17.41,17.51,17.08,17.17,1974800
2013-04-19,17.2,17.47,17.13,17.26,1728000
2013-04-22,17.31,17.61,17.1,17.47,1419600
2013-04-23,18.37,18.8,18.1,18.34,3088400
2013-04-24,18.65,18.8,18.49,18.67,2978800
2013-04-25,18.71,18.92,18.68,18.79,2060000
2013-04-26,18.79,19.02,18.74,18.96,1923600
2013-04-29,19.08,19.09,18.76,18.78,1765600
2013-04-30,18.78,18.9,18.61,18.86,1522000
2013-05-01,18.83,18.86,18.33,18.34,2037200
2013-05-02,18.42,18.88,18.36,18.88,2224400
2013-05-03,19.02,19.4,19.02,19.13,1660400
2013-05-06,19.18,19.39,19.07,19.31,1136000
2013-05-07,19.37,19.42,19.17,19.35,1387600
2013-05-08,19.33,19.42,19.17,19.32,1325600
2013-05-09,19.33,19.53,19.33,19.4,1386400
2013-05-10,19.41,19.51,19.35,19.49,1224800
2013-05-13,19.49,19.58,19.4,19.51,720800
2013-05-14,19.51,19.96,19.51,19.93,1748400
2013-05-15,19.83,20.03,19.77,19.98,1126400
2013-05-16,19.86,20.18,19.75,19.81,1489200
2013-05-17,19.98,20.0,19.55,19.85,2085400
2013-05-20,19.87,20.15,19.86,19.93,1080800
2013-05-21,19.95,20.1,19.79,19.82,994400
2013-05-22,19.9,20.11,19.3,19.4,1229600
2013-05-23,19.16,19.57,19.0,19.47,1282400
2013-05-24,19.4,19.47,19.12,19.44,561400
2013-05-28,19.69,19.91,19.42,19.52,936000
2013-05-29,19.42,19.48,19.05,19.35,984400
2013-05-30,19.42,19.61,19.38,19.55,855000
2013-05-31,19.4,19.86,19.37,19.6,1279000
2013-06-03,19.62,19.74,19.2,19.52,1698600
2013-06-04,19.53,19.68,19.08,19.12,1591800
2013-06-05,19.07,19.53,19.01,19.08,1580400
2013-06-06,19.07,19.34,19.0,19.28,1466000
2013-06-07,19.41,19.52,19.16,19.39,1181200
2013-06-10,19.47,19.47,19.19,19.42,738600
2013-06-11,19.22,19.38,19.01,19.17,826600
2013-06-12,19.33,19.35,19.0,19.11,711000
2013-06-13,19.07,19.43,18.94,19.33,892800
2013-06-14,19.28,19.43,19.17,19.28,562600
2013-06-17,19.4,19.63,19.34,19.53,1031600
2013-06-18,19.54,19.7,19.36,19.64,781800
2013-06-19,19.64,19.71,19.39,19.39,1264000
2013-06-20,19.18,19.2,18.25,18.41,2320000
2013-06-21,18.47,18.53,17.62,18.3,3041200
2013-06-24,18.01,18.01,17.56,17.84,2458400
2013-06-25,18.02,18.12,17.79,18.04,2101000
2013-06-26,18.23,18.33,18.08,18.11,1058000
2013-06-27,18.25,18.65,18.25,18.6,1586800
2013-06-28,18.57,18.62,18.06,18.14,12604000
2013-07-01,18.16,18.78,18.16,18.68,1689200
2013-07-02,18.7,18.81,18.46,18.48,1278400
2013-07-03,18.46,18.81,18.42,18.75,925800
2013-07-05,18.9,18.91,18.52,18.91,632800
2013-07-08,19.0,19.19,18.6,18.67,1577000
2013-07-09,18.82,19.09,18.78,18.95,1156400
2013-07-10,18.95,19.02,18.75,18.95,879000
2013-07-11,19.26,19.42,19.11,19.24,1172000
2013-07-12,19.21,19.38,19.17,19.33,699400
2013-07-15,19.36,19.42,19.2,19.23,883600
2013-07-16,19.21,19.32,19.0,19.25,1580800
2013-07-17,19.42,19.48,19.16,19.46,2168000
2013-07-18,19.46,19.67,19.36,19.62,1713600
2013-07-19,19.6,20.18,19.6,20.17,2963200
2013-07-22,20.24,20.38,19.78,20.05,1601000
2013-07-23,20.07,20.3,20.02,20.1,2556200
2013-07-24,21.0,21.77,20.39,20.6,3740000
2013-07-25,20.64,20.72,20.37,20.58,1430600
2013-07-26,20.5,20.59,20.32,20.47,1050200
2013-07-29,20.42,20.56,20.18,20.26,1138000
2013-07-30,20.34,20.68,20.33,20.58,1227800
2013-07-31,20.6,20.83,20.57,20.66,1107800
2013-08-01,20.85,21.08,20.83,21.03,1290800
2013-08-02,20.99,21.16,20.7,21.08,1006000
2013-08-05,21.02,21.2,20.91,21.08,1054400
2013-08-06,21.01,21.08,20.76,20.83,908400
2013-08-07,20.76,20.8,20.58,20.65,1220400
2013-08-08,20.77,20.92,20.72,20.88,975400
2013-08-09,20.81,20.97,20.81,20.93,1044600
2013-08-12,20.85,20.97,20.83,20.91,689600
2013-08-13,20.98,21.43,20.68,21.35,1699600
2013-08-14,21.33,21.39,21.04,21.15,1336600
2013-08-15,20.88,21.12,20.75,21.02,1326400
2013-08-16,20.92,21.25,20.88,21.09,1258600
2013-08-19,21.02,21.11,20.67,20.76,1181600
2013-08-20,20.8,20.99,20.66,20.91,843800
2013-08-21,20.82,21.17,20.75,21.07,1184000
2013-08-22,21.01,21.52,21.01,21.49,919000
2013-08-23,21.5,21.51,21.32,21.45,1284200
2013-08-26,21.47,21.86,21.38,21.69,1131000
2013-08-27,21.52,21.52,21.06,21.08,1002400
2013-08-28,21.03,21.25,21.03,21.15,922400
2013-08-29,21.11,21.45,21.09,21.3,535800
2013-08-30,21.3,21.4,20.99,21.02,696200
2013-09-03,21.28,21.52,21.12,21.29,720200
2013-09-04,21.28,21.48,21.12,21.37,1065400
2013-09-05,21.38,21.57,21.37,21.48,730600
2013-09-06,21.52,21.72,21.31,21.53,973800
2013-09-09,21.67,22.18,21.58,22.11,811000
2013-09-10,22.27,22.44,22.1,22.27,905400
2013-09-11,22.3,22.37,22.14,22.28,759600
2013-09-12,22.35,22.46,22.08,22.13,804600
2013-09-13,22.25,22.25,21.98,22.09,663400
2013-09-16,22.35,22.41,22.17,22.25,1011800
2013-09-17,22.22,22.47,22.19,22.4,577800
2013-09-18,22.43,22.9,22.11,22.7,793000
2013-09-19,22.75,23.05,22.51,22.58,700600
2013-09-20,22.67,22.69,22.4,22.42,1633000
2013-09-23,22.41,22.54,22.09,22.35,1044000
2013-09-24,22.32,22.83,22.28,22.49,1166400
2013-09-25,22.47,22.55,22.24,22.41,1156400
2013-09-26,22.37,22.61,22.28,22.52,840000
2013-09-27,22.34,22.47,22.31,22.44,804000
2013-09-30,22.25,22.64,22.12,22.6,1013200
2013-10-01,22.59,22.93,22.53,22.77,1107400
2013-10-02,22.67,22.78,22.36,22.7,843800
2013-10-03,22.57,22.62,22.2,22.4,1076400
2013-10-04,22.39,22.53,22.25,22.47,726000
2013-10-07,22.24,22.27,21.99,22.1,907600
2013-10-08,22.03,22.13,21.71,21.75,853200
2013-10-09,21.81,21.91,21.36,21.67,1144800
2013-10-10,21.86,22.27,21.79,22.27,747800
2013-10-11,22.3,22.75,22.24,22.71,1070000
2013-10-14,22.5,22.67,22.37,22.65,986400
2013-10-15,22.7,22.84,22.48,22.75,1225400
2013-10-16,22.83,22.9,22.55,22.76,1094600
2013-10-17,22.67,23.11,22.65,23.11,1329200
2013-10-18,23.17,23.42,23.06,23.38,3033000
2013-10-21,24.89,25.59,24.31,25.17,2983000
2013-10-22,25.4,25.76,25.17,25.69,1866800
2013-10-23,25.62,25.62,24.94,25.12,1968800
2013-10-24,25.12,25.2,25.05,25.08,1479200
2013-10-25,25.21,25.4,25.15,25.38,702800
2013-10-28,25.31,25.44,25.07,25.32,620400
2013-10-29,25.41,25.51,25.17,25.36,605200
2013-10-30,25.4,25.46,25.03,25.15,547800
2013-10-31,26.33,26.33,25.58,25.83,2160400
2013-11-01,25.91,26.41,25.78,26.37,2004200
2013-11-04,26.43,26.63,25.97,26.09,24856800
2013-11-05,26.01,26.43,25.91,26.28,1436800
2013-11-06,26.39,26.6,26.22,26.3,1632000
2013-11-07,26.31,26.58,25.9,25.92,2086600
2013-11-08,25.9,26.36,25.79,26.34,1203800
2013-11-11,26.32,26.56,26.17,26.48,1048400
2013-11-12,26.37,26.65,26.27,26.6,819800
2013-11-13,26.39,27.18,26.39,27.16,1389200
2013-11-14,27.25,27.36,26.98,27.26,1620400
2013-11-15,27.3,27.39,27.14,27.19,963400
2013-11-18,27.17,27.24,26.75,26.86,1524000
2013-11-19,26.82,27.02,26.64,26.73,1113000
2013-11-20,26.8,27.08,26.75,26.9,1149600
2013-11-21,27.02,27.2,26.86,27.19,1025400
2013-11-22,27.15,27.33,27.1,27.32,789000
2013-11-25,27.33,27.33,27.16,27.26,739400
2013-11-26,27.22,27.59,27.2,27.44,834800
2013-11-27,27.5,27.5,27.01,27.25,1244800
2013-11-29,27.27,27.49,27.07,27.08,393000
2013-12-02,27.08,27.2,26.8,26.92,852400
2013-12-03,26.77,26.94,26.44,26.61,885000
2013-12-04,26.56,26.62,26.13,26.43,1029400
2013-12-05,26.39,26.47,26.16,26.26,1130400
2013-12-06,26.43,26.83,26.43,26.53,1054600
2013-12-09,26.75,27.05,26.38,26.49,1180000
2013-12-10,26.42,26.77,26.38,26.44,658800
2013-12-11,26.43,26.46,25.83,26.03,928000
2013-12-12,26.0,26.33,25.92,26.22,852800
2013-12-13,26.33,26.42,26.05,26.25,884800
2013-12-16,26.33,26.69,26.3,26.59,896600
2013-12-17,26.58,26.65,26.28,26.57,1177800
2013-12-18,26.58,26.99,26.31,26.92,1675000
2013-12-19,26.78,26.93,26.27,26.36,1943800
2013-12-20,26.35,27.0,26.35,27.0,2312200
2013-12-23,27.19,27.22,26.9,27.0,2178800
2013-12-24,26.99,27.24,26.99,27.14,399000
2013-12-26,27.2,27.33,27.08,27.08,533200
2013-12-27,27.11,27.19,26.98,27.01,634200
2013-12-30,27.01,27.17,26.97,27.04,756000
2013-12-31,27.04,27.25,26.95,26.97,841400
2014-01-02,26.97,26.99,26.53,26.66,1297000
2014-01-03,26.72,26.87,26.57,26.66,828200
2014-01-06,26.7,26.86,26.61,26.64,1045600
2014-01-07,26.75,26.77,26.33,26.38,1572200
2014-01-08,26.28,26.41,25.97,26.08,2465800
2014-01-09,26.2,26.39,25.96,26.24,1787600
2014-01-10,26.33,26.4,26.24,26.26,1130600
2014-01-13,26.15,26.23,25.66,25.75,1047000
2014-01-14,25.91,26.33,25.85,26.25,1339800
2014-01-15,26.28,26.36,26.12,26.27,960400
2014-01-16,26.18,26.32,25.94,26.07,1274600
2014-01-17,26.05,26.13,25.78,26.08,2970800
2014-01-21,26.22,26.3,25.61,25.84,2153000
2014-01-22,25.95,26.12,25.87,26.11,1473400
2014-01-23,26.01,26.19,25.89,26.1,1563600
2014-01-24,25.99,26.0,25.07,25.09,2168000
2014-01-27,25.0,25.15,24.37,24.58,2493200
2014-01-28,24.18,24.33,22.57,24.01,8736400
2014-01-29,23.86,24.21,23.73,23.89,2386600
2014-01-30,24.09,24.13,23.75,23.91,1590000
2014-01-31,23.53,23.89,23.49,23.61,1570400
2014-02-03,23.56,23.61,22.77,22.79,2908200
2014-02-04,22.85,23.02,22.46,22.94,2300600
2014-02-05,22.75,23.1,22.6,23.08,1911800
2014-02-06,23.14,23.42,22.75,22.93,2557000
2014-02-07,23.05,23.4,22.95,23.38,1050600
2014-02-10,23.37,23.43,23.04,23.34,1297600
2014-02-11,23.37,23.83,23.32,23.67,1577400
2014-02-12,23.73,24.03,23.64,24.02,1575200
2014-02-13,23.85,24.24,23.77,24.12,1227200
2014-02-14,24.07,24.15,23.92,24.11,1149200
2014-02-18,24.16,24.35,24.0,24.14,1003000
2014-02-19,24.28,24.63,24.28,24.34,1425600
2014-02-20,24.34,24.58,24.25,24.57,819400
2014-02-21,24.58,24.75,24.52,24.53,682800
2014-02-24,24.51,24.82,24.44,24.44,1369800
2014-02-25,24.44,24.48,23.97,23.99,1758000
2014-02-26,24.0,24.66,24.0,24.6,1628200
2014-02-27,24.58,24.85,24.55,24.78,901200
2014-02-28,24.77,24.97,24.6,24.85,756200
2014-03-03,24.57,24.71,24.33,24.43,807800
2014-03-04,24.67,24.92,24.67,24.73,882600
2014-03-05,24.75,24.78,24.44,24.49,1385000
2014-03-06,24.56,24.63,24.27,24.33,2020400
2014-03-07,24.42,24.57,24.33,24.56,1021600
2014-03-10,24.53,24.57,24.31,24.44,965600
2014-03-11,24.46,24.54,23.93,23.97,825800
2014-03-12,23.87,23.9,23.59,23.78,1022200
2014-03-13,23.82,23.83,23.18,23.24,1940200
2014-03-14,23.05,23.43,22.91,22.92,1969600
2014-03-17,23.0,23.4,22.98,23.33,1134000
2014-03-18,23.39,23.63,23.27,23.5,1022400
2014-03-19,23.43,23.58,23.04,23.19,1022400
2014-03-20,23.17,23.29,22.79,22.83,1110800
2014-03-21,22.83,22.9,22.57,22.73,2656200
2014-03-24,22.74,23.06,22.73,22.78,1685000
2014-03-25,22.86,23.32,22.75,23.25,2031400
2014-03-26,23.31,23.42,22.42,22.43,1515600
2014-03-27,22.36,22.75,22.28,22.63,1073600
2014-03-28,22.74,23.06,22.62,22.94,879400
2014-03-31,23.02,23.25,22.93,23.01,1229000
2014-04-01,23.14,23.27,22.88,23.18,1220600
2014-04-02,23.16,23.54,23.08,23.41,1230800
2014-04-03,23.4,23.52,23.27,23.39,1228600
2014-04-04,23.49,23.75,23.02,23.06,1515600
2014-04-07,22.98,22.98,22.25,22.4,2272800
2014-04-08,22.36,22.47,22.07,22.4,1741000
2014-04-09,22.42,22.82,22.38,22.64,1745400
2014-04-10,22.58,22.69,22.26,22.34,1224800
2014-04-11,22.74,22.89,22.4,22.66,1676800
2014-04-14,22.77,22.91,22.28,22.36,1446600
2014-04-15,22.39,22.99,22.34,22.85,1476800
2014-04-16,22.93,23.23,22.85,22.98,1462800
2014-04-17,22.95,23.44,22.95,23.26,4000600
2014-04-21,23.31,23.45,23.05,23.41,1519600
2014-04-22,23.61,24.42,23.19,23.36,3162200
2014-04-23,24.32,24.39,23.56,23.64,2512200
2014-04-24,23.8,23.89,23.5,23.83,1837200
2014-04-25,23.71,23.83,23.5,23.58,2052200
2014-04-28,23.55,23.69,23.01,23.37,1488000
2014-04-29,23.43,23.61,23.27,23.4,1356400
2014-04-30,23.43,23.49,23.23,23.38,1221800
2014-05-01,23.43,23.77,23.27,23.6,1304800
2014-05-02,23.58,24.08,23.58,23.89,936200
2014-05-05,23.73,23.83,23.56,23.69,858600
2014-05-06,23.61,23.65,23.2,23.3,1275400
2014-05-07,23.33,23.43,23.05,23.31,1368000
2014-05-08,23.27,23.69,23.19,23.48,1300600
2014-05-09,23.45,23.61,23.39,23.57,1132000
2014-05-12,23.71,24.35,23.67,24.31,1162000
2014-05-13,24.31,24.37,23.87,23.88,920400
2014-05-14,23.85,24.02,23.62,23.64,1217200
2014-05-15,23.64,23.71,23.18,23.64,1110600
2014-05-16,23.72,23.93,23.67,23.92,857400
2014-05-19,23.89,24.59,23.85,24.44,1944800
2014-05-20,24.32,24.42,24.01,24.09,1535200
2014-05-21,24.12,24.41,24.0,24.14,1108800
2014-05-22,24.13,24.47,24.05,24.35,1041000
2014-05-23,24.31,24.82,24.26,24.8,1062800
2014-05-27,25.0,25.09,24.89,24.91,1188200
2014-05-28,24.88,25.01,24.81,24.86,920800
2014-05-29,24.92,24.97,24.67,24.84,834600
2014-05-30,24.8,24.82,24.6,24.69,1024200
2014-06-02,24.7,24.91,24.59,24.89,1753200
2014-06-03,24.79,24.88,24.42,24.46,1329800
