Date,Open,High,Low,Close,Volume
2013-01-02,58.67,59.2,58.17,58.66,1225000
2013-01-03,58.61,59.15,58.09,58.37,1191800
2013-01-04,58.54,58.67,57.95,58.0,1556400
2013-01-07,58.04,58.04,57.43,57.79,1478700
2013-01-08,57.83,57.89,57.11,57.68,2135700
2013-01-09,57.59,58.87,57.59,58.76,1963800
2013-01-10,58.9,59.71,58.75,59.58,1186400
2013-01-11,59.47,59.7,59.02,59.41,852300
2013-01-14,59.46,59.81,59.19,59.66,1126800
2013-01-15,59.55,59.9,59.1,59.86,712700
2013-01-16,59.65,59.98,59.36,59.93,742800
2013-01-17,60.0,60.57,59.95,60.55,752100
2013-01-18,60.63,61.4,60.43,61.4,2993000
2013-01-22,61.24,61.95,61.03,61.83,2102900
2013-01-23,57.96,58.94,57.36,58.41,3968100
2013-01-24,58.36,59.35,58.32,58.45,1668200
2013-01-25,58.45,58.57,57.7,57.94,1216500
2013-01-28,58.12,58.38,57.7,58.24,1291000
2013-01-29,57.71,58.26,57.03,58.25,1973700
2013-01-30,58.25,58.57,57.98,58.35,1565300
2013-01-31,58.4,58.45,57.84,57.95,2358100
2013-02-01,58.4,58.47,57.57,58.11,1599100
2013-02-04,57.97,58.43,57.61,57.7,887500
2013-02-05,57.86,58.18,57.56,57.87,663400
2013-02-06,57.53,58.16,57.53,58.14,710500
2013-02-07,58.25,58.87,58.2,58.69,1192400
2013-02-08,58.64,58.75,58.15,58.5,977200
2013-02-11,58.59,58.73,57.92,57.93,827500
2013-02-12,57.86,57.91,56.73,56.88,1641500
2013-02-13,56.89,57.3,56.68,56.97,1037200
2013-02-14,56.78,56.95,56.47,56.53,1743400
2013-02-15,56.64,57.41,56.53,57.32,1157000
2013-02-19,57.25,57.85,57.13,57.54,960800
2013-02-20,57.49,57.61,56.83,56.84,1151800
2013-02-21,56.76,56.84,56.0,56.13,991500
2013-02-22,56.38,56.52,55.69,55.75,1222200
2013-02-25,56.16,56.6,55.64,55.64,1956800
2013-02-26,55.92,56.03,55.16,55.8,993100
2013-02-27,55.71,56.34,55.71,56.17,898000
2013-02-28,56.25,56.66,56.16,56.17,968400
2013-03-01,55.99,56.29,55.5,56.13,915000
2013-03-04,55.99,56.2,55.74,55.99,1934100
2013-03-05,56.15,56.72,55.97,56.41,1051500
2013-03-06,56.4,56.96,56.31,56.34,917300
2013-03-07,56.26,56.46,55.33,55.42,1363500
2013-03-08,55.53,56.03,55.4,55.94,1216500
2013-03-11,55.92,56.52,55.78,56.25,1168600
2013-03-12,56.28,56.84,55.96,56.2,1826600
2013-03-13,56.27,56.36,55.82,55.99,903900
2013-03-14,56.13,56.73,55.85,56.5,1381300
2013-03-15,56.34,56.62,56.06,56.22,1024900
2013-03-18,55.9,56.02,55.48,55.52,965800
2013-03-19,55.71,56.62,55.69,56.25,1677100
2013-03-20,56.5,56.85,56.25,56.51,2509500
2013-03-21,56.31,56.63,56.0,56.3,746000
2013-03-22,56.33,56.6,56.25,56.56,751400
2013-03-25,56.71,57.03,56.18,56.4,889900
2013-03-26,56.65,57.5,56.52,57.25,959800
2013-03-27,56.8,56.84,56.35,56.4,1143200
2013-03-28,56.18,56.65,55.8,56.46,1933800
2013-04-01,56.42,56.49,56.01,56.32,695700
2013-04-02,56.68,57.58,56.64,56.8,1223300
2013-04-03,57.0,57.51,56.72,56.83,1314100
2013-04-04,57.0,57.92,56.91,57.68,914300
2013-04-05,57.33,57.33,56.62,57.01,1159400
2013-04-08,56.89,57.03,56.52,57.03,585200
2013-04-09,56.98,57.03,56.5,56.65,899900
2013-04-10,56.64,57.36,56.41,57.3,954400
2013-04-11,58.37,60.0,58.06,59.83,3202800
2013-04-12,59.65,59.66,58.83,59.34,1518400
2013-04-15,59.06,59.55,58.37,58.37,1692200
2013-04-16,58.49,59.23,57.34,58.35,2329100
2013-04-17,58.04,59.24,56.95,57.37,4059000
2013-04-18,57.31,57.54,55.59,55.76,2459400
2013-04-19,55.95,56.71,55.56,55.92,1674100
2013-04-22,55.85,56.18,55.26,55.48,1843700
2013-04-23,56.18,57.24,56.18,56.51,2839500
2013-04-24,56.33,56.5,55.51,56.09,2388500
2013-04-25,56.28,56.52,55.65,55.85,1012500
2013-04-26,55.86,56.54,55.7,56.16,1222100
2013-04-29,56.19,56.5,56.16,56.19,606200
2013-04-30,56.05,56.44,55.78,56.33,858200
2013-05-01,56.23,57.38,56.0,56.37,1176300
2013-05-02,56.49,57.33,56.42,57.32,1461500
2013-05-03,57.54,57.75,57.18,57.21,1150000
2013-05-06,57.15,58.21,57.15,57.94,1275800
2013-05-07,57.96,58.12,57.74,57.78,788700
2013-05-08,57.68,59.07,57.68,59.06,1300900
2013-05-09,59.17,59.41,58.79,59.19,1457900
2013-05-10,59.13,59.78,59.05,59.77,1023500
2013-05-13,59.56,59.59,58.9,59.42,1555700
2013-05-14,59.45,59.88,59.22,59.87,1078000
2013-05-15,59.67,60.1,59.26,59.99,1685100
2013-05-16,59.74,60.35,59.46,59.88,1149700
2013-05-17,59.86,60.79,59.79,60.69,970600
2013-05-20,60.48,61.0,60.35,60.8,1078100
2013-05-21,60.94,61.62,60.83,61.39,1324500
2013-05-22,61.36,62.24,60.97,61.12,1457000
2013-05-23,60.7,62.07,60.69,61.97,1116800
2013-05-24,61.64,62.56,61.44,62.5,1383800
2013-05-28,63.0,63.3,62.58,62.76,1301600
2013-05-29,62.69,62.85,61.86,62.55,865500
2013-05-30,62.51,63.02,62.26,62.42,1051700
2013-05-31,62.2,62.85,61.83,61.84,1261800
2013-06-03,61.91,62.55,61.52,62.53,1185900
2013-06-04,62.53,62.91,62.11,62.4,988400
2013-06-05,62.28,62.31,61.03,61.64,1200200
2013-06-06,61.6,62.09,61.27,62.08,941700
2013-06-07,62.55,63.0,62.06,62.22,1278000
2013-06-10,62.44,63.4,62.44,63.2,935300
2013-06-11,62.68,63.22,62.38,62.55,845400
2013-06-12,62.97,63.18,62.0,62.0,940100
2013-06-13,62.0,62.98,61.71,62.89,866200
2013-06-14,62.69,63.39,62.5,62.62,477500
2013-06-17,62.84,63.06,62.36,62.59,644500
2013-06-18,62.52,62.69,62.17,62.39,1036000
2013-06-19,62.46,62.67,61.86,61.89,792900
2013-06-20,61.49,61.83,60.75,60.81,1056600
2013-06-21,61.28,62.03,60.93,61.07,1286900
2013-06-24,60.73,61.4,60.21,60.81,1825900
2013-06-25,61.22,61.29,60.36,60.79,912100
2013-06-26,61.17,61.57,60.59,61.16,714500
2013-06-27,61.49,61.93,61.3,61.4,916500
2013-06-28,61.07,61.29,60.12,60.63,1774400
2013-07-01,60.81,61.15,60.42,60.46,1015600
2013-07-02,60.39,60.68,60.07,60.45,1001700
2013-07-03,60.14,60.42,59.84,60.08,565400
2013-07-05,60.35,60.83,59.93,60.8,486900
2013-07-08,61.02,61.47,60.77,61.24,657300
2013-07-09,57.38,59.39,56.81,58.0,5168900
2013-07-10,58.11,59.16,58.11,59.0,1823100
2013-07-11,59.53,59.6,58.72,59.31,1190900
2013-07-12,58.95,59.36,58.6,59.33,1392300
2013-07-15,59.6,60.16,59.57,59.89,1037800
2013-07-16,59.86,60.24,59.86,60.14,855500
2013-07-17,60.4,60.62,59.46,59.8,1874000
2013-07-18,59.5,59.72,58.65,58.91,4287300
2013-07-19,59.21,59.34,58.95,59.03,2211500
2013-07-22,59.0,59.4,59.0,59.14,2068000
2013-07-23,59.32,59.54,58.91,59.33,1689800
2013-07-24,59.33,59.34,58.7,58.72,1596600
2013-07-25,58.72,59.06,58.3,58.79,1928100
2013-07-26,58.62,58.7,58.36,58.5,914900
2013-07-29,58.5,58.94,58.45,58.75,810900
2013-07-30,58.86,58.94,58.27,58.41,785200
2013-07-31,58.54,58.78,58.11,58.31,1231500
2013-08-01,58.64,58.81,58.22,58.7,1182400
2013-08-02,58.52,58.86,58.39,58.61,826500
