Date,Open,High,Low,Close,Volume
2013-01-02,22.05,22.6,21.9,22.55,32786100
2013-01-03,22.51,22.58,21.95,22.07,25735400
2013-01-04,22.08,22.36,21.98,22.21,15411400
2013-01-07,22.11,22.55,21.91,22.52,24200900
2013-01-08,22.46,22.81,22.1,22.17,27391000
2013-01-09,22.23,22.48,22.07,22.21,19245300
2013-01-10,22.45,22.52,22.07,22.31,17419100
2013-01-11,22.37,22.66,22.33,22.6,27193700
2013-01-14,22.55,22.59,22.23,22.38,25185800
2013-01-15,22.39,22.5,22.04,22.1,22867500
2013-01-16,22.28,22.5,21.84,22.26,52873300
2013-01-17,22.78,23.1,22.62,22.8,58113600
2013-01-18,22.8,22.94,22.6,22.82,25087400
2013-01-22,22.79,22.86,22.33,22.46,25371400
2013-01-23,22.47,22.74,22.45,22.47,21471400
2013-01-24,22.55,23.29,22.55,23.23,30296800
2013-01-25,23.57,23.85,23.54,23.79,31672500
2013-01-28,23.65,23.71,23.46,23.55,18714300
2013-01-29,23.43,23.5,23.27,23.43,16720300
2013-01-30,23.56,23.78,23.37,23.48,16582800
2013-01-31,23.3,23.68,23.28,23.56,18880600
2013-02-01,23.74,24.1,23.62,24.08,20128000
2013-02-04,23.84,23.88,23.41,23.44,20574200
2013-02-05,23.58,23.94,23.48,23.75,14695300
2013-02-06,23.57,23.78,23.45,23.62,16639800
2013-02-07,23.64,23.73,23.3,23.62,18168300
2013-02-08,23.76,24.02,23.73,23.83,19166900
2013-02-11,23.79,23.81,23.46,23.74,12238500
2013-02-12,23.74,24.07,23.62,23.9,23816300
2013-02-13,23.93,24.1,23.74,24.01,21612000
2013-02-14,23.9,24.04,23.83,23.92,16762200
2013-02-15,23.91,24.05,23.74,23.86,21693300
2013-02-19,23.93,23.98,23.72,23.86,13548100
2013-02-20,23.95,24.03,23.35,23.37,17572800
2013-02-21,23.29,23.39,22.69,22.99,25490600
2013-02-22,23.13,23.2,22.97,23.16,12087400
2013-02-25,23.32,23.42,22.56,22.56,17431200
2013-02-26,22.63,22.71,22.36,22.65,20108000
2013-02-27,22.74,22.96,22.59,22.79,18205600
2013-02-28,22.94,23.22,22.84,23.03,22751300
2013-03-01,22.98,23.19,22.74,23.11,15260800
2013-03-04,22.87,23.35,22.83,23.35,23168100
2013-03-05,23.38,23.57,23.05,23.26,23314700
2013-03-06,23.14,23.15,22.49,22.55,34595200
2013-03-07,22.6,22.67,22.2,22.3,22453200
2013-03-08,22.38,22.5,21.99,22.36,31070900
2013-03-11,22.35,22.45,22.17,22.21,21300800
2013-03-12,21.76,22.35,21.42,22.29,38310300
2013-03-13,22.29,22.31,21.3,21.46,47057100
2013-03-14,21.8,22.26,21.72,21.8,40736000
2013-03-15,21.77,21.92,21.18,21.22,51718300
2013-03-18,20.98,21.28,20.85,21.09,34069400
2013-03-19,21.46,21.62,21.24,21.51,34745900
2013-03-20,21.75,22.14,21.49,22.06,34767200
2013-03-21,21.97,22.33,21.86,22.27,33398200
2013-03-22,22.31,22.5,22.29,22.42,20198800
2013-03-25,22.47,22.47,21.52,21.6,43189700
2013-03-26,21.75,21.94,21.51,21.92,25564000
2013-03-27,21.74,22.13,21.44,21.91,29501600
2013-03-28,21.9,22.94,21.65,22.82,57564500
2013-04-01,23.42,23.88,23.33,23.45,48992800
2013-04-02,23.68,23.9,23.55,23.64,36184300
2013-04-03,23.49,23.57,23.28,23.36,27315400
2013-04-04,23.29,23.51,23.19,23.48,14034500
2013-04-05,23.03,23.4,22.94,23.37,17193400
2013-04-08,23.32,23.92,23.27,23.51,24205700
2013-04-09,23.33,23.76,23.28,23.6,14883700
2013-04-10,23.71,24.23,23.69,24.12,19011000
2013-04-11,24.17,24.43,24.08,24.32,17323800
2013-04-12,24.37,24.37,23.91,24.12,15005300
2013-04-15,23.98,24.19,23.44,23.5,21854200
2013-04-16,23.65,24.05,23.57,23.99,20503900
2013-04-17,23.78,23.92,23.42,23.61,34952300
2013-04-18,22.66,22.83,22.19,22.23,60248400
2013-04-19,22.21,22.41,21.84,22.05,37065600
2013-04-22,21.94,22.02,21.53,21.73,32696600
2013-04-23,21.87,22.21,21.82,22.09,30124300
2013-04-24,22.31,22.45,22.15,22.29,24300700
2013-04-25,22.44,22.46,21.91,22.04,27269800
2013-04-26,22.05,22.25,21.84,22.11,25215000
2013-04-29,22.14,22.3,21.97,22.24,17039000
2013-04-30,22.17,22.37,21.94,22.05,21519100
2013-05-01,22.05,22.25,21.85,22.05,18811200
2013-05-02,22.06,22.6,21.9,22.54,23486900
2013-05-03,22.73,22.94,22.56,22.82,17124700
2013-05-06,22.75,23.07,22.63,22.77,15097100
2013-05-07,22.7,22.78,22.35,22.7,22999600
2013-05-08,22.73,23.14,22.63,23.13,16697300
2013-05-09,23.14,23.56,23.06,23.22,22092200
2013-05-10,23.31,23.49,23.24,23.42,16929900
2013-05-13,23.48,23.48,23.19,23.29,17156100
2013-05-14,23.21,23.74,23.21,23.68,21923500
2013-05-15,23.68,23.86,23.59,23.84,20357800
2013-05-16,23.91,23.95,23.45,23.48,20247000
2013-05-17,23.78,24.04,23.77,23.87,27463200
2013-05-20,23.8,23.85,23.47,23.55,20812800
2013-05-21,23.55,23.62,23.12,23.13,30933800
2013-05-22,23.28,23.49,22.78,22.9,27209000
2013-05-23,22.6,22.96,22.44,22.93,22498100
2013-05-24,22.64,23.0,22.55,23.0,17368500
2013-05-28,23.25,23.67,23.24,23.37,23160200
2013-05-29,23.21,23.32,22.95,23.17,20656200
2013-05-30,23.15,23.44,23.13,23.19,20792800
2013-05-31,23.02,23.11,22.72,22.77,30435800
2013-06-03,22.67,22.68,22.05,22.48,31191800
2013-06-04,22.62,22.62,21.98,22.13,25220500
2013-06-05,22.13,22.17,21.43,21.62,34363800
2013-06-06,21.53,21.74,21.39,21.68,23399700
2013-06-07,21.86,21.97,21.64,21.65,27889900
2013-06-10,21.8,22.47,21.72,22.41,27733100
2013-06-11,21.99,22.15,21.83,21.91,30397800
2013-06-12,22.03,22.04,21.35,21.36,24583700
2013-06-13,21.34,21.73,21.31,21.67,25334100
2013-06-14,21.68,21.79,21.49,21.59,15665400
2013-06-17,21.84,22.2,21.78,21.91,18590500
2013-06-18,21.97,22.25,21.93,22.12,13479500
2013-06-19,22.15,22.3,21.96,21.98,30040200
2013-06-20,21.8,21.81,21.25,21.36,24812300
2013-06-21,21.38,21.57,21.15,21.52,32499800
2013-06-24,21.39,21.6,21.08,21.39,22381200
2013-06-25,21.61,21.85,21.59,21.73,20361100
2013-06-26,21.9,21.93,21.46,21.6,26014500
2013-06-27,21.79,22.01,21.76,21.94,21476600
2013-06-28,21.71,22.07,21.56,21.77,36449000
2013-07-01,21.97,22.43,21.9,22.26,21265600
2013-07-02,22.31,22.57,22.28,22.45,19465300
2013-07-03,22.24,22.53,22.22,22.38,9958700
2013-07-05,22.63,22.68,22.31,22.66,10724300
2013-07-08,22.85,22.89,22.46,22.61,14408500
2013-07-09,22.78,22.99,22.74,22.93,16861900
2013-07-10,23.01,23.24,22.98,23.1,16521900
2013-07-11,23.3,23.63,23.29,23.52,23027700
2013-07-12,23.48,24.02,23.46,24.01,20530700
2013-07-15,24.0,24.03,23.64,23.76,16341800
2013-07-16,23.92,23.97,23.68,23.91,21428100
2013-07-17,23.93,24.2,23.86,24.15,36015600
2013-07-18,22.55,22.66,22.37,22.53,102379200
2013-07-19,22.62,22.69,21.94,21.97,45678100
2013-07-22,22.06,22.08,21.84,22.02,37008300
2013-07-23,22.05,22.08,21.68,21.73,26183200
2013-07-24,21.72,22.04,21.72,21.93,36824600
2013-07-25,21.89,21.98,21.6,21.68,24117500
2013-07-26,21.64,22.06,21.43,21.99,30194200
2013-07-29,21.93,22.11,21.68,21.73,17808100
2013-07-30,21.88,21.93,21.72,21.88,18566000
2013-07-31,21.96,21.96,21.63,21.76,18370900
2013-08-01,21.94,22.07,21.8,22.06,19255100
2013-08-02,22.07,22.2,21.94,22.11,20216600
2013-08-05,22.15,22.29,22.02,22.18,12784300
2013-08-06,22.18,22.64,22.07,22.6,24570200
2013-08-07,22.49,22.68,22.3,22.31,16768100
2013-08-08,22.53,22.61,22.24,22.55,13387800
2013-08-09,22.53,22.63,22.29,22.45,15162400
2013-08-12,22.2,22.5,22.1,22.42,11195700
2013-08-13,22.62,22.93,22.52,22.78,22433400
2013-08-14,22.79,22.95,22.72,22.82,16079300
2013-08-15,22.47,22.5,21.75,22.38,36268900
2013-08-16,22.34,22.57,22.18,22.27,17894300
2013-08-19,22.2,22.42,21.9,21.91,15785100
2013-08-20,22.01,22.15,21.79,21.88,22281100
2013-08-21,21.77,21.83,21.38,21.45,30527700
2013-08-22,21.55,21.73,21.47,21.5,17767700
2013-08-23,21.56,21.76,21.52,21.74,16693700
2013-08-26,21.75,21.94,21.55,21.87,19153600
2013-08-27,21.57,21.67,21.22,21.3,24572100
2013-08-28,21.36,21.47,21.22,21.22,19331100
2013-08-29,21.14,21.67,21.13,21.46,16891400
