Date,Open,High,Low,Close,Volume
2013-01-02,205.39,207.88,204.88,207.73,420700
2013-01-03,207.64,208.5,205.87,207.07,325800
2013-01-04,207.33,208.57,206.28,208.42,301800
2013-01-07,207.16,207.62,205.94,207.12,187000
2013-01-08,207.86,207.86,203.66,203.66,450400
2013-01-09,203.84,206.67,203.84,205.06,403900
2013-01-10,203.99,203.99,201.49,203.75,812500
2013-01-11,203.18,205.99,203.18,204.63,309800
2013-01-14,206.54,208.27,206.45,206.99,515100
2013-01-15,206.97,208.22,205.66,208.07,460000
2013-01-16,207.6,208.64,206.52,208.19,256400
2013-01-17,208.97,210.44,202.83,210.34,534300
2013-01-18,210.4,210.4,208.4,210.23,573300
2013-01-22,210.12,211.23,209.08,210.47,320800
2013-01-23,210.21,211.01,208.24,209.79,444700
2013-01-24,204.98,215.79,204.19,214.31,908900
2013-01-25,214.62,217.11,213.71,217.09,434600
2013-01-28,216.85,217.48,215.07,216.65,400300
2013-01-29,216.54,219.29,215.89,218.61,436900
2013-01-30,218.25,219.26,216.86,218.55,601300
2013-01-31,217.68,218.91,216.23,217.82,562300
2013-02-01,219.36,222.05,218.28,219.62,398600
2013-02-04,217.31,219.33,215.23,217.14,692200
2013-02-05,217.89,218.74,216.84,218.7,469900
2013-02-06,217.35,218.66,216.33,217.87,420000
2013-02-07,216.77,218.21,215.09,215.86,428800
2013-02-08,216.28,218.24,215.6,216.71,414200
2013-02-11,216.4,217.99,216.38,217.61,438900
2013-02-12,219.7,223.2,218.85,223.09,583000
2013-02-13,222.46,226.32,222.46,225.62,560900
2013-02-14,225.1,226.54,224.63,226.29,388900
2013-02-15,226.93,231.02,226.85,229.48,590500
2013-02-19,229.19,230.41,228.68,229.13,369200
2013-02-20,229.44,230.22,226.51,226.65,268400
2013-02-21,226.02,226.41,223.18,223.75,279200
2013-02-22,224.02,225.91,224.02,224.86,282400
2013-02-25,225.54,226.12,221.48,221.48,286700
2013-02-26,222.08,224.4,221.07,223.09,285800
2013-02-27,223.24,228.57,222.03,227.62,246400
2013-02-28,227.67,228.2,225.71,226.46,340200
2013-03-01,225.43,228.47,223.84,227.43,332100
2013-03-04,227.11,229.47,225.49,229.37,248900
2013-03-05,230.23,233.82,229.77,231.78,282600
2013-03-06,232.49,233.95,229.87,230.63,378700
2013-03-07,231.26,231.67,230.05,230.23,240200
2013-03-08,231.52,231.78,230.5,231.0,251200
2013-03-11,230.74,232.45,229.81,230.57,364100
2013-03-12,226.0,226.63,220.97,225.8,609100
2013-03-13,223.3,227.0,221.74,225.11,477400
2013-03-14,225.06,225.86,224.03,225.1,425400
2013-03-15,225.0,226.32,224.12,225.06,587600
2013-03-18,224.27,225.58,222.11,223.28,522600
2013-03-19,224.02,224.98,221.63,223.66,243500
2013-03-20,225.16,226.39,224.0,226.26,262400
2013-03-21,224.65,226.17,222.55,223.13,217600
2013-03-22,223.29,224.78,222.98,224.68,209500
2013-03-25,225.0,225.0,218.58,218.92,375600
2013-03-26,220.15,221.61,218.87,220.92,290500
2013-03-27,219.97,222.72,218.29,222.01,191700
2013-03-28,222.46,225.16,221.38,224.98,245700
2013-04-01,224.4,224.72,219.43,219.81,354000
2013-04-02,220.68,221.94,218.48,218.7,357700
2013-04-03,219.07,219.37,216.64,216.98,378200
2013-04-04,217.43,224.73,217.38,224.65,411700
2013-04-05,221.79,223.17,220.02,222.01,214000
2013-04-08,233.36,233.36,222.04,224.62,344600
2013-04-09,224.2,226.84,223.04,226.23,318200
2013-04-10,225.52,228.67,222.02,227.33,557100
2013-04-11,227.46,232.58,226.75,228.87,589600
2013-04-12,228.21,229.4,227.0,228.0,378900
2013-04-15,225.8,227.65,223.69,225.7,721300
2013-04-16,238.84,245.46,236.2,241.88,1465300
2013-04-17,237.04,239.5,234.93,238.16,832000
2013-04-18,236.63,241.15,236.63,240.6,428700
2013-04-19,241.83,244.81,238.8,243.05,480500
2013-04-22,242.66,244.58,241.06,243.73,404300
2013-04-23,245.0,246.9,243.03,245.86,315400
