Date,Open,High,Low,Close,Volume
2013-01-02,39.28,39.33,38.8,39.21,3458200
2013-01-03,39.28,40.14,38.83,39.24,4062200
2013-01-04,39.23,39.6,38.91,39.56,3091900
2013-01-07,39.38,40.55,39.29,40.53,4801700
2013-01-08,40.45,40.69,39.91,40.48,2959500
2013-01-09,40.78,41.3,40.56,41.01,3330500
2013-01-10,41.23,41.26,40.04,40.33,3650300
2013-01-11,40.43,41.1,39.85,40.27,3352700
2013-01-14,40.46,40.76,39.98,40.33,4126800
2013-01-15,40.02,40.61,39.13,40.0,13196800
2013-01-16,40.07,40.48,39.76,39.84,4803100
2013-01-17,40.36,41.42,40.28,41.24,5966900
2013-01-18,41.35,41.63,40.91,41.38,3976900
2013-01-22,41.32,41.48,40.5,41.37,4362200
2013-01-23,41.23,41.98,41.22,41.9,3635400
2013-01-24,41.96,42.42,41.43,41.59,4150800
2013-01-25,41.72,42.46,41.42,42.35,3217500
2013-01-28,42.35,42.5,41.09,41.21,3882300
2013-01-29,41.7,42.27,41.33,41.97,3979500
2013-01-30,41.81,41.82,40.61,40.9,3985400
2013-01-31,40.51,40.98,40.0,40.85,3415100
2013-02-01,41.15,41.56,40.33,40.38,3411100
2013-02-04,40.33,40.76,39.85,39.87,3208000
2013-02-05,40.18,40.61,39.16,40.29,4145400
2013-02-06,40.14,40.68,39.91,40.02,2399600
2013-02-07,40.07,40.26,39.02,39.45,3444500
2013-02-08,39.58,39.68,38.8,39.29,3690500
2013-02-11,39.19,39.51,38.55,38.61,4539200
2013-02-12,38.63,40.86,38.63,40.19,6005600
2013-02-13,40.21,40.59,39.78,40.15,2631100
2013-02-14,40.12,40.36,39.88,39.96,2227100
2013-02-15,39.94,40.44,39.39,39.53,2678300
2013-02-19,39.58,39.91,38.37,39.24,3863600
2013-02-20,38.84,38.94,36.41,36.56,7688200
2013-02-21,36.57,37.25,36.0,37.06,6933800
2013-02-22,37.24,37.58,36.8,37.25,3393300
2013-02-25,37.52,37.73,36.02,36.05,3795100
2013-02-26,36.29,37.47,36.15,37.37,5730300
2013-02-27,37.48,38.5,37.19,38.29,4415200
2013-02-28,38.38,39.08,37.87,37.94,4110100
2013-03-01,37.8,38.39,37.15,38.19,3968300
2013-03-04,38.11,39.2,38.1,39.19,4105800
2013-03-05,39.36,40.29,39.3,40.01,4212700
2013-03-06,40.29,41.02,40.18,40.56,4204500
2013-03-07,40.39,40.81,39.92,40.73,2978900
2013-03-08,41.08,41.14,40.25,41.02,3849800
2013-03-11,40.83,41.39,40.68,41.11,3000000
2013-03-12,40.96,41.1,40.26,40.3,3448900
2013-03-13,40.24,40.68,39.7,40.49,3950800
2013-03-14,40.56,41.36,40.55,41.24,3185800
2013-03-15,41.35,41.59,40.71,41.07,3972800
2013-03-18,40.56,41.1,40.34,40.88,3160400
2013-03-19,41.51,41.59,40.31,40.73,4515800
2013-03-20,41.04,43.17,40.44,42.67,9970800
2013-03-21,42.58,42.67,41.4,41.68,6750600
2013-03-22,41.79,41.88,41.12,41.42,3581900
2013-03-25,41.43,42.15,40.64,40.87,3540300
2013-03-26,41.0,41.28,40.57,41.02,3076800
2013-03-27,40.6,41.13,40.47,41.09,2571000
2013-03-28,41.14,41.15,40.42,40.79,4041700
2013-04-01,40.69,40.95,39.76,39.93,3721900
2013-04-02,40.06,40.45,39.34,39.36,3758000
2013-04-03,39.34,39.46,37.45,38.28,6752100
2013-04-04,38.52,38.54,37.81,38.14,4549000
2013-04-05,37.44,38.84,37.32,38.68,4285500
2013-04-08,38.62,39.78,38.09,39.76,4171600
2013-04-09,39.72,39.95,38.8,39.08,3321100
2013-04-10,39.19,39.22,38.35,38.85,3768600
2013-04-11,38.77,39.06,38.24,38.41,4411900
2013-04-12,38.13,40.1,38.08,39.8,6134800
2013-04-15,39.39,39.45,37.03,37.15,6246600
2013-04-16,38.2,38.57,37.1,38.05,6227400
2013-04-17,37.66,37.77,36.76,37.65,4294700
2013-04-18,37.66,37.68,36.2,36.61,4702300
2013-04-19,36.88,37.65,36.15,37.53,4549300
2013-04-22,37.53,38.21,36.49,38.14,4980400
2013-04-23,39.68,40.83,39.18,40.76,8183900
2013-04-24,40.88,41.53,40.19,40.72,4980300
2013-04-25,40.84,41.79,40.47,41.23,3541000
2013-04-26,41.67,42.15,41.1,41.59,4097000
2013-04-29,41.56,42.18,40.68,40.73,3815400
2013-04-30,40.6,40.94,39.79,40.53,5029300
2013-05-01,40.12,40.34,39.55,39.7,3389300
2013-05-02,40.07,41.5,39.77,41.22,4049400
2013-05-03,41.75,42.6,41.06,41.41,4683100
2013-05-06,41.34,41.76,41.06,41.42,1921700
2013-05-07,41.46,41.65,40.84,41.49,2150000
2013-05-08,41.36,41.62,40.72,41.54,3185800
2013-05-09,41.52,42.89,41.51,41.69,3371500
2013-05-10,41.6,42.17,41.55,41.97,2364500
2013-05-13,41.77,42.7,41.74,42.52,2958800
2013-05-14,42.48,43.38,42.29,43.15,4045100
2013-05-15,43.04,43.45,42.64,42.97,2917300
2013-05-16,42.56,43.08,41.66,42.22,4833900
2013-05-17,42.39,43.24,42.39,43.09,2690600
2013-05-20,43.06,43.66,42.29,42.5,3066200
2013-05-21,42.58,42.74,40.91,41.76,4824600
2013-05-22,42.1,43.08,41.14,41.58,4926600
2013-05-23,40.95,43.06,40.56,42.67,8150200
2013-05-24,42.2,42.25,41.64,42.07,2966200
2013-05-28,42.77,42.97,41.09,41.5,4170500
2013-05-29,41.01,41.08,39.55,39.69,6770300
2013-05-30,39.8,40.41,39.19,39.47,4278800
2013-05-31,39.3,39.96,38.6,38.66,4754600
2013-06-03,38.92,39.23,37.36,38.57,5440900
2013-06-04,38.71,39.23,37.18,37.4,8414100
2013-06-05,37.35,37.84,36.18,36.82,6622900
2013-06-06,36.79,37.98,36.28,37.91,6168700
2013-06-07,38.39,38.94,37.25,37.95,6342500
2013-06-10,37.44,37.59,36.28,36.69,5896300
2013-06-11,36.22,36.85,35.72,36.01,5767300
2013-06-12,36.74,36.89,35.9,36.11,5847100
2013-06-13,36.15,38.44,36.14,38.08,7701600
2013-06-14,37.95,38.98,37.95,38.38,4928700
2013-06-17,38.75,39.3,38.28,38.66,5056200
2013-06-18,38.59,38.75,37.72,38.66,5091300
2013-06-19,38.68,38.86,37.14,37.22,5766000
2013-06-20,36.68,36.68,33.88,34.36,17969100
2013-06-21,34.68,35.08,32.8,34.66,16268400
2013-06-24,34.1,34.95,33.24,34.41,13598400
2013-06-25,35.98,36.32,34.22,34.64,22120600
2013-06-26,35.05,35.64,34.72,35.41,8014300
2013-06-27,36.02,36.87,35.75,36.76,8764200
2013-06-28,36.44,36.46,35.4,35.44,9011400
2013-07-01,35.69,36.29,34.8,34.88,6835600
2013-07-02,34.8,35.2,34.14,34.41,5745500
2013-07-03,34.23,34.96,34.13,34.76,2451600
2013-07-05,34.77,34.77,32.55,33.36,8993800
2013-07-08,33.55,33.78,32.45,32.5,7665700
2013-07-09,32.74,34.6,32.73,34.42,12380600
2013-07-10,34.41,34.7,33.61,33.98,5763700
2013-07-11,35.18,36.94,35.12,36.81,11183300
2013-07-12,36.63,37.24,36.07,36.43,6434100
2013-07-15,36.47,36.56,34.44,34.96,7558300
2013-07-16,34.98,35.84,34.38,34.89,8331100
2013-07-17,34.78,35.49,34.3,35.05,5446600
2013-07-18,35.39,35.67,34.45,34.58,4334900
2013-07-19,34.41,35.14,34.41,34.94,3194300
2013-07-22,34.93,35.28,34.03,34.22,4368100
2013-07-23,34.15,34.87,33.93,34.68,4462700
2013-07-24,34.34,34.49,32.89,33.35,8883400
2013-07-25,32.73,32.87,31.42,32.81,12401700
2013-07-26,32.65,33.08,32.6,33.0,6303500
2013-07-29,32.92,33.22,32.55,32.76,4648100
2013-07-30,32.92,33.14,32.43,32.57,4654100
2013-07-31,32.56,33.97,32.28,33.3,7186800
2013-08-01,33.75,34.46,33.01,33.43,8362900
2013-08-02,33.74,34.47,33.66,34.13,3981700
2013-08-05,33.95,34.08,33.24,33.43,4428400
2013-08-06,33.21,33.39,32.68,32.74,4600600
2013-08-07,32.61,32.74,31.56,31.71,5691800
2013-08-08,31.96,32.4,31.62,31.8,4436800
2013-08-09,31.69,32.56,31.52,32.38,6322000
2013-08-12,32.17,33.28,32.15,32.48,4793900
2013-08-13,32.55,32.56,31.35,31.62,5536200
2013-08-14,31.48,31.58,30.83,31.13,8431100
2013-08-15,30.76,32.86,30.38,32.72,9760900
2013-08-16,32.74,34.03,32.74,33.31,9824600
2013-08-19,33.17,33.29,31.76,31.85,4876000
2013-08-20,32.04,32.96,31.54,32.85,4645800
2013-08-21,32.63,33.21,32.34,32.46,4622200
2013-08-22,32.5,33.36,32.46,33.0,3399800
2013-08-23,33.09,33.19,31.64,32.06,5228300
2013-08-26,32.06,32.61,31.75,32.25,2804300
2013-08-27,31.78,32.03,31.47,31.73,3114600
2013-08-28,31.61,31.66,30.99,31.09,5082900
2013-08-29,31.03,32.52,30.97,32.07,4752800
2013-08-30,32.08,32.1,31.21,31.28,3973000
2013-09-03,31.6,31.65,30.94,31.06,4159400
2013-09-04,31.05,31.67,30.99,31.29,4459700
2013-09-05,31.26,31.32,30.57,31.0,4485400
2013-09-06,31.59,32.41,31.28,31.71,5626000
2013-09-09,31.72,33.52,31.7,33.42,6641200
2013-09-10,33.58,33.68,32.68,32.92,6056900
2013-09-11,32.89,34.64,32.86,34.03,6137600
2013-09-12,34.0,35.35,33.89,34.32,7329100
2013-09-13,34.4,34.58,33.26,33.9,4438300
2013-09-16,35.0,35.59,34.09,34.19,7023700
2013-09-17,34.14,34.98,34.14,34.45,3677200
2013-09-18,34.41,36.92,33.8,36.71,10912800
2013-09-19,36.99,37.21,35.61,35.66,6671900
2013-09-20,35.69,35.85,34.22,34.56,8088900
2013-09-23,34.41,34.42,33.52,33.96,6304600
2013-09-24,34.93,36.31,34.5,35.41,13069400
2013-09-25,35.69,36.3,35.02,35.78,5919900
2013-09-26,36.01,36.04,35.16,35.88,4394000
2013-09-27,35.68,35.89,35.07,35.26,4248600
2013-09-30,34.65,35.18,34.43,34.81,4425000
2013-10-01,34.75,35.22,34.63,35.12,3659400
2013-10-02,34.91,35.78,34.79,35.5,3766000
2013-10-03,35.47,35.88,34.79,35.12,4646900
2013-10-04,35.07,35.12,33.89,34.11,6152200
2013-10-07,33.75,34.62,33.7,34.12,3098000
2013-10-08,34.1,34.48,33.0,33.17,4789900
2013-10-09,33.25,33.33,32.11,32.82,9216200
2013-10-10,33.27,33.95,33.1,33.24,4914300
2013-10-11,33.31,34.41,33.31,34.24,4849500
2013-10-14,33.76,34.01,33.2,33.74,4535400
2013-10-15,33.32,33.48,32.57,32.78,6799200
2013-10-16,32.96,33.58,32.45,33.29,5289800
2013-10-17,33.09,34.88,32.94,34.77,6220800
2013-10-18,34.97,35.02,34.28,34.45,2949200
2013-10-21,34.56,34.71,33.3,34.13,4501500
2013-10-22,34.25,35.89,34.23,35.57,6712800
2013-10-23,35.26,36.91,35.24,35.94,5857100
2013-10-24,36.07,37.14,36.0,36.59,5739800
2013-10-25,36.68,36.78,35.97,36.37,3266100
2013-10-28,36.38,37.16,35.69,36.21,6202500
2013-10-29,36.31,36.76,35.81,36.76,3672700
2013-10-30,36.73,36.76,35.69,36.03,4774400
2013-10-31,36.03,36.03,34.94,34.96,6021700
2013-11-01,35.06,35.13,33.8,34.4,6377700
2013-11-04,34.37,35.18,34.37,34.54,3246300
2013-11-05,34.41,34.54,33.4,33.74,5121600
2013-11-06,33.86,34.31,33.46,33.94,3879400
2013-11-07,34.34,35.1,33.64,33.67,6282100
2013-11-08,33.33,33.33,31.84,32.24,12669000
2013-11-11,32.11,32.3,31.61,32.04,4734200
2013-11-12,32.03,32.73,31.71,32.36,7121400
2013-11-13,32.09,33.02,32.09,32.77,6028500
2013-11-14,32.81,34.32,32.65,33.65,9122800
2013-11-15,33.77,34.31,33.31,33.6,5607100
2013-11-18,33.86,34.56,33.72,33.94,6007700
2013-11-19,33.8,34.1,33.39,33.64,3528200
2013-11-20,34.6,35.0,33.82,33.97,7149500
2013-11-21,34.16,34.54,33.27,34.34,5521900
2013-11-22,34.41,34.41,33.79,33.97,3654600
2013-11-25,33.98,34.1,33.25,33.74,3835500
2013-11-26,33.95,35.65,33.92,35.45,7365000
2013-11-27,35.49,36.0,35.17,35.35,4310800
2013-11-29,35.4,35.44,34.68,35.16,1567900
2013-12-02,35.22,35.37,34.49,34.59,3621500
2013-12-03,34.37,34.87,34.23,34.72,4767800
2013-12-04,34.52,34.72,33.65,33.94,5894900
2013-12-05,33.92,34.13,33.52,33.65,3543600
2013-12-06,34.18,34.69,33.82,33.96,3896900
2013-12-09,34.06,35.22,34.06,34.65,5257500
2013-12-10,34.85,35.88,34.85,35.15,4458400
2013-12-11,35.05,35.08,34.16,34.44,3065400
2013-12-12,34.41,34.52,33.98,34.31,2237200
2013-12-13,34.38,34.76,34.34,34.41,2755200
2013-12-16,34.59,34.98,34.37,34.41,2638500
2013-12-17,34.4,34.76,33.78,34.61,4012100
2013-12-18,36.08,37.16,34.98,36.8,14466300
2013-12-19,36.54,36.73,36.01,36.42,4384200
2013-12-20,36.37,37.1,36.34,36.76,6103000
2013-12-23,37.12,38.35,37.04,38.1,6763000
2013-12-24,37.99,38.84,37.6,38.32,2839900
2013-12-26,38.26,38.92,38.25,38.6,3283500
2013-12-27,38.58,39.08,38.35,38.89,2663600
2013-12-30,38.9,39.24,38.64,39.09,3123200
2013-12-31,39.08,39.13,38.68,38.9,2789500
2014-01-02,38.51,38.91,38.13,38.76,2488300
2014-01-03,38.82,39.27,38.19,38.2,3192600
2014-01-06,38.42,38.79,37.44,37.55,4944100
2014-01-07,37.82,38.21,37.53,37.72,3200400
2014-01-08,37.61,38.37,37.24,37.96,3688100
2014-01-09,38.04,38.28,37.28,37.78,2987500
2014-01-10,38.15,39.18,37.97,38.53,5866500
2014-01-13,38.31,38.41,37.36,37.54,4572300
2014-01-14,37.76,37.98,37.2,37.59,2675100
2014-01-15,37.53,37.73,37.15,37.44,2302800
2014-01-16,37.43,37.91,36.92,37.79,3203500
2014-01-17,37.71,37.73,36.81,36.85,4269100
2014-01-21,36.97,37.11,36.18,36.65,3766600
2014-01-22,36.68,37.54,36.44,37.18,3794300
2014-01-23,37.0,37.6,36.81,37.56,4185800
2014-01-24,37.62,37.69,36.27,36.41,5249000
2014-01-27,36.71,37.32,35.8,36.29,6925400
2014-01-28,36.81,38.51,36.62,37.88,8221900
2014-01-29,37.2,38.41,37.07,38.35,5679400
2014-01-30,38.96,39.14,37.91,38.2,4680500
2014-01-31,37.73,40.16,37.61,39.49,6815400
2014-02-03,39.33,39.47,38.25,38.56,6981800
2014-02-04,38.69,39.29,38.09,39.18,4859900
2014-02-05,38.85,39.27,38.47,38.92,6636200
2014-02-06,40.26,41.18,39.99,41.01,6993800
2014-02-07,41.16,41.54,40.55,41.07,5549100
2014-02-10,41.2,41.23,39.55,40.21,5244500
2014-02-11,40.0,40.24,39.49,39.91,4798600
2014-02-12,40.05,40.27,39.27,39.46,4976500
2014-02-13,39.23,40.42,38.89,40.31,4503100
2014-02-14,40.13,40.81,39.89,40.79,3137700
2014-02-18,40.78,41.28,39.86,40.45,2886000
2014-02-19,40.33,41.06,39.99,40.26,2886500
2014-02-20,40.32,40.68,39.9,40.6,2767400
2014-02-21,40.69,41.72,40.56,41.15,3863500
2014-02-24,41.06,41.95,40.93,41.12,4705700
2014-02-25,41.06,42.04,40.78,41.55,3490000
2014-02-26,41.59,43.62,41.21,43.05,7791200
2014-02-27,42.84,43.66,42.5,43.59,4353800
2014-02-28,43.63,43.64,42.68,43.15,4769800
2014-03-03,42.65,43.36,42.61,43.11,4175900
2014-03-04,43.27,43.56,42.61,42.99,5336300
2014-03-05,42.86,42.92,42.34,42.43,4151300
