Date,Open,High,Low,Close,Volume
2013-01-02,21.54,22.27,21.5,22.25,2569600
2013-01-03,22.16,22.52,21.87,22.32,1463300
2013-01-04,22.28,22.39,21.94,22.29,1456600
2013-01-07,22.08,22.86,22.08,22.53,1843800
2013-01-08,22.64,22.8,22.43,22.79,1593600
2013-01-09,22.66,23.41,22.66,23.37,2096400
2013-01-10,23.43,23.51,22.76,22.9,2136700
2013-01-11,22.8,23.04,22.48,22.66,1181500
2013-01-14,22.44,22.72,22.18,22.36,1201400
2013-01-15,22.16,22.6,21.81,22.51,1101200
2013-01-16,22.53,22.56,22.24,22.52,422300
2013-01-17,22.72,22.78,22.5,22.72,802100
2013-01-18,22.67,22.71,22.52,22.64,690000
2013-01-22,22.54,22.78,22.32,22.58,1361200
2013-01-23,22.44,22.81,22.32,22.68,920900
2013-01-24,22.64,23.08,22.41,23.0,1048900
2013-01-25,23.2,23.43,22.84,23.38,1301400
2013-01-28,23.47,23.51,23.2,23.4,1252300
2013-01-29,23.34,23.46,23.21,23.26,1009700
2013-01-30,23.26,23.5,22.5,22.58,1667400
2013-01-31,22.27,22.5,21.88,22.39,1675000
2013-02-01,22.57,23.18,22.23,23.06,1230300
2013-02-04,22.85,22.95,22.47,22.64,978600
2013-02-05,22.72,23.31,22.71,23.23,1089800
2013-02-06,23.07,23.2,22.94,23.05,1030900
2013-02-07,23.13,23.28,22.79,23.2,1540500
2013-02-08,23.24,23.74,23.24,23.73,823100
2013-02-11,23.75,23.99,23.18,23.31,755100
2013-02-12,23.35,23.52,23.1,23.2,1190300
2013-02-13,23.33,23.33,23.07,23.26,1746600
2013-02-14,23.25,23.4,23.04,23.08,1516100
2013-02-15,23.17,23.42,23.15,23.25,1106900
2013-02-19,23.25,23.25,22.34,22.41,2316600
2013-02-20,22.46,22.85,22.44,22.6,2265800
2013-02-21,22.63,22.78,21.88,21.99,1827900
2013-02-22,22.13,23.05,22.13,22.48,1654400
2013-02-25,22.55,22.66,22.36,22.37,1973100
2013-02-26,22.45,22.58,22.27,22.37,1290100
2013-02-27,22.32,23.04,22.14,22.93,1639300
2013-02-28,22.0,22.24,20.72,21.19,7505400
2013-03-01,21.24,21.24,20.42,20.43,4979600
2013-03-04,20.43,20.86,20.25,20.66,3682300
2013-03-05,20.81,20.89,20.44,20.48,3641300
2013-03-06,20.55,20.55,20.09,20.17,4816200
2013-03-07,20.23,20.45,20.16,20.21,2923900
2013-03-08,20.6,21.44,20.23,21.42,4304100
2013-03-11,21.41,21.6,21.14,21.59,2855600
2013-03-12,21.52,21.62,21.32,21.4,2507300
2013-03-13,21.45,21.86,21.25,21.8,1760500
2013-03-14,21.81,21.91,21.51,21.64,1621700
2013-03-15,21.61,21.72,21.04,21.09,6024900
2013-03-18,20.69,21.26,20.35,20.9,2094000
2013-03-19,21.0,21.12,20.65,20.96,2408900
2013-03-20,20.99,21.18,20.86,21.15,1715900
2013-03-21,20.94,21.1,20.79,21.0,1138400
2013-03-22,21.01,21.17,20.65,20.76,1632400
2013-03-25,20.88,21.2,20.8,20.93,1620000
2013-03-26,20.99,21.58,20.99,21.36,2398700
2013-03-27,21.26,21.68,21.07,21.49,1382400
2013-03-28,21.48,21.8,21.4,21.76,1436500
2013-04-01,21.81,21.82,21.35,21.42,1382500
2013-04-02,21.51,21.62,21.29,21.38,702900
2013-04-03,21.44,21.5,21.06,21.11,1724500
2013-04-04,21.07,21.47,21.06,21.26,1179600
2013-04-05,21.02,21.42,20.95,21.32,944100
2013-04-08,21.23,21.54,21.07,21.53,896800
2013-04-09,21.52,21.61,21.23,21.44,785600
2013-04-10,21.41,21.51,21.16,21.25,3475900
2013-04-11,21.34,21.81,21.25,21.72,1885500
2013-04-12,21.59,22.26,21.59,22.04,2142500
2013-04-15,21.97,22.25,21.0,21.1,1940200
2013-04-16,21.21,21.44,21.07,21.43,826900
2013-04-17,21.22,21.28,20.7,20.91,1096400
2013-04-18,20.93,21.14,20.44,20.54,1113300
2013-04-19,20.53,20.94,20.28,20.71,1302500
2013-04-22,20.82,21.11,20.28,21.03,1830000
2013-04-23,20.97,21.42,20.97,21.16,1172000
2013-04-24,21.22,21.56,21.16,21.48,1982100
2013-04-25,21.72,23.53,21.54,22.83,5142600
2013-04-26,22.94,23.07,22.48,23.0,1723500
2013-04-29,23.15,23.58,22.83,23.53,1989800
2013-04-30,23.52,24.1,23.28,24.08,2485700
2013-05-01,24.07,24.26,23.79,23.83,2033600
2013-05-02,23.96,24.51,23.77,24.23,1905400
2013-05-03,24.53,24.91,24.52,24.78,1743200
2013-05-06,24.84,24.99,24.56,24.85,1225600
2013-05-07,24.86,25.05,24.59,25.04,1354300
2013-05-08,25.05,25.05,24.65,24.88,1188400
2013-05-09,24.81,24.96,24.49,24.68,1073100
2013-05-10,24.72,24.98,24.62,24.65,1148900
2013-05-13,24.6,24.7,24.35,24.56,1010500
2013-05-14,24.61,24.91,24.52,24.88,646700
2013-05-15,24.81,25.36,24.8,25.28,1221200
2013-05-16,25.34,25.44,25.01,25.25,1027100
