Date,Open,High,Low,Close,Volume
2013-01-02,14.97,15.47,14.92,15.0,8073800
2013-01-03,15.04,15.37,14.86,15.2,3786600
2013-01-04,15.25,15.43,15.2,15.35,4026300
2013-01-07,15.2,15.34,15.04,15.16,3351700
2013-01-08,15.11,15.27,15.04,15.14,3487400
2013-01-09,15.19,15.61,15.18,15.32,3381300
2013-01-10,15.45,15.46,15.18,15.35,3638500
2013-01-11,15.91,15.94,15.5,15.54,5058800
2013-01-14,15.53,15.56,15.32,15.38,3276600
2013-01-15,15.31,15.48,15.27,15.34,4117900
2013-01-16,15.27,15.38,15.11,15.26,4707100
2013-01-17,15.36,15.46,15.3,15.38,5541300
2013-01-18,15.57,15.73,15.46,15.62,5103900
2013-01-22,15.6,15.68,15.38,15.47,4367100
2013-01-23,15.42,15.54,15.32,15.47,4461300
2013-01-24,15.47,15.69,15.46,15.58,3935800
2013-01-25,15.65,16.18,15.6,16.13,7621600
2013-01-28,16.16,16.25,15.82,15.93,4976100
2013-01-29,15.92,16.12,15.89,16.06,3207500
2013-01-30,16.1,16.38,15.96,16.01,4474600
2013-01-31,15.91,16.19,15.74,16.16,4908100
2013-02-01,16.37,16.54,16.21,16.3,5034900
2013-02-04,16.13,16.3,15.96,16.05,4648500
2013-02-05,16.19,16.2,15.99,16.14,3348500
2013-02-06,16.03,16.15,15.97,16.06,3797200
2013-02-07,16.05,16.05,15.62,15.69,4609400
2013-02-08,15.71,15.76,15.52,15.63,3169700
2013-02-11,15.63,15.77,15.52,15.63,5082600
2013-02-12,16.96,17.96,16.73,17.58,26807200
2013-02-13,17.66,18.19,17.64,17.89,10027200
2013-02-14,17.97,17.97,17.64,17.67,6408500
2013-02-15,17.77,17.79,17.52,17.57,5238300
2013-02-19,17.61,17.69,17.36,17.56,7288600
2013-02-20,17.47,17.48,16.38,16.46,9228900
2013-02-21,16.37,16.49,16.18,16.38,8478600
2013-02-22,16.49,16.72,16.48,16.63,4222700
2013-02-25,16.72,16.85,15.8,15.83,6656800
2013-02-26,15.98,16.53,15.8,16.45,7785100
2013-02-27,16.47,16.98,16.46,16.87,4615600
2013-02-28,16.87,17.13,16.78,16.92,3355900
2013-03-01,16.8,17.02,16.54,16.89,4679100
2013-03-04,16.78,17.14,16.73,17.14,3707200
2013-03-05,17.28,17.73,17.23,17.59,5528700
2013-03-06,17.7,17.79,17.32,17.48,4296700
2013-03-07,17.55,17.79,17.35,17.54,5395000
2013-03-08,17.72,17.82,17.47,17.52,4646700
2013-03-11,17.76,17.8,17.42,17.44,5770400
2013-03-12,17.44,17.48,17.04,17.19,4435100
2013-03-13,17.22,17.78,17.14,17.74,5681900
2013-03-14,17.79,18.06,17.77,17.81,5233700
2013-03-15,17.79,17.92,17.51,17.54,6384700
2013-03-18,17.32,17.96,17.24,17.77,5295100
2013-03-19,17.89,18.12,17.67,17.93,4621500
2013-03-20,18.05,18.51,18.05,18.4,5260200
2013-03-21,18.26,18.32,17.65,18.05,7696600
2013-03-22,18.09,18.18,17.92,18.1,3237600
2013-03-25,18.17,18.4,17.89,18.06,3747000
2013-03-26,18.13,18.3,17.87,18.14,4212000
2013-03-27,17.98,18.05,17.72,18.01,2825700
2013-03-28,18.03,18.06,17.69,17.79,4119300
2013-04-01,17.81,17.83,17.36,17.48,3037200
