Date,Open,High,Low,Close,Volume
2013-01-02,30.11,30.69,30.01,30.69,2994500
2013-01-03,30.52,30.83,30.26,30.36,1954800
2013-01-04,30.41,30.48,29.74,29.8,3090900
2013-01-07,29.69,30.06,29.66,29.94,1868500
2013-01-08,29.82,29.92,29.58,29.59,2415600
2013-01-09,29.68,29.87,29.44,29.86,1951400
2013-01-10,30.1,30.1,29.52,29.64,3028000
2013-01-11,30.05,30.13,29.51,29.61,4284300
2013-01-14,28.69,29.32,28.68,29.15,6054400
2013-01-15,29.3,29.41,29.06,29.33,3123600
2013-01-16,29.37,30.48,29.33,30.24,4251700
2013-01-17,30.34,30.91,30.29,30.67,2546400
2013-01-18,30.31,30.62,30.25,30.53,2258400
2013-01-22,30.34,30.83,30.34,30.63,2157200
2013-01-23,30.69,30.99,30.6,30.95,2361600
2013-01-24,30.67,31.41,30.37,30.99,2600500
2013-01-25,31.05,31.85,31.0,31.63,3617700
2013-01-28,31.63,32.41,31.54,32.2,3139000
2013-01-29,31.91,32.03,31.54,31.88,3695200
2013-01-30,31.8,32.08,31.64,31.74,2137500
2013-01-31,31.72,32.19,31.35,31.45,6365300
2013-02-01,31.74,31.89,31.62,31.67,3845100
2013-02-04,31.49,31.73,31.17,31.18,3194300
2013-02-05,31.2,31.91,31.17,31.55,3329100
2013-02-06,31.29,31.66,31.29,31.61,3637200
2013-02-07,31.51,31.63,31.25,31.51,3625900
2013-02-08,31.7,32.39,31.65,32.31,3437600
2013-02-11,32.23,32.27,31.96,32.21,1797600
2013-02-12,32.12,32.45,32.07,32.44,2072300
2013-02-13,32.46,32.58,32.12,32.5,2352200
2013-02-14,32.42,33.07,32.32,32.94,3002700
2013-02-15,32.69,32.7,31.96,32.27,2510700
2013-02-19,32.06,32.84,32.06,32.77,2026700
2013-02-20,32.74,32.85,31.73,31.77,3569200
2013-02-21,31.7,31.7,30.94,31.24,3142400
2013-02-22,31.52,31.71,31.11,31.36,2841000
2013-02-25,31.4,31.63,30.8,30.82,2171700
2013-02-26,31.0,31.09,30.68,31.02,1937300
2013-02-27,30.96,31.61,30.93,31.42,1569500
2013-02-28,31.41,31.64,31.03,31.2,2304200
2013-03-01,31.14,31.32,30.58,31.0,2785600
2013-03-04,30.94,31.39,30.78,31.14,3087400
2013-03-05,31.38,32.02,31.38,32.0,2326500
2013-03-06,32.01,32.15,31.6,31.8,2130600
2013-03-07,31.98,32.27,31.7,31.89,1994900
2013-03-08,32.09,32.16,31.51,31.82,1792900
2013-03-11,31.63,32.2,31.63,32.13,1900800
2013-03-12,31.99,32.5,31.87,32.41,2464400
2013-03-13,32.32,32.95,32.16,32.93,2643700
2013-03-14,32.92,33.67,32.92,33.31,3792700
2013-03-15,33.14,33.24,32.62,32.85,3329500
2013-03-18,32.36,32.56,31.97,32.4,2762800
2013-03-19,32.45,32.6,31.88,32.14,2912800
2013-03-20,32.38,32.47,32.1,32.3,1737900
2013-03-21,31.9,32.23,31.53,31.59,1904900
2013-03-22,31.81,32.13,31.69,31.77,1807700
2013-03-25,31.97,32.02,31.51,31.79,1738400
2013-03-26,31.97,32.25,31.95,32.17,1798100
2013-03-27,31.84,32.24,31.78,32.15,2183800
2013-03-28,32.14,32.75,32.1,32.64,2860100
2013-04-01,32.65,32.71,31.85,31.98,2425000
2013-04-02,32.09,32.09,31.46,31.6,2547100
2013-04-03,31.71,31.73,30.96,31.19,2216200
2013-04-04,31.24,31.51,31.04,31.43,1711300
2013-04-05,30.94,31.32,30.52,31.25,2055300
2013-04-08,31.31,31.6,31.07,31.54,2157300
2013-04-09,31.6,32.22,31.6,32.1,2854900
2013-04-10,32.14,32.49,32.08,32.38,1713600
2013-04-11,32.19,32.78,32.19,32.46,1710800
2013-04-12,32.42,32.44,32.05,32.25,1771000
2013-04-15,32.1,32.39,31.67,31.74,1837200
2013-04-16,31.97,32.73,31.86,32.69,1962200
2013-04-17,32.24,32.27,30.94,31.41,3085500
2013-04-18,31.66,31.76,30.91,30.95,2755700
2013-04-19,30.91,31.46,30.63,31.25,2070200
2013-04-22,31.37,31.94,30.95,31.87,2275900
2013-04-23,32.23,32.81,32.06,32.77,2908200
2013-04-24,32.84,33.09,32.6,32.7,2099300
2013-04-25,32.75,33.11,32.71,32.92,3162300
2013-04-26,31.5,31.5,30.27,30.67,7809400
2013-04-29,30.67,30.97,30.42,30.71,2663500
2013-04-30,30.81,30.99,30.52,30.93,2699800
2013-05-01,30.99,31.19,30.44,30.5,2157500
2013-05-02,30.63,30.82,30.51,30.59,2232500
2013-05-03,31.05,31.5,30.89,31.36,2991200
2013-05-06,31.46,31.97,31.45,31.69,1690400
2013-05-07,31.65,31.83,31.4,31.63,1770700
2013-05-08,31.68,31.82,31.54,31.81,2299000
2013-05-09,31.83,31.84,31.47,31.75,2718200
2013-05-10,31.93,32.34,31.7,32.32,3253900
2013-05-13,32.22,32.29,31.89,31.92,1364400
2013-05-14,32.02,32.14,31.65,31.75,2205100
2013-05-15,31.54,31.98,31.13,31.54,4511600
2013-05-16,31.44,31.8,31.22,31.29,2730400
2013-05-17,31.53,31.72,31.35,31.61,2437800
2013-05-20,31.23,31.41,30.77,30.92,2462600
2013-05-21,31.04,31.11,30.62,30.8,3321900
2013-05-22,30.7,30.82,30.14,30.2,3519100
2013-05-23,29.98,30.24,29.88,30.02,3236900
2013-05-24,29.83,30.13,29.56,30.08,2497700
2013-05-28,30.26,30.53,29.81,29.9,3741000
2013-05-29,29.28,29.57,29.0,29.36,7197400
2013-05-30,29.34,29.98,29.02,29.86,3372600
2013-05-31,29.84,29.9,29.48,29.49,3253600
2013-06-03,29.66,29.66,29.12,29.32,3216600
2013-06-04,29.64,29.86,29.19,29.21,3085500
2013-06-05,29.06,29.24,28.75,29.1,3128800
2013-06-06,29.13,29.32,28.61,28.84,3186700
2013-06-07,28.95,29.07,28.26,28.48,4111600
2013-06-10,28.12,28.15,27.57,27.77,6606300
2013-06-11,27.62,27.75,27.22,27.43,5194700
2013-06-12,27.7,27.81,26.79,26.91,5289600
2013-06-13,26.87,27.49,26.7,27.47,4406700
2013-06-14,27.47,27.87,27.33,27.67,2920600
2013-06-17,27.88,28.4,27.78,28.19,4216300
2013-06-18,28.35,28.51,28.11,28.32,2998800
2013-06-19,28.29,28.56,28.12,28.27,3284500
2013-06-20,27.88,27.96,27.29,27.36,3537000
2013-06-21,27.43,28.14,27.43,27.87,4765700
2013-06-24,27.56,27.73,27.21,27.22,2938500
2013-06-25,27.49,27.75,27.24,27.69,2062000
2013-06-26,27.96,28.33,27.74,27.84,1621200
2013-06-27,28.03,28.17,27.84,27.97,1522000
2013-06-28,27.72,28.02,27.59,27.78,4888200
2013-07-01,27.98,28.15,27.63,27.64,1829100
2013-07-02,27.65,27.84,27.45,27.55,2027200
2013-07-03,27.49,27.97,27.4,27.72,1229100
2013-07-05,27.76,27.95,27.53,27.87,2445800
2013-07-08,28.03,28.07,27.09,27.11,3482000
2013-07-09,27.36,27.95,27.36,27.73,2358400
2013-07-10,27.55,27.76,27.38,27.73,2477400
2013-07-11,28.05,28.62,27.96,28.59,1749400
2013-07-12,28.57,28.75,28.18,28.37,2412900
2013-07-15,28.4,29.32,28.26,29.28,4517600
2013-07-16,29.24,29.39,28.87,29.06,2081800
2013-07-17,29.08,29.25,28.7,28.75,2594900
2013-07-18,28.87,28.87,27.35,27.4,5565800
2013-07-19,27.36,27.8,27.09,27.6,3450300
2013-07-22,27.79,27.87,27.55,27.64,2225900
2013-07-23,27.8,27.94,27.55,27.6,3040200
2013-07-24,27.83,27.83,26.98,27.16,3302600
2013-07-25,27.26,27.55,27.09,27.42,5168900
