Date,Open,High,Low,Close,Volume
2013-01-02,27.84,28.05,27.4,27.7,7450500
2013-01-03,27.62,27.75,27.52,27.62,5120100
2013-01-04,27.65,28.24,27.65,28.2,5440600
2013-01-07,28.05,28.14,27.76,27.91,5954900
2013-01-08,27.6,27.78,27.38,27.78,7200200
2013-01-09,27.83,28.22,27.77,28.03,3838400
2013-01-10,28.28,28.6,28.22,28.25,4795600
2013-01-11,28.32,28.51,27.77,27.84,7194900
2013-01-14,27.78,27.87,27.54,27.54,8678600
2013-01-15,27.5,28.05,27.5,27.98,4852600
2013-01-16,27.99,28.22,27.93,28.07,5793400
2013-01-17,28.12,28.19,27.89,28.04,5962700
2013-01-18,28.0,28.07,27.75,28.0,2635900
2013-01-22,27.97,28.0,27.74,27.89,3952200
2013-01-23,27.85,28.36,27.66,28.15,5376600
2013-01-24,28.13,28.6,28.12,28.33,3406900
2013-01-25,28.39,28.6,28.32,28.46,3546200
2013-01-28,28.5,28.5,28.19,28.25,4088000
2013-01-29,28.25,28.39,28.11,28.29,4137700
2013-01-30,28.26,28.42,28.12,28.2,4355300
2013-01-31,28.15,28.4,28.06,28.27,6203700
2013-02-01,28.44,29.05,28.35,28.89,5102700
2013-02-04,28.81,29.01,28.64,28.64,4586600
2013-02-05,28.79,29.04,28.71,28.96,4706100
2013-02-06,28.83,28.89,28.61,28.81,3853600
2013-02-07,28.77,28.87,28.58,28.8,4974200
2013-02-08,28.89,29.05,28.77,28.86,3564500
2013-02-11,28.78,28.92,28.72,28.85,2687000
2013-02-12,28.81,28.95,28.72,28.8,4452200
2013-02-13,28.91,28.96,28.75,28.86,3236500
2013-02-14,28.72,29.21,28.63,29.16,5730800
2013-02-15,29.09,29.28,28.95,29.22,4591000
2013-02-19,29.18,29.3,28.97,29.11,2984000
2013-02-20,29.09,29.15,28.7,28.71,4808400
2013-02-21,28.69,28.92,28.34,28.81,6370300
2013-02-22,28.83,29.01,28.71,28.98,4546600
2013-02-25,29.12,29.27,28.51,28.52,3943300
2013-02-26,28.56,28.61,27.95,28.33,5106000
2013-02-27,28.23,28.68,28.18,28.57,3581200
2013-02-28,29.34,30.47,29.34,29.61,12600200
2013-03-01,29.63,30.41,29.44,30.1,8696500
2013-03-04,30.06,30.77,29.76,30.73,9271400
2013-03-05,30.87,30.97,30.5,30.69,6969200
2013-03-06,30.71,30.92,30.46,30.9,6639600
2013-03-07,31.0,31.0,30.68,30.79,5739500
2013-03-08,30.85,30.96,30.69,30.73,4573800
2013-03-11,30.6,30.83,29.97,30.77,7328600
2013-03-12,30.73,31.02,30.58,30.95,6807700
2013-03-13,30.95,31.22,30.61,30.98,6145900
2013-03-14,31.01,31.13,30.53,31.01,8099300
2013-03-15,30.97,31.01,30.42,30.47,8876800
2013-03-18,30.15,30.74,29.95,30.68,6614800
2013-03-19,30.79,30.84,30.43,30.77,6249400
2013-03-20,30.86,31.02,30.61,30.77,4860700
2013-03-21,30.58,30.68,30.12,30.19,4304300
2013-03-22,30.34,30.41,29.64,29.82,5394400
2013-03-25,29.39,29.57,29.22,29.27,7382300
2013-03-26,29.4,29.51,28.9,29.02,7326600
2013-03-27,28.79,28.92,28.64,28.74,7509400
2013-03-28,28.79,28.99,28.65,28.96,6734600
2013-04-01,28.95,28.99,28.5,28.7,3716100
2013-04-02,28.73,28.81,28.12,28.6,10850700
2013-04-03,28.55,28.64,27.86,28.51,17084000
2013-04-04,28.54,28.75,28.38,28.64,7617900
2013-04-05,28.36,28.66,28.2,28.63,4066300
2013-04-08,28.64,28.65,28.35,28.37,5077600
2013-04-09,28.51,28.75,28.4,28.61,4234200
2013-04-10,28.7,28.85,28.44,28.55,4870600
2013-04-11,28.65,29.15,28.53,28.95,4639500
2013-04-12,28.96,28.99,28.6,28.68,4254200
2013-04-15,28.64,28.73,28.04,28.1,5804400
2013-04-16,28.18,28.32,28.05,28.3,6217100
2013-04-17,28.1,28.21,27.81,28.02,4968600
2013-04-18,28.03,28.09,27.66,27.96,5260700
2013-04-19,27.93,28.41,27.92,28.34,4756800
2013-04-22,28.5,28.5,28.16,28.33,5335200
2013-04-23,28.49,28.75,28.39,28.62,4430600
2013-04-24,28.7,28.81,28.55,28.69,5908100
2013-04-25,28.82,29.31,28.73,29.28,9660500
2013-04-26,29.3,29.5,29.17,29.31,6767800
2013-04-29,29.3,29.51,28.99,29.01,4884700
2013-04-30,28.89,29.13,28.73,29.11,6278400
2013-05-01,29.08,29.14,28.68,28.7,4853800
2013-05-02,28.75,28.93,28.48,28.83,5378900
2013-05-03,29.03,29.17,28.8,28.9,4872600
2013-05-06,29.0,29.49,28.67,29.45,6633200
2013-05-07,29.57,29.9,29.53,29.69,4555600
2013-05-08,29.67,29.93,29.3,29.33,4414300
2013-05-09,29.21,29.41,28.87,29.27,5827300
2013-05-10,29.12,29.66,28.99,29.65,4961700
2013-05-13,29.56,29.63,29.05,29.2,3709800
2013-05-14,29.3,31.0,29.02,30.1,9796100
2013-05-15,27.77,30.53,27.77,30.5,5631000
2013-05-16,30.8,31.47,30.34,30.7,7256100
