Date,Open,High,Low,Close,Volume
2013-01-02,75.04,75.21,74.04,74.88,4022800
2013-01-03,74.75,75.99,74.59,75.18,3379500
2013-01-04,75.22,76.53,75.18,76.49,3940700
2013-01-07,76.22,76.81,75.94,76.53,3753200
2013-01-08,76.91,78.56,76.57,78.29,8759500
2013-01-09,78.19,78.99,78.18,78.67,5656700
2013-01-10,79.5,79.68,78.78,79.53,5375500
2013-01-11,79.45,79.68,79.13,79.6,3622600
2013-01-14,79.61,80.0,78.76,79.2,3212300
2013-01-15,78.88,79.35,78.75,79.03,2707700
2013-01-16,78.93,79.1,78.63,78.84,3206000
2013-01-17,79.26,79.51,78.93,78.93,3540400
2013-01-18,78.98,79.12,78.19,79.12,4991200
2013-01-22,78.93,80.15,78.72,80.09,5225300
2013-01-23,80.09,80.21,79.23,79.44,4325300
2013-01-24,79.57,80.31,79.57,79.9,3456900
2013-01-25,80.1,80.61,79.74,80.53,3522500
2013-01-28,80.98,81.03,79.54,80.32,3502500
2013-01-29,80.51,81.67,80.3,81.54,4385200
2013-01-30,81.59,82.72,81.47,81.74,6275100
2013-01-31,82.44,84.87,82.06,84.57,14498800
2013-02-01,84.8,84.8,83.5,84.0,7575900
2013-02-04,84.05,84.81,83.83,84.3,7106700
2013-02-05,84.81,85.02,84.13,84.7,4980700
2013-02-06,84.17,85.0,83.84,84.96,4278200
2013-02-07,84.9,85.02,84.07,84.47,4328700
2013-02-08,84.46,84.88,84.41,84.65,3311900
2013-02-11,84.54,84.55,83.44,83.55,3563100
2013-02-12,83.65,83.83,82.86,83.28,3674600
2013-02-13,83.45,83.72,82.94,83.29,2492700
2013-02-14,83.1,83.65,82.82,83.27,4328600
2013-02-15,83.54,83.59,81.07,81.16,9818600
2013-02-19,81.53,82.68,81.53,82.2,6043100
2013-02-20,82.16,82.55,80.88,80.97,6062700
2013-02-21,80.48,80.75,79.61,79.93,4370500
2013-02-22,80.48,80.48,79.86,80.1,3919500
2013-02-25,81.46,81.96,78.67,78.69,6660500
2013-02-26,79.05,79.35,77.71,78.35,5749800
2013-02-27,78.23,79.16,78.05,78.78,5301200
