Date,Open,High,Low,Close,Volume
2013-01-02,51.72,52.4,51.69,52.4,613700
2013-01-03,52.34,52.6,52.1,52.36,643200
2013-01-04,52.44,52.55,52.28,52.4,410800
2013-01-07,52.2,52.24,51.75,51.89,635100
2013-01-08,51.71,51.95,51.5,51.94,498700
2013-01-09,51.94,51.99,51.54,51.93,406700
2013-01-10,52.15,52.28,51.97,52.18,448700
2013-01-11,52.38,52.38,51.64,51.91,576600
2013-01-14,51.87,52.23,51.84,51.97,346600
2013-01-15,51.89,52.15,51.69,52.14,476100
2013-01-16,51.95,52.14,51.79,51.9,345600
2013-01-17,51.96,52.23,51.86,52.13,371200
2013-01-18,52.36,52.46,52.01,52.44,513000
2013-01-22,52.4,52.93,52.33,52.85,401500
2013-01-23,52.7,52.78,52.5,52.6,404700
2013-01-24,52.69,53.15,52.69,53.1,652700
2013-01-25,53.13,53.37,52.99,53.32,1869500
2013-01-28,53.51,53.51,53.06,53.25,1727700
2013-01-29,53.25,53.62,53.19,53.49,2359800
2013-01-30,53.28,53.49,52.63,53.36,1259800
2013-01-31,53.34,53.53,53.31,53.38,1221600
2013-02-01,53.58,53.61,53.33,53.43,944900
2013-02-04,53.31,53.44,53.19,53.31,710100
2013-02-05,53.53,53.74,53.3,53.36,584500
2013-02-06,53.19,53.65,52.95,53.62,1018500
2013-02-07,53.76,53.79,53.3,53.58,443500
2013-02-08,53.6,53.96,53.3,53.95,454700
2013-02-11,53.97,54.2,53.87,54.13,815800
2013-02-12,54.16,54.53,54.11,54.49,474800
2013-02-13,54.52,54.78,54.44,54.56,912400
2013-02-14,54.45,54.63,54.31,54.33,809900
2013-02-15,54.37,54.48,54.24,54.34,611600
2013-02-19,54.47,55.07,54.42,54.98,648900
2013-02-20,55.02,55.29,54.75,54.8,597100
2013-02-21,54.8,54.93,54.55,54.59,490600
2013-02-22,54.69,55.41,54.51,55.4,512200
2013-02-25,55.65,55.95,54.38,54.38,901500
2013-02-26,54.62,55.17,54.54,54.79,724800
2013-02-27,54.74,55.28,54.74,55.24,659800
2013-02-28,55.24,56.01,55.14,55.94,804400
2013-03-01,55.9,56.1,55.56,56.04,880200
2013-03-04,55.98,56.89,55.94,56.87,802200
2013-03-05,57.07,57.38,56.98,57.22,629200
2013-03-06,57.31,57.5,57.18,57.31,716300
2013-03-07,57.31,57.53,57.01,57.03,398500
2013-03-08,57.12,57.22,56.76,57.05,264500
2013-03-11,56.9,57.14,56.9,57.06,343700
2013-03-12,57.07,57.1,56.63,56.92,380900
2013-03-13,56.93,57.06,56.7,56.98,407100
2013-03-14,57.11,57.17,56.83,57.0,605500
2013-03-15,56.78,57.05,56.64,56.98,853400
2013-03-18,56.57,56.83,56.5,56.6,287600
2013-03-19,56.86,56.96,56.38,56.66,654200
2013-03-20,56.92,57.38,56.8,57.09,526400
2013-03-21,56.9,57.04,56.57,56.71,342500
2013-03-22,56.75,56.95,56.15,56.74,337500
2013-03-25,56.89,57.31,56.5,56.64,479200
2013-03-26,56.8,57.09,56.76,57.07,550900
2013-03-27,56.74,57.24,56.6,57.21,489600
2013-03-28,57.17,57.96,57.11,57.89,880100
2013-04-01,57.89,57.94,57.54,57.66,521500
2013-04-02,57.75,57.99,57.53,57.7,664800
2013-04-03,57.78,57.83,57.41,57.6,616800
2013-04-04,57.55,58.01,57.55,57.97,516900
