Date,Open,High,Low,Close,Volume
2013-01-02,36.02,36.29,34.64,35.4,5233500
2013-01-03,35.49,35.84,35.37,35.73,3357200
2013-01-04,35.9,36.25,35.6,36.21,2879700
2013-01-07,35.84,35.94,34.91,35.16,4966800
2013-01-08,35.1,35.48,34.97,35.14,3746300
2013-01-09,35.21,35.37,34.66,34.77,4047100
2013-01-10,34.87,35.53,34.7,35.53,3707700
2013-01-11,35.74,35.74,35.07,35.08,2963800
2013-01-14,35.07,36.25,34.84,36.22,3177100
2013-01-15,36.1,36.65,35.89,36.23,4177100
2013-01-16,36.28,36.36,35.82,35.99,1844500
2013-01-17,36.06,36.13,34.99,35.58,4697900
2013-01-18,35.59,35.59,34.68,34.83,7824800
2013-01-22,34.92,35.11,34.7,35.05,4398000
2013-01-23,34.76,35.52,34.52,35.49,4190200
2013-01-24,35.45,35.56,33.61,34.32,8652300
2013-01-25,34.33,35.13,34.13,35.07,5568300
2013-01-28,35.01,35.04,34.48,34.77,4002900
2013-01-29,34.81,34.85,34.46,34.6,3128700
2013-01-30,34.48,34.8,34.3,34.31,2933200
2013-01-31,34.37,35.04,34.37,34.74,4217800
2013-02-01,35.11,35.11,34.7,34.81,3553900
2013-02-04,34.75,35.25,34.54,34.61,4389900
2013-02-05,34.64,35.2,34.63,35.01,3627800
2013-02-06,35.1,36.04,35.02,35.61,5165600
2013-02-07,35.61,36.36,35.43,36.23,5083200
2013-02-08,36.25,36.45,35.84,36.02,4069200
2013-02-11,35.86,35.99,35.52,35.8,2638400
2013-02-12,35.89,36.25,35.75,35.94,2804500
2013-02-13,35.94,36.04,35.68,35.86,2850800
2013-02-14,35.75,36.14,35.38,35.97,4923000
2013-02-15,36.29,37.54,36.21,37.17,6815100
2013-02-19,37.28,38.46,37.24,38.46,6050000
2013-02-20,38.55,38.55,37.7,37.77,4056400
2013-02-21,37.55,37.84,37.2,37.42,3528000
2013-02-22,37.72,37.76,36.91,37.32,2234400
2013-02-25,37.61,37.79,37.08,37.08,2932000
2013-02-26,36.62,37.4,36.62,37.2,2667300
2013-02-27,36.84,37.9,36.77,37.87,3926900
2013-02-28,37.82,38.16,37.61,37.96,2814300
2013-03-01,37.96,37.96,37.52,37.83,3430300
2013-03-04,37.84,38.49,37.84,38.47,2350800
2013-03-05,38.61,38.88,38.33,38.67,3311300
2013-03-06,38.46,38.82,38.26,38.41,2129100
2013-03-07,38.47,38.66,37.97,38.25,2640100
2013-03-08,38.31,38.44,38.0,38.33,2509300
2013-03-11,38.26,38.38,37.82,38.08,2634200
2013-03-12,37.91,38.41,37.89,38.35,2808800
2013-03-13,38.22,38.76,38.18,38.63,2587500
2013-03-14,38.75,39.04,38.55,38.85,2629900
2013-03-15,38.58,39.13,38.51,38.9,3962100
2013-03-18,38.75,38.85,38.25,38.53,2260800
2013-03-19,38.63,39.03,38.45,39.0,3472300
2013-03-20,39.19,39.29,38.94,39.17,2463800
2013-03-21,39.16,39.19,38.55,39.14,2353000
2013-03-22,39.42,39.74,39.04,39.11,3334300
2013-03-25,39.27,39.48,38.44,38.99,4400100
2013-03-26,39.13,39.13,38.67,39.01,1517400
2013-03-27,38.76,39.11,38.72,39.07,1326700
2013-03-28,39.19,39.7,39.06,39.49,2500800
2013-04-01,39.49,39.5,38.72,38.99,2066700
2013-04-02,39.01,39.61,38.96,39.53,1319000
2013-04-03,39.59,39.92,39.43,39.6,2562800
2013-04-04,39.67,39.98,39.51,39.96,1781200
2013-04-05,39.49,39.9,39.09,39.8,2661400
2013-04-08,39.75,40.01,39.63,40.01,1527200
2013-04-09,39.98,40.15,39.74,39.77,1873800
2013-04-10,39.89,40.76,39.88,40.59,2166500
2013-04-11,40.53,41.04,40.14,40.34,3275200
2013-04-12,40.17,40.52,39.93,40.4,3663900
2013-04-15,40.29,40.35,39.14,39.14,2582400
2013-04-16,39.46,40.01,39.21,39.96,2120200
2013-04-17,39.82,40.25,39.26,39.84,2100600
2013-04-18,39.94,40.02,39.25,39.47,1375100
2013-04-19,39.61,40.08,39.5,39.82,1491000
2013-04-22,39.98,40.95,39.98,40.73,2362300
2013-04-23,40.8,41.14,40.52,40.92,1796100
2013-04-24,41.04,41.2,40.56,41.01,2123600
2013-04-25,41.15,42.12,40.97,42.08,2790100
2013-04-26,41.77,41.81,40.28,41.15,4394100
2013-04-29,41.2,41.65,40.74,41.15,1917500
2013-04-30,41.15,41.97,41.04,41.95,2785800
2013-05-01,41.89,42.08,41.1,41.29,2971500
2013-05-02,41.63,41.7,40.96,41.28,2666500
2013-05-03,41.49,41.95,41.02,41.8,2338100
2013-05-06,41.68,41.99,41.56,41.75,2060700
2013-05-07,41.96,42.38,41.92,42.36,2196200
2013-05-08,42.36,42.71,42.03,42.61,2045000
2013-05-09,42.6,42.84,42.29,42.52,1864000
2013-05-10,42.56,43.18,42.49,43.11,2524200
2013-05-13,42.96,43.1,42.57,42.91,2166900
2013-05-14,42.91,43.51,42.87,43.48,1580700
2013-05-15,43.29,44.03,43.29,43.71,3323600
2013-05-16,43.71,43.88,42.56,42.73,2534400
2013-05-17,42.72,43.47,42.72,43.25,2138400
2013-05-20,43.27,43.76,43.22,43.67,1903500
2013-05-21,42.96,43.95,42.96,43.82,1692400
2013-05-22,43.9,44.23,43.38,43.56,1379800
2013-05-23,43.03,43.84,42.79,43.58,1376400
2013-05-24,43.35,43.43,42.85,43.27,1816900
2013-05-28,43.81,43.99,43.27,43.49,1044600
2013-05-29,43.35,43.75,43.2,43.44,1299000
2013-05-30,43.57,43.77,43.3,43.54,1842400
2013-05-31,43.51,44.07,43.28,43.28,2620600
2013-06-03,43.27,43.71,42.9,43.7,2073400
2013-06-04,43.61,44.12,42.96,43.94,1774800
2013-06-05,43.66,44.07,43.51,43.63,2310100
2013-06-06,43.16,43.52,42.88,43.5,1932400
2013-06-07,43.55,44.1,41.37,44.06,2195400
2013-06-10,44.09,44.25,43.78,44.02,1064500
2013-06-11,43.77,44.64,43.64,44.27,2225100
2013-06-12,44.63,44.69,44.29,44.63,2499100
2013-06-13,44.78,44.87,44.11,44.37,3245900
2013-06-14,44.17,44.41,43.9,44.05,1507600
2013-06-17,44.37,44.59,43.96,44.29,1902700
2013-06-18,44.32,44.92,44.21,44.84,1881000
2013-06-19,44.86,45.45,44.86,45.32,3603200
2013-06-20,45.08,45.14,43.84,43.98,2423100
2013-06-21,44.21,44.7,43.44,43.79,3257800
2013-06-24,43.42,44.03,42.95,43.7,2565400
2013-06-25,44.08,44.5,43.84,44.31,2670300
2013-06-26,44.91,45.14,44.55,45.04,2879700
2013-06-27,45.2,45.43,44.95,45.22,1610400
2013-06-28,45.15,45.92,44.79,45.45,3817700
2013-07-01,45.65,46.37,45.57,45.91,2201700
2013-07-02,45.8,46.17,45.24,45.57,2805400
2013-07-03,45.28,45.71,44.93,45.63,1039900
2013-07-05,45.68,46.52,45.68,46.21,1829200
2013-07-08,46.57,46.96,46.22,46.37,2177100
2013-07-09,47.18,47.18,45.84,46.72,1364500
2013-07-10,46.61,46.93,46.32,46.58,1771400
2013-07-11,46.97,47.1,46.77,47.02,1790500
2013-07-12,46.95,47.21,46.78,46.98,1343200
2013-07-15,46.92,47.1,46.74,46.97,2096800
2013-07-16,46.94,47.13,46.61,46.65,2100200
2013-07-17,46.74,46.96,46.38,46.49,2103200
2013-07-18,46.05,47.05,46.05,46.97,2531000
2013-07-19,46.42,46.97,45.73,46.36,5437000
2013-07-22,45.56,46.23,45.55,45.87,3212300
2013-07-23,45.98,46.34,45.86,46.18,1476200
2013-07-24,46.4,46.57,46.11,46.31,1307100
2013-07-25,46.28,46.62,46.12,46.56,1649900
2013-07-26,46.22,46.92,46.14,46.87,1678000
2013-07-29,46.76,46.83,46.29,46.41,1233600
2013-07-30,46.64,46.79,46.37,46.5,1543700
2013-07-31,46.6,46.93,46.29,46.37,1480900
2013-08-01,46.64,47.43,46.42,47.33,1488900
2013-08-02,47.26,47.63,47.06,47.62,1104900
2013-08-05,47.34,47.63,47.29,47.35,750200
2013-08-06,47.24,47.54,47.09,47.33,2181800
2013-08-07,47.02,47.26,46.68,46.68,2559400
2013-08-08,47.02,47.1,46.77,46.83,1395900
2013-08-09,46.8,47.17,46.54,46.82,1432400
2013-08-12,46.58,46.91,46.53,46.65,1473600
2013-08-13,46.73,47.02,46.44,46.88,1615100
2013-08-14,46.84,46.92,46.09,46.19,2571300
2013-08-15,45.99,46.01,45.26,45.44,2933200
2013-08-16,45.2,45.81,45.2,45.37,2034800
2013-08-19,45.25,45.55,44.92,44.94,1818100
2013-08-20,45.0,45.43,44.68,45.06,2573000
2013-08-21,45.04,45.42,44.74,44.85,1395000
2013-08-22,44.93,45.25,44.36,44.91,1635900
2013-08-23,45.05,45.63,44.74,44.98,1830000
2013-08-26,45.01,45.19,44.45,44.53,1899700
2013-08-27,44.52,44.59,43.74,43.83,2923900
2013-08-28,43.74,44.15,43.71,43.92,2090900
2013-08-29,43.92,44.27,43.7,43.99,2357600
2013-08-30,44.15,44.48,43.91,44.07,1696700
2013-09-03,44.44,44.76,44.31,44.5,2170300
2013-09-04,44.68,45.43,44.68,45.22,1779900
2013-09-05,45.22,45.68,45.11,45.5,2116400
2013-09-06,45.48,45.57,44.58,45.02,1337700
2013-09-09,45.06,45.33,44.94,45.12,1401000
2013-09-10,45.19,45.33,44.69,45.23,1791400
2013-09-11,45.2,45.42,44.9,45.42,2527100
2013-09-12,45.38,45.86,45.32,45.84,2330500
2013-09-13,45.78,46.07,45.54,46.02,1387800
2013-09-16,46.46,46.78,46.08,46.16,2204300
2013-09-17,46.17,46.55,46.16,46.53,1997400
2013-09-18,46.43,47.16,46.04,47.13,1943900
2013-09-19,46.92,48.17,46.92,48.14,3575500
2013-09-20,48.19,48.24,47.54,47.86,3425600
2013-09-23,47.79,47.85,47.13,47.66,1809200
2013-09-24,47.74,47.89,47.46,47.69,1732800
2013-09-25,47.75,47.76,46.77,46.9,2533500
2013-09-26,47.02,47.26,46.78,46.99,2353000
2013-09-27,46.98,47.08,46.33,46.72,2728500
2013-09-30,46.41,46.96,46.38,46.86,2429400
2013-10-01,46.99,47.08,46.49,46.81,2249700
2013-10-02,47.18,47.37,45.62,46.09,3523300
2013-10-03,46.04,46.65,45.52,45.8,2349100
2013-10-04,45.9,46.39,45.83,46.26,2102300
2013-10-07,45.94,46.22,45.63,45.63,2142300
2013-10-08,45.66,45.78,44.58,44.67,3260800
2013-10-09,44.83,45.54,44.57,45.3,2453600
2013-10-10,45.97,46.06,45.69,45.84,1394200
2013-10-11,45.84,46.17,45.53,46.16,2194100
2013-10-14,45.53,46.66,45.53,46.51,2054800
2013-10-15,46.46,46.77,46.09,46.16,4872500
2013-10-16,46.39,47.41,46.39,47.39,3564900
2013-10-17,47.22,47.88,47.14,47.53,2775200
2013-10-18,47.78,48.09,47.41,48.09,2569200
2013-10-21,50.12,50.47,49.5,49.72,5587000
2013-10-22,49.97,50.14,49.51,49.77,3391200
2013-10-23,49.76,50.07,49.44,50.01,1779900
2013-10-24,50.24,50.24,49.6,49.61,2080200
2013-10-25,50.15,50.19,49.58,49.96,2366100
2013-10-28,49.95,50.99,49.87,50.98,3644400
2013-10-29,51.08,51.25,50.73,50.85,3525800
2013-10-30,50.92,51.05,50.23,50.6,1945600
