Date,Open,High,Low,Close,Volume
2013-01-02,21.88,22.0,21.78,21.99,2551100
2013-01-03,21.99,22.13,21.81,22.02,2267900
2013-01-04,22.02,22.79,21.97,22.65,3577700
2013-01-07,22.52,22.58,22.26,22.54,2286000
2013-01-08,22.5,22.53,22.07,22.09,3758600
2013-01-09,22.02,22.16,21.72,21.85,3031000
2013-01-10,21.61,21.95,21.59,21.95,2712800
2013-01-11,21.89,21.93,21.6,21.75,1766200
2013-01-14,21.73,21.86,21.56,21.86,1396800
2013-01-15,21.68,22.1,21.62,22.05,1969400
2013-01-16,22.02,22.44,21.99,22.31,2413900
2013-01-17,22.39,22.61,22.31,22.5,1992200
2013-01-18,22.67,22.69,22.14,22.55,1729200
2013-01-22,22.48,22.71,22.38,22.7,1455000
2013-01-23,22.73,22.74,22.47,22.58,1588100
2013-01-24,22.56,22.79,22.55,22.71,1574700
2013-01-25,22.74,23.06,22.66,22.98,3090700
2013-01-28,22.96,23.02,22.68,22.89,3442300
2013-01-29,22.97,23.07,22.62,22.74,3930200
2013-01-30,22.79,23.6,22.66,23.54,4806100
2013-01-31,22.86,23.49,22.68,23.32,2716500
2013-02-01,23.5,24.03,23.5,23.93,2650000
2013-02-04,23.76,23.85,23.56,23.62,2283500
2013-02-05,23.77,24.07,23.72,24.04,2449500
2013-02-06,23.88,24.21,23.83,24.04,2690100
2013-02-07,24.02,24.14,23.75,23.96,2162100
2013-02-08,24.03,24.21,23.95,24.14,2104500
2013-02-11,24.14,24.3,23.99,24.21,1839700
2013-02-12,24.28,24.57,24.14,24.49,2603200
2013-02-13,24.58,24.92,24.5,24.74,2911900
2013-02-14,24.68,24.79,24.51,24.63,2789500
2013-02-15,24.76,24.78,24.25,24.34,2071000
2013-02-19,24.44,24.71,24.38,24.69,2067100
2013-02-20,24.64,24.67,24.13,24.14,1742800
2013-02-21,24.05,24.35,23.56,23.73,2343600
2013-02-22,23.87,24.05,23.81,24.04,1274200
2013-02-25,24.36,24.39,23.63,23.64,2816800
2013-02-26,23.7,23.84,23.24,23.76,3594800
2013-02-27,23.7,24.2,23.7,24.11,1537500
2013-02-28,24.0,24.37,23.75,24.15,1680100
2013-03-01,24.04,24.33,23.69,24.04,2834800
2013-03-04,24.03,24.25,23.92,24.21,3174800
2013-03-05,24.32,24.77,24.32,24.5,1663100
2013-03-06,24.8,25.16,24.64,25.08,2609000
2013-03-07,25.08,25.3,25.03,25.26,1480500
2013-03-08,25.38,25.63,25.2,25.3,1596600
2013-03-11,25.24,25.7,25.21,25.63,1669900
2013-03-12,25.59,25.67,25.35,25.47,950000
2013-03-13,25.54,25.64,25.45,25.58,661000
2013-03-14,25.65,25.86,25.61,25.73,1461400
2013-03-15,25.66,25.66,25.1,25.56,4753800
2013-03-18,25.2,25.32,25.0,25.27,2046200
2013-03-19,25.38,25.49,25.06,25.3,1586900
2013-03-20,25.48,25.54,25.35,25.44,1125300
2013-03-21,25.29,25.42,25.07,25.16,1184200
2013-03-22,25.25,25.31,24.99,25.22,1085000
2013-03-25,25.31,25.37,25.04,25.15,1485100
2013-03-26,25.33,25.36,25.09,25.15,2136500
2013-03-27,25.05,25.05,24.73,25.0,1760000
2013-03-28,25.01,25.04,24.88,24.99,1322800
2013-04-01,25.07,25.17,24.64,24.78,1339500
2013-04-02,24.89,24.91,24.35,24.48,1853700
